No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
97,Mario Addison,27,DE,16,0,260,6-3,Troy,9/6/1987,3,2,,CAR,2014,2025-08-15 13:44:07
90,Frank Alexander,25,DE,1,0,260,6-4,Oklahoma,12/17/1989,2,0,Carolina Panthers / 4th / 103rd pick /2012,CAR,2014,2025-08-15 13:44:07
3,Derek Anderson,31,QB,6,2,235,6-6,Oregon St.,6/15/1983,8,2,Baltimore Ravens / 6th / 213th pick /2005,CAR,2014,2025-08-15 13:44:07
81,Jason Avant,31,WR,11,0,210,6-0,Michigan,4/20/1983,8,2,Philadelphia Eagles / 4th / 109th pick /2006,CAR,2014,2025-08-15 13:44:07
77,Byron Bell,25,LT,15,15,320,6-5,New Mexico,1/17/1989,3,7,,CAR,2014,2025-08-15 13:44:07
13,Kelvin Benjamin,23,WR,16,15,245,6-5,Florida St.,2/5/1991,Rook,8,Carolina Panthers / 1st / 28th pick /2014,CAR,2014,2025-08-15 13:44:07
25,Bene Benwikere,23,LCB,10,6,195,6-0,San Jose St.,9/3/1991,Rook,3,Carolina Panthers / 5th / 148th pick /2014,CAR,2014,2025-08-15 13:44:07
11,Brenton Bersin,24,WR,15,1,211,6-3,Wofford,5/9/1990,Rook,1,,CAR,2014,2025-08-15 13:44:07
93,Chase Blackburn,31,LB,6,2,240,6-3,Akron,6/10/1983,9,1,,CAR,2014,2025-08-15 13:44:07
33,Tre Boston,22,FS,11,5,205,6-1,North Carolina,6/25/1992,Rook,3,Carolina Panthers / 4th / 128th pick /2014,CAR,2014,2025-08-15 13:44:07
47,Richie Brockel,28,TE,4,0,251,6-1,Boise St.,7/24/1986,3,0,,CAR,2014,2025-08-15 13:44:07
16,Corey Brown,23,WR,13,3,190,5-11,Ohio St.,12/16/1991,Rook,4,,CAR,2014,2025-08-15 13:44:07
37,Carrington Byndom,22,DB,3,0,180,5-11,Texas,7/7/1992,Rook,0,,CAR,2014,2025-08-15 13:44:07
20,Antoine Cason,28,LCB,12,11,190,6-0,Arizona,7/9/1986,6,5,San Diego Chargers / 1st / 27th pick /2008,CAR,2014,2025-08-15 13:44:07
78,Nate Chandler,25,RT,11,11,294,6-4,UCLA,6/1/1989,2,5,,CAR,2014,2025-08-15 13:44:07
91,Colin Cole,34,LDT/RDT,16,10,325,6-2,Iowa,6/24/1980,10,5,,CAR,2014,2025-08-15 13:44:07
82,Jerricho Cotchery,32,WR,15,13,205,6-1,North Carolina St.,6/16/1982,10,5,New York Jets / 4th / 108th pick /2004,CAR,2014,2025-08-15 13:44:07
58,Thomas Davis,31,RLB,15,15,235,6-1,Georgia,3/22/1983,9,7,Carolina Panthers / 1st / 14th pick /2005,CAR,2014,2025-08-15 13:44:07
21,Thomas DeCoud,29,FS,15,11,196,6-1,California,3/19/1985,6,4,Atlanta Falcons / 3rd / 98th pick /2008,CAR,2014,2025-08-15 13:44:07
84,Ed Dickson,27,TE,16,10,250,6-4,Oregon,7/25/1987,4,1,Baltimore Ravens / 3rd / 70th pick /2010,CAR,2014,2025-08-15 13:44:07
31,James Dockery,26,DB,7,0,185,6-1,Oregon St.,11/9/1988,3,0,,CAR,2014,2025-08-15 13:44:07
94,Kony Ealy,23,DE,15,0,275,6-4,Missouri,12/21/1991,Rook,1,Carolina Panthers / 2nd / 60th pick /2014,CAR,2014,2025-08-15 13:44:07
92,Dwan Edwards,33,DT,16,0,305,6-3,Oregon St.,5/16/1981,10,2,Baltimore Ravens / 2nd / 51st pick /2004,CAR,2014,2025-08-15 13:44:07
64,Brian Folkerts,24,C,16,0,303,6-4,Washburn,1/30/1990,1,1,,CAR,2014,2025-08-15 13:44:07
,David Foucault,25,T,5,1,320,6-8,Montreal,1/7/1989,Rook,1,,CAR,2014,2025-08-15 13:44:07
9,Graham Gano,27,K,16,0,202,6-2,Florida St.,4/9/1987,5,3,,CAR,2014,2025-08-15 13:44:07
30,Charles Godfrey,29,DB,7,1,207,6-0,Iowa,11/15/1985,6,1,Carolina Panthers / 3rd / 67th pick /2008,CAR,2014,2025-08-15 13:44:07
76,Greg Hardy,26,DE,1,1,279,6-5,Mississippi,7/28/1988,4,1,Carolina Panthers / 6th / 175th pick /2010,CAR,2014,2025-08-15 13:44:07
41,Roman Harper,32,SS,16,16,205,6-1,Alabama,12/11/1982,8,7,New Orleans Saints / 2nd / 43rd pick /2006,CAR,2014,2025-08-15 13:44:07
96,Wes Horton,24,RDE,16,15,265,6-5,USC,1/18/1990,1,6,,CAR,2014,2025-08-15 13:44:07
53,Ben Jacobs,26,LB,16,0,240,6-4,Fresno St.,4/17/1988,3,1,,CAR,2014,2025-08-15 13:44:07
44,J.J. Jansen,28,LS,16,0,235,6-2,Notre Dame,1/20/1986,5,2,,CAR,2014,2025-08-15 13:44:07
95,Charles Johnson,28,LDE,16,16,270,6-2,Georgia,7/10/1986,7,8,Carolina Panthers / 3rd / 83rd pick /2007,CAR,2014,2025-08-15 13:44:07
42,Colin Jones,27,DB,16,2,205,6-0,TCU,10/27/1987,3,2,San Francisco 49ers / 6th / 190th pick /2011,CAR,2014,2025-08-15 13:44:07
67,Ryan Kalil,29,C,16,16,300,6-2,USC,3/29/1985,7,7,Carolina Panthers / 2nd / 59th pick /2007,CAR,2014,2025-08-15 13:44:07
56,A.J. Klein,23,LLB,14,8,240,6-1,Iowa St.,7/30/1991,1,4,Carolina Panthers / 5th / 148th pick /2013,CAR,2014,2025-08-15 13:44:07
59,Luke Kuechly,23,MLB,16,16,238,6-3,Boston Col.,4/20/1991,2,15,Carolina Panthers / 1st / 9th pick /2012,CAR,2014,2025-08-15 13:44:07
