Team,Position_Group,First_Year,Last_Year,Years_Analyzed,Avg_Players_Year1,Avg_Players_Year2,Avg_Retention_Rate_Pct,Avg_Departure_Rate_Pct,Avg_New_Player_Rate_Pct,Avg_Net_Change
GNB,DB,2011,2023,13,10.69,10.92,54.3,45.7,47.4,0.23
GNB,DL,2011,2023,13,6.0,6.31,43.15,56.85,59.12,0.31
GNB,LB,2011,2023,13,6.08,5.69,42.92,57.08,59.37,-0.38
GNB,OL,2011,2023,13,5.15,5.38,42.54,57.46,59.67,0.23
GNB,OTHER,2011,2023,13,13.15,13.08,50.87,49.13,46.36,-0.08
GNB,QB,2011,2023,13,2.31,2.31,57.69,42.31,40.38,0.0
GNB,RB,2011,2023,13,5.85,5.85,55.69,44.31,46.43,0.0
GNB,ST,2011,2023,13,2.85,3.0,66.67,33.33,38.46,0.15
GNB,TE,2011,2023,13,4.46,4.38,56.92,43.08,39.87,-0.08
GNB,WR,2011,2023,13,7.38,7.46,62.66,37.34,37.83,0.08
