No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
29,Mike Adams,34,SS,13,13,205,5-11,Delaware,3/24/1981,11,9,,CLT,2015,2025-08-15 13:52:37
56,Daniel Adongo,26,LB,3,0,257,6-5,Pretoria,10/12/1989,2,0,,CLT,2015,2025-08-15 13:52:37
83,Dwayne Allen,25,TE,13,12,265,6-3,Clemson,2/24/1990,3,1,Indianapolis Colts / 3rd / 64th pick /2012,CLT,2015,2025-08-15 13:52:37
32,Colt Anderson,30,DB,14,1,194,5-10,Montana,10/25/1985,5,1,,CLT,2015,2025-08-15 13:52:37
96,Henry Anderson,24,RDT,9,9,300,6-6,Stanford,8/3/1991,Rook,4,Indianapolis Colts / 3rd / 93rd pick /2015,CLT,2015,2025-08-15 13:52:37
44,Ahmad Bradshaw,29,RB,6,0,195,5-11,Marshall,3/19/1986,8,1,New York Giants / 7th / 250th pick /2007,CLT,2015,2025-08-15 13:52:37
11,Quan Bray,22,WR,9,0,185,5-10,Auburn,4/28/1993,Rook,0,,CLT,2015,2025-08-15 13:52:37
25,Jalil Brown,28,DB,8,4,202,6-0,Colorado,10/14/1987,4,2,Kansas City Chiefs / 4th / 118th pick /2011,CLT,2015,2025-08-15 13:52:37
20,Darius Butler,29,DB,14,2,180,5-10,Connecticut,3/18/1986,6,2,New England Patriots / 2nd / 41st pick /2009,CLT,2015,2025-08-15 13:52:37
25,Tony Carter,29,DB,3,0,177,5-9,Florida St.,5/24/1986,6,0,,CLT,2015,2025-08-15 13:52:37
74,Anthony Castonzo,27,LT,13,13,307,6-7,Boston Col.,8/9/1988,4,6,Indianapolis Colts / 1st / 22nd pick /2011,CLT,2015,2025-08-15 13:52:37
58,Trent Cole,33,RLB,14,5,270,6-3,Cincinnati,10/5/1982,10,3,Philadelphia Eagles / 5th / 146th pick /2005,CLT,2015,2025-08-15 13:52:37
35,Akeem Davis,26,DB,3,0,200,6-1,Memphis,12/25/1989,1,0,,CLT,2015,2025-08-15 13:52:37
21,Vontae Davis,27,RCB,16,16,207,5-11,Illinois,5/27/1988,6,10,Miami Dolphins / 1st / 25th pick /2009,CLT,2015,2025-08-15 13:52:37
15,Phillip Dorsett,22,WR,11,0,185,5-10,Miami (FL),1/5/1993,Rook,2,Indianapolis Colts / 1st / 29th pick /2015,CLT,2015,2025-08-15 13:52:37
84,Jack Doyle,25,TE,16,2,262,6-6,Western Kentucky,5/5/1990,2,1,,CLT,2015,2025-08-15 13:52:37
80,Coby Fleener,27,TE,16,11,251,6-6,Stanford,9/20/1988,3,4,Indianapolis Colts / 2nd / 34th pick /2012,CLT,2015,2025-08-15 13:52:37
