No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
73,Nick Allegretti,24,LG,16,9,320,6-4,Illinois,4/21/1996,1,5,Kansas City Chiefs / 7th / 216th pick /2019,"$675,000",KAN,2020,2025-08-15 14:07:27
30,Deandre Baker,23,DB,2,1,186,5-11,Georgia,9/4/1997,1,0,New York Giants / 1st / 30th pick /2019,,KAN,2020,2025-08-15 14:07:27
26,Le'Veon Bell,28,RB,9,2,225,6-1,Michigan St.,2/18/1992,7,2,Pittsburgh Steelers / 2nd / 48th pick /2013,"$705,882",KAN,2020,2025-08-15 14:07:27
21,Bashaud Breeland,28,RCB,11,11,195,5-11,Clemson,1/30/1992,6,4,Washington Redskins / 4th / 102nd pick /2014,"$764,706",KAN,2020,2025-08-15 14:07:27
7,Harrison Butker,25,K,16,0,205,6-4,Georgia Tech,7/14/1995,3,3,Carolina Panthers / 7th / 233rd pick /2017,"$2,345,000",KAN,2020,2025-08-15 14:07:27
94,Taco Charlton,26,DE,7,0,270,6-6,Michigan,11/7/1994,3,1,Dallas Cowboys / 1st / 28th pick /2017,"$825,000",KAN,2020,2025-08-15 14:07:27
55,Frank Clark,27,RDE,15,15,272,6-3,Michigan,6/14/1993,5,10,Seattle Seahawks / 2nd / 63rd pick /2015,"$12,000,000",KAN,2020,2025-08-15 14:07:27
59,Omari Cobb,23,LB,1,0,223,6-4,Marshall,5/31/1997,Rook,0,,,KAN,2020,2025-08-15 14:07:27
51,Michael Danna,23,DE,13,1,257,6-2,"Central Michigan,Michigan",12/1/1997,Rook,1,Kansas City Chiefs / 5th / 177th pick /2020,"$572,941",KAN,2020,2025-08-15 14:07:27
12,Gehrig Dieter,27,WR,4,0,207,6-3,Alabama,2/24/1993,2,0,,,KAN,2020,2025-08-15 14:07:27
79,Yasir Durant,22,T,11,1,330,6-6,Missouri,5/21/1998,Rook,1,,,KAN,2020,2025-08-15 14:07:27
25,Clyde Edwards-Helaire,21,RB,13,13,207,5-7,LSU,4/11/1999,Rook,8,Kansas City Chiefs / 1st / 32nd pick /2020,"$610,000",KAN,2020,2025-08-15 14:07:27
27,Rashad Fenton,23,DB,16,3,193,5-11,South Carolina,2/17/1997,1,2,Kansas City Chiefs / 6th / 201st pick /2019,"$675,000",KAN,2020,2025-08-15 14:07:27
72,Eric Fisher,29,LT,15,15,315,6-7,Central Michigan,1/5/1991,7,11,Kansas City Chiefs / 1st / 1st pick /2013,"$8,750,000",KAN,2020,2025-08-15 14:07:27
50,Willie Gay Jr.,22,RLB,16,8,246,6-1,Mississippi St.,2/15/1998,Rook,4,Kansas City Chiefs / 2nd / 63rd pick /2020,,KAN,2020,2025-08-15 14:07:27
20,Antonio Hamilton,27,DB,16,0,200,6-0,South Carolina St.,1/24/1993,4,1,,"$910,000",KAN,2020,2025-08-15 14:07:27
17,Mecole Hardman,22,WR,16,8,187,5-10,Georgia,3/12/1998,1,6,Kansas City Chiefs / 2nd / 56th pick /2019,"$722,048",KAN,2020,2025-08-15 14:07:27
47,Darius Harris,24,LB,4,2,238,6-2,Middle Tenn. St.,1/17/1996,1,1,,"$555,882",KAN,2020,2025-08-15 14:07:27
52,Demone Harris,25,DE,1,0,272,6-4,Buffalo,12/30/1995,2,0,,"$750,000",KAN,2020,2025-08-15 14:07:27
4,Chad Henne,35,QB,3,1,215,6-3,Michigan,7/2/1985,12,1,Miami Dolphins / 2nd / 57th pick /2008,"$1,250,000",KAN,2020,2025-08-15 14:07:27
10,Tyreek Hill,26,WR,15,15,191,5-10,"Garden City (KS),Oklahoma St.,West Alabama",3/1/1994,4,12,Kansas City Chiefs / 5th / 165th pick /2016,"$910,000",KAN,2020,2025-08-15 14:07:27
53,Anthony Hitchens,28,LLB,14,14,231,6-0,Iowa,6/10/1992,6,6,Dallas Cowboys / 4th / 119th pick /2014,"$7,800,000",KAN,2020,2025-08-15 14:07:27
96,Braxton Hoyett,24,DT,1,0,302,6-2,Mississippi St.,2/5/1996,1,0,,,KAN,2020,2025-08-15 14:07:27
65,Danny Isidora,26,G,1,0,306,6-3,Miami (FL),6/5/1994,3,0,Minnesota Vikings / 5th / 180th pick /2017,,KAN,2020,2025-08-15 14:07:27
95,Chris Jones,26,LDT,15,14,310,6-6,Mississippi St.,7/3/1994,4,12,Kansas City Chiefs / 2nd / 37th pick /2016,"$16,126,000",KAN,2020,2025-08-15 14:07:27
48,Nick Keizer,25,TE,16,3,251,6-4,Grand Valley St.,5/2/1995,1,1,,"$610,000",KAN,2020,2025-08-15 14:07:27
87,Travis Kelce,31,TE,15,15,250,6-5,Cincinnati,10/5/1989,7,12,Kansas City Chiefs / 3rd / 63rd pick /2013,"$8,500,000",KAN,2020,2025-08-15 14:07:27
19,Marcus Kemp,25,WR,10,0,208,6-4,Hawaii,8/14/1995,3,0,,"$675,000",KAN,2020,2025-08-15 14:07:27
,Thakarius Keyes,23,DB,8,1,202,6-1,Tulane,11/9/1997,Rook,1,Kansas City Chiefs / 7th / 237th pick /2020,,KAN,2020,2025-08-15 14:07:27
67,Daniel Kilgore,33,C,7,4,291,6-3,Appalachian St.,12/18/1987,9,2,San Francisco 49ers / 5th / 163rd pick /2011,"$1,050,000",KAN,2020,2025-08-15 14:07:27
92,Tanoh Kpassagnon,26,LDE,16,15,289,6-7,Villanova,6/14/1994,3,7,Kansas City Chiefs / 2nd / 59th pick /2017,"$1,029,257",KAN,2020,2025-08-15 14:07:27
45,Chris Lammons,24,DB,2,0,190,5-10,South Carolina,1/31/1996,1,0,,"$675,000",KAN,2020,2025-08-15 14:07:27
15,Patrick Mahomes,25,QB,15,15,225,6-2,Texas Tech,9/17/1995,3,17,Kansas City Chiefs / 1st / 10th pick /2017,"$825,000",KAN,2020,2025-08-15 14:07:27
32,Tyrann Mathieu,28,SS/RLB,15,15,190,5-9,LSU,5/13/1992,7,13,Arizona Cardinals / 3rd / 69th pick /2013,"$11,150,000",KAN,2020,2025-08-15 14:07:27
56,Ben Niemann,25,LB,15,5,235,6-2,Iowa,7/27/1995,2,4,,"$750,000",KAN,2020,2025-08-15 14:07:27
91,Derrick Nnadi,24,RDT,15,15,317,6-1,Florida St.,5/9/1996,2,7,Kansas City Chiefs / 3rd / 75th pick /2018,"$750,000",KAN,2020,2025-08-15 14:07:27
