No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
53,Nigel Bradham,25,RLB,14,14,241,6-2,Florida St.,9/4/1989,2,8,Buffalo Bills / 4th / 105th pick /2012,BUF,2014,2025-08-15 13:42:04
33,Ron Brooks,26,DB,14,1,190,5-10,LSU,10/16/1988,2,1,Buffalo Bills / 4th / 124th pick /2012,BUF,2014,2025-08-15 13:42:04
35,Bryce Brown,23,RB,7,2,223,6-0,Kansas St.,5/14/1991,2,2,Philadelphia Eagles / 7th / 229th pick /2012,BUF,2014,2025-08-15 13:42:04
52,Preston Brown,22,LLB,16,14,251,6-1,Louisville,10/27/1992,Rook,9,Buffalo Bills / 3rd / 73rd pick /2014,BUF,2014,2025-08-15 13:42:04
97,Corbin Bryant,26,DT,16,0,300,6-4,Northwestern,1/4/1988,3,2,,BUF,2014,2025-08-15 13:42:04
2,Dan Carpenter,29,K,16,0,216,6-2,Montana,11/25/1985,6,4,,BUF,2014,2025-08-15 13:42:04
84,Scott Chandler,29,TE,16,5,270,6-7,Iowa,7/23/1985,7,4,San Diego Chargers / 4th / 129th pick /2007,BUF,2014,2025-08-15 13:42:04
96,Stefan Charles,26,DT,16,1,302,6-5,Regina,6/9/1988,1,3,,BUF,2014,2025-08-15 13:42:04
29,Ross Cockrell,23,DB,7,0,191,6-0,Duke,8/6/1991,Rook,0,Buffalo Bills / 4th / 109th pick /2014,BUF,2014,2025-08-15 13:42:04
99,Marcell Dareus,24,RDT,15,15,331,6-3,Alabama,3/13/1990,3,18,Buffalo Bills / 1st / 3rd pick /2011,BUF,2014,2025-08-15 13:42:04
54,Larry Dean,26,LB,13,0,216,6-0,Valdosta St.,8/7/1988,3,1,,BUF,2014,2025-08-15 13:42:04
26,Anthony Dixon,27,RB,16,0,239,6-1,Mississippi St.,9/24/1987,4,3,San Francisco 49ers / 6th / 173rd pick /2010,BUF,2014,2025-08-15 13:42:04
81,Marcus Easley,27,WR,10,0,225,6-2,Connecticut,11/2/1987,2,0,Buffalo Bills / 4th / 107th pick /2010,BUF,2014,2025-08-15 13:42:04
4,Jordan Gay,24,P,16,0,200,6-0,Centre,3/29/1990,1,0,,BUF,2014,2025-08-15 13:42:04
24,Stephon Gilmore,24,RCB,14,14,190,6-0,South Carolina,9/19/1990,2,5,Buffalo Bills / 1st / 10th pick /2012,BUF,2014,2025-08-15 13:42:04
77,Cordy Glenn,25,LT,16,16,345,6-6,Georgia,9/18/1989,2,7,Buffalo Bills / 2nd / 41st pick /2012,BUF,2014,2025-08-15 13:42:04
88,Marquise Goodwin,24,WR,10,0,185,5-9,Texas,11/19/1990,1,0,Buffalo Bills / 3rd / 78th pick /2013,BUF,2014,2025-08-15 13:42:04
89,Chris Gragg,24,TE,10,5,244,6-3,Arkansas,6/30/1990,1,0,Buffalo Bills / 7th / 222nd pick /2013,BUF,2014,2025-08-15 13:42:04
20,Corey Graham,29,LCB,16,9,196,6-0,New Hampshire,7/25/1985,7,4,Chicago Bears / 5th / 168th pick /2007,BUF,2014,2025-08-15 13:42:04
48,MarQueis Gray,25,TE,5,5,263,6-4,Minnesota,11/7/1989,1,1,,BUF,2014,2025-08-15 13:42:04
75,Chris Hairston,25,T,16,0,323,6-6,Clemson,4/26/1989,3,1,Buffalo Bills / 4th / 122nd pick /2011,BUF,2014,2025-08-15 13:42:04
66,Seantrel Henderson,22,RT,16,16,351,6-7,Miami (FL),1/21/1992,Rook,7,Buffalo Bills / 7th / 237th pick /2014,BUF,2014,2025-08-15 13:42:04
15,Chris Hogan,27,WR,16,2,210,6-1,Monmouth,10/24/1987,1,3,,BUF,2014,2025-08-15 13:42:04
55,Jerry Hughes,26,RDE,16,16,254,6-2,TCU,8/13/1988,4,10,Indianapolis Colts / 1st / 31st pick /2010,BUF,2014,2025-08-15 13:42:04
