No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
60,David Andrews,28,C,12,12,300,6-2,Georgia,7/10/1992,5,4,,"$3,000,000",NWE,2020,2025-08-15 14:15:39
86,Devin Asiasi,23,TE,9,3,260,6-3,"Michigan,UCLA",8/14/1997,Rook,0,New England Patriots / 3rd / 91st pick /2020,"$610,000",NWE,2020,2025-08-15 14:15:39
7,Jake Bailey,23,P,16,0,212,6-2,Stanford,6/18/1997,1,3,New England Patriots / 5th / 163rd pick /2019,"$675,000",NWE,2020,2025-08-15 14:15:39
51,Ja'Whaun Bentley,24,LLB,13,13,250,6-2,Purdue,8/24/1996,2,7,New England Patriots / 5th / 143rd pick /2018,"$750,000",NWE,2020,2025-08-15 14:15:39
43,Rashod Berry,24,TE,3,0,255,6-4,Ohio St.,10/14/1996,Rook,0,,,NWE,2020,2025-08-15 14:15:39
29,Justin Bethel,30,DB,16,0,200,6-0,Presbyterian,6/17/1990,8,1,Arizona Cardinals / 6th / 177th pick /2012,"$1,500,000",NWE,2020,2025-08-15 14:15:39
96,Tashawn Bower,25,DE,7,3,250,6-5,LSU,2/18/1995,3,2,,"$397,062",NWE,2020,2025-08-15 14:15:39
25,Terrence Brooks,28,DB,14,2,205,5-11,Florida St.,3/2/1992,6,1,Baltimore Ravens / 3rd / 79th pick /2014,"$910,000",NWE,2020,2025-08-15 14:15:39
41,Myles Bryant,22,CB,9,0,192,5-9,Washington,1/2/1998,Rook,1,,,NWE,2020,2025-08-15 14:15:39
34,Rex Burkhead,30,RB,10,0,215,5-10,Nebraska,7/2/1990,7,3,Cincinnati Bengals / 6th / 190th pick /2013,"$1,050,000",NWE,2020,2025-08-15 14:15:39
70,Adam Butler,26,DT,15,4,301,6-4,Vanderbilt,4/12/1994,3,4,,"$3,259,000",NWE,2020,2025-08-15 14:15:39
10,Damiere Byrd,27,WR,16,14,175,5-9,South Carolina,1/27/1993,4,6,,"$1,000,000",NWE,2020,2025-08-15 14:15:39
90,Shilique Calhoun,28,DE,10,0,260,6-4,Michigan St.,3/20/1992,4,1,Oakland Raiders / 3rd / 75th pick /2016,"$1,000,000",NWE,2020,2025-08-15 14:15:39
49,Joe Cardona,28,LS,16,0,241,6-2,Navy,4/16/1992,5,1,New England Patriots / 5th / 166th pick /2015,"$910,000",NWE,2020,2025-08-15 14:15:39
52,Brandon Copeland,29,LB,6,4,263,6-3,Pennsylvania,7/2/1991,5,2,,"$910,000",NWE,2020,2025-08-15 14:15:39
99,Byron Cowart,24,RDT,14,14,300,6-3,Maryland,5/20/1996,1,8,New England Patriots / 5th / 159th pick /2019,"$645,588",NWE,2020,2025-08-15 14:15:39
74,Korey Cunningham,25,DT,11,0,305,6-6,Cincinnati,5/17/1995,2,1,Arizona Cardinals / 7th / 254th pick /2018,"$750,000",NWE,2020,2025-08-15 14:15:39
98,Carl Davis,28,DT,3,1,320,6-5,Iowa,3/2/1992,5,1,Baltimore Ravens / 3rd / 90th pick /2015,"$642,353",NWE,2020,2025-08-15 14:15:39
22,Cody Davis,31,DB,13,0,205,6-2,Texas Tech,6/6/1989,7,1,,"$1,100,000",NWE,2020,2025-08-15 14:15:39
35,Kyle Dugger,24,DB,14,7,216,6-1,Lenoir-Rhyne,3/22/1996,Rook,3,New England Patriots / 2nd / 37th pick /2020,"$610,000",NWE,2020,2025-08-15 14:15:39
11,Julian Edelman,34,WR,6,1,198,5-10,"San Mateo,Kent St.",5/22/1986,11,3,New England Patriots / 7th / 232nd pick /2009,"$3,300,000",NWE,2020,2025-08-15 14:15:39
72,Jermaine Eluemunor,26,RT,12,8,338,6-4,"Lackawanna,Texas A&M",12/13/1994,3,3,Baltimore Ravens / 5th / 159th pick /2017,"$2,133,000",NWE,2020,2025-08-15 14:15:39
66,James Ferentz,31,C,7,2,290,6-2,Iowa,6/5/1989,5,1,,"$727,941",NWE,2020,2025-08-15 14:15:39
6,Nick Folk,36,K,16,0,222,6-1,Arizona,11/5/1984,13,4,Dallas Cowboys / 6th / 178th pick /2007,"$988,235",NWE,2020,2025-08-15 14:15:39
64,Hjalte Froholdt,24,G,8,0,310,6-5,Arkansas,8/20/1996,1,0,New England Patriots / 4th / 118th pick /2019,"$610,000",NWE,2020,2025-08-15 14:15:39
24,Stephon Gilmore,30,RCB,11,11,190,6-0,South Carolina,9/19/1990,8,7,Buffalo Bills / 1st / 10th pick /2012,"$13,000,000",NWE,2020,2025-08-15 14:15:39
93,Lawrence Guy,30,LDT,14,14,315,6-4,Arizona St.,3/17/1990,8,8,Green Bay Packers / 7th / 233rd pick /2011,"$3,100,000",NWE,2020,2025-08-15 14:15:39
59,Terez Hall,24,MLB,8,4,235,6-2,Missouri,11/18/1996,1,3,,,NWE,2020,2025-08-15 14:15:39
37,Damien Harris,23,RB,10,10,213,5-11,Alabama,2/11/1997,1,5,New England Patriots / 3rd / 87th pick /2019,"$630,882",NWE,2020,2025-08-15 14:15:39
15,N'Keal Harry,23,WR,14,9,225,6-4,Arizona St.,12/17/1997,1,3,New England Patriots / 1st / 32nd pick /2019,"$954,016",NWE,2020,2025-08-15 14:15:39
75,Justin Herron,25,LT,12,6,305,6-5,Wake Forest,11/27/1995,Rook,3,New England Patriots / 6th / 195th pick /2020,"$486,468",NWE,2020,2025-08-15 14:15:39
