No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
42,Gerald Alexander,27,DB,1,0,210,6-0,Boise St.,6/28/1984,4,0,Detroit Lions / 2nd / 61st pick /2007,NYJ,2011,2025-08-15 14:20:26
45,Josh Baker,25,TE,11,0,244,6-3,"Delaware,NW Missouri St.",12/25/1986,Rook,0,,NYJ,2011,2025-08-15 14:20:26
64,Colin Baxter,24,C,3,2,311,6-3,Arizona,7/31/1987,Rook,1,,NYJ,2011,2025-08-15 14:20:26
54,Nick Bellore,22,LB,16,0,250,6-1,Central Michigan,5/12/1989,Rook,1,,NYJ,2011,2025-08-15 14:20:26
8,Mark Brunell,41,QB,16,0,215,6-1,Washington,9/17/1970,17,0,Green Bay Packers / 5th / 118th pick /1993,NYJ,2011,2025-08-15 14:20:26
17,Plaxico Burress,34,WR,16,13,232,6-5,Michigan St.,8/12/1977,11,5,Pittsburgh Steelers / 1st / 8th pick /2000,NYJ,2011,2025-08-15 14:20:26
34,Marquice Cole,28,DB,14,0,184,5-11,Northwestern,11/13/1983,2,1,,NYJ,2011,2025-08-15 14:20:26
4,T.J. Conley,26,P,16,0,220,6-3,Idaho,8/29/1985,Rook,1,,NYJ,2011,2025-08-15 14:20:26
38,John Conner,24,FB,16,8,240,5-11,Kentucky,6/8/1987,1,0,New York Jets / 5th / 139th pick /2010,NYJ,2011,2025-08-15 14:20:26
27,Emanuel Cook,23,DB,8,0,214,5-10,South Carolina,1/20/1988,1,0,,NYJ,2011,2025-08-15 14:20:26
31,Antonio Cromartie,27,RCB,16,16,210,6-2,Florida St.,4/15/1984,5,7,San Diego Chargers / 1st / 19th pick /2006,NYJ,2011,2025-08-15 14:20:26
86,Jeff Cumberland,24,TE,3,0,249,6-4,Illinois,5/2/1987,1,0,,NYJ,2011,2025-08-15 14:20:26
70,Mike DeVito,27,RDE,12,11,298,6-3,Maine,6/10/1984,4,11,,NYJ,2011,2025-08-15 14:20:26
94,Marcus Dixon,27,DE,16,3,295,6-4,Hampton,9/16/1984,1,3,,NYJ,2011,2025-08-15 14:20:26
62,Vlad Ducasse,24,G,16,1,329,6-5,Massachusetts,10/15/1987,1,1,New York Jets / 2nd / 61st pick /2010,NYJ,2011,2025-08-15 14:20:26
93,Kenrick Ellis,24,DT,5,2,346,6-5,Hampton,12/10/1987,Rook,2,New York Jets / 3rd / 94th pick /2011,NYJ,2011,2025-08-15 14:20:26
60,D'Brickashaw Ferguson,28,LT,16,16,310,6-6,Virginia,12/10/1983,5,8,New York Jets / 1st / 4th pick /2006,NYJ,2011,2025-08-15 14:20:26
2,Nick Folk,27,K,16,0,222,6-1,Arizona,11/5/1984,4,3,Dallas Cowboys / 6th / 178th pick /2007,NYJ,2011,2025-08-15 14:20:26
23,Shonn Greene,26,RB,16,15,235,5-10,Iowa,8/21/1985,2,7,New York Jets / 3rd / 65th pick /2009,NYJ,2011,2025-08-15 14:20:26
52,David Harris,27,RILB,16,16,250,6-2,Michigan,1/21/1984,4,10,New York Jets / 2nd / 47th pick /2007,NYJ,2011,2025-08-15 14:20:26
10,Santonio Holmes,27,WR,16,16,192,5-11,Ohio St.,3/3/1984,5,5,Pittsburgh Steelers / 1st / 25th pick /2006,NYJ,2011,2025-08-15 14:20:26
78,Wayne Hunter,30,RT,16,16,318,6-5,Hawaii,7/2/1981,7,6,Seattle Seahawks / 3rd / 73rd pick /2003,NYJ,2011,2025-08-15 14:20:26
99,Eddie Jones,23,DT,1,0,258,6-2,Texas,1/11/1988,Rook,0,,NYJ,2011,2025-08-15 14:20:26
81,Dustin Keller,27,TE,16,12,248,6-2,Purdue,9/25/1984,3,6,New York Jets / 1st / 30th pick /2008,NYJ,2011,2025-08-15 14:20:26
11,Jeremy Kerley,23,WR,14,1,188,5-9,TCU,11/8/1988,Rook,3,New York Jets / 5th / 153rd pick /2011,NYJ,2011,2025-08-15 14:20:26
26,Ellis Lankster,24,DB,7,0,191,5-9,West Virginia,6/3/1987,2,1,Buffalo Bills / 7th / 220th pick /2009,NYJ,2011,2025-08-15 14:20:26
