No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
77,Hakeem Adeniji,23,LT,15,5,302,6-4,Kansas,12/8/1997,Rook,3,Cincinnati Bengals / 6th / 180th pick /2020,"$610,000",CIN,2020,2025-08-15 13:49:15
92,Freedom Akinmoladun,24,DE,2,0,284,6-3,Nebraska,2/11/1996,1,0,,"$134,400",CIN,2020,2025-08-15 13:49:15
21,Mackensie Alexander,27,RLB,13,10,192,5-10,Clemson,11/12/1993,4,4,Minnesota Vikings / 2nd / 54th pick /2016,"$2,250,000",CIN,2020,2025-08-15 13:49:15
8,Brandon Allen,28,QB,5,5,209,6-2,Arkansas,9/5/1992,1,2,Jacksonville Jaguars / 6th / 201st pick /2016,"$204,000",CIN,2020,2025-08-15 13:49:15
97,Geno Atkins,32,DT,8,0,300,6-1,Georgia,3/28/1988,10,1,Cincinnati Bengals / 4th / 120th pick /2010,"$11,100,000",CIN,2020,2025-08-15 13:49:15
51,Markus Bailey,23,LB,11,0,235,6-1,Purdue,3/7/1997,Rook,1,Cincinnati Bengals / 7th / 215th pick /2020,"$610,000",CIN,2020,2025-08-15 13:49:15
30,Jessie Bates III,23,FS,16,16,210,6-1,Wake Forest,2/26/1997,2,10,Cincinnati Bengals / 2nd / 54th pick /2018,"$929,801",CIN,2020,2025-08-15 13:49:15
24,Vonn Bell,26,SS,16,16,205,5-11,Ohio St.,12/12/1994,4,6,New Orleans Saints / 2nd / 61st pick /2016,"$3,000,000",CIN,2020,2025-08-15 13:49:15
25,Giovani Bernard,29,RB,16,10,205,5-9,North Carolina,11/22/1991,7,5,Cincinnati Bengals / 2nd / 37th pick /2013,"$3,100,000",CIN,2020,2025-08-15 13:49:15
91,Amani Bledsoe,22,DE,14,4,280,6-4,Oklahoma,2/6/1998,1,3,,"$574,112",CIN,2020,2025-08-15 13:49:15
83,Tyler Boyd,26,WR,15,8,203,6-2,Pittsburgh,11/15/1994,4,7,Cincinnati Bengals / 2nd / 55th pick /2016,"$4,200,000",CIN,2020,2025-08-15 13:49:15
93,Andrew Brown,25,DT,4,0,290,6-3,Virginia,12/30/1995,1,0,Cincinnati Bengals / 5th / 158th pick /2018,"$675,000",CIN,2020,2025-08-15 13:49:15
27,Tony Brown,25,DB,13,1,200,6-0,Alabama,7/13/1995,2,1,,"$750,000",CIN,2020,2025-08-15 13:49:15
4,Randy Bullock,31,K,12,0,210,5-9,Texas A&M,12/16/1989,7,2,Houston Texans / 5th / 161st pick /2012,"$1,525,000",CIN,2020,2025-08-15 13:49:15
9,Joe Burrow,24,QB,10,10,215,6-4,"Ohio St.,LSU",12/10/1996,Rook,7,Cincinnati Bengals / 1st / 1st pick /2020,"$610,000",CIN,2020,2025-08-15 13:49:15
56,Josh Bynes,31,LLB,16,16,240,6-1,Auburn,8/24/1989,9,8,,"$1,050,000",CIN,2020,2025-08-15 13:49:15
63,Shaq Calhoun,24,G,1,1,310,6-3,Mississippi St.,2/20/1996,1,0,,"$675,000",CIN,2020,2025-08-15 13:49:15
82,Cethan Carter,25,TE,15,5,248,6-3,Nebraska,9/5/1995,3,0,,"$2,133,000",CIN,2020,2025-08-15 13:49:15
99,Christian Covington,27,RDT,16,14,289,6-2,Rice,10/16/1993,5,7,Houston Texans / 6th / 216th pick /2015,"$1,250,000",CIN,2020,2025-08-15 13:49:15
76,Mike Daniels,31,LDT,11,11,310,6-0,Iowa,5/5/1989,8,5,Green Bay Packers / 4th / 132nd pick /2012,"$1,050,000",CIN,2020,2025-08-15 13:49:15
37,Jalen Davis,24,DB,6,0,186,5-10,Utah St.,2/2/1996,2,0,,,CIN,2020,2025-08-15 13:49:15
59,Akeem Davis-Gaither,23,LB,16,2,238,6-2,Appalachian St.,9/21/1997,Rook,2,Cincinnati Bengals / 4th / 107th pick /2020,"$610,000",CIN,2020,2025-08-15 13:49:15
96,Carlos Dunlap,31,DE,7,4,285,6-6,Florida,2/28/1989,10,2,Cincinnati Bengals / 2nd / 54th pick /2010,"$7,800,000",CIN,2020,2025-08-15 13:49:15
12,Alex Erickson,28,WR,16,2,195,6-0,Wisconsin,11/6/1992,4,1,,"$1,600,000",CIN,2020,2025-08-15 13:49:15
50,Jordan Evans,25,LB,15,0,242,6-3,Oklahoma,1/27/1995,3,2,Cincinnati Bengals / 6th / 193rd pick /2017,"$825,000",CIN,2020,2025-08-15 13:49:15
5,Ryan Finley,26,QB,5,1,207,6-4,North Carolina St.,12/26/1994,1,1,Cincinnati Bengals / 4th / 104th pick /2019,"$675,000",CIN,2020,2025-08-15 13:49:15
61,B.J. Finney,29,C,1,0,318,6-4,Kansas St.,10/26/1991,4,0,,"$1,470,588",CIN,2020,2025-08-15 13:49:15
18,A.J. Green,32,WR,16,14,207,6-4,Georgia,7/31/1988,9,4,Cincinnati Bengals / 1st / 4th pick /2011,"$17,971,000",CIN,2020,2025-08-15 13:49:15
46,Clark Harris,36,TE,16,0,250,6-5,Rutgers,7/10/1984,12,1,Green Bay Packers / 7th / 243rd pick /2007,"$1,050,000",CIN,2020,2025-08-15 13:49:15
68,Bobby Hart,26,RT,14,13,334,6-4,Florida St.,8/21/1994,5,5,New York Giants / 7th / 226th pick /2015,"$2,850,000",CIN,2020,2025-08-15 13:49:15
41,Trayvon Henderson,25,DB,4,0,205,6-0,Hawaii,8/15/1995,1,0,,"$134,400",CIN,2020,2025-08-15 13:49:15
85,Tee Higgins,21,WR,16,14,220,6-4,Clemson,1/18/1999,Rook,7,Cincinnati Bengals / 2nd / 33rd pick /2020,"$610,000",CIN,2020,2025-08-15 13:49:15
66,Trey Hopkins,28,C,15,15,316,6-3,Texas,7/6/1992,4,5,,"$2,550,000",CIN,2020,2025-08-15 13:49:15
94,Sam Hubbard,25,LDE/RDE,13,13,265,6-5,Ohio St.,6/23/1995,2,6,Cincinnati Bengals / 3rd / 77th pick /2018,"$538,237",CIN,2020,2025-08-15 13:49:15
10,Kevin Huber,35,P,16,0,210,6-1,Cincinnati,7/16/1985,11,3,Cincinnati Bengals / 5th / 142nd pick /2009,"$2,500,000",CIN,2020,2025-08-15 13:49:15
70,Margus Hunt,33,DE,9,1,295,6-8,SMU,7/14/1987,7,1,Cincinnati Bengals / 2nd / 53rd pick /2013,"$679,412",CIN,2020,2025-08-15 13:49:15
16,Trenton Irwin,25,WR,1,0,204,6-2,Stanford,12/10/1995,1,0,,"$510,000",CIN,2020,2025-08-15 13:49:15
22,William Jackson III,28,RCB,14,14,189,6-0,"Houston,Trinity Valley CC (TX)",10/27/1992,3,5,Cincinnati Bengals / 1st / 24th pick /2016,"$9,954,000",CIN,2020,2025-08-15 13:49:15
74,Fred Johnson,23,LT,12,6,326,6-7,Florida,6/5/1997,1,3,,"$675,000",CIN,2020,2025-08-15 13:49:15
