No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
31,Ameer Abdullah,26,RB,16,0,203,5-9,Nebraska,6/13/1993,4,2,Detroit Lions / 2nd / 54th pick /2015,"$720,000",MIN,2019,2025-08-15 14:13:29
20,Mackensie Alexander,26,LB,13,4,192,5-10,Clemson,11/12/1993,3,2,Minnesota Vikings / 2nd / 54th pick /2016,"$1,038,587",MIN,2019,2025-08-15 14:13:29
5,Dan Bailey,31,K,16,0,190,6-0,Oklahoma St.,1/26/1988,8,4,,"$1,000,000",MIN,2019,2025-08-15 14:13:29
55,Anthony Barr,27,RLB,14,14,257,6-5,UCLA,3/18/1992,5,7,Minnesota Vikings / 1st / 9th pick /2014,"$2,900,000",MIN,2019,2025-08-15 14:13:29
12,Chad Beebe,25,WR,3,0,183,5-10,Northern Illinois,6/1/1994,1,1,,"$570,000",MIN,2019,2025-08-15 14:13:29
23,Mike Boone,24,RB,16,2,206,5-10,Cincinnati,6/30/1995,1,2,,"$570,000",MIN,2019,2025-08-15 14:13:29
38,Kris Boyd,23,DB,16,0,201,5-11,Texas,9/12/1996,Rook,1,Minnesota Vikings / 7th / 217th pick /2019,"$495,000",MIN,2019,2025-08-15 14:13:29
56,Garrett Bradbury,24,C,16,16,300,6-3,North Carolina St.,6/20/1995,Rook,8,Minnesota Vikings / 1st / 18th pick /2019,"$495,000",MIN,2019,2025-08-15 14:13:29
40,Kentrell Brothers,26,LB,13,1,242,6-1,Missouri,2/8/1993,3,1,Minnesota Vikings / 5th / 160th pick /2016,"$720,000",MIN,2019,2025-08-15 14:13:29
76,Aviante Collins,25,T,2,1,292,6-4,TCU,5/13/1994,2,1,,"$645,000",MIN,2019,2025-08-15 14:13:29
2,Britton Colquitt,34,P,16,0,210,6-3,Tennessee,3/20/1985,9,2,,,MIN,2019,2025-08-15 14:13:29
83,Tyler Conklin,24,TE,15,1,248,6-3,Central Michigan,7/30/1995,1,1,Minnesota Vikings / 5th / 157th pick /2018,"$570,000",MIN,2019,2025-08-15 14:13:29
33,Dalvin Cook,24,RB,14,14,210,5-10,Florida St.,8/10/1995,2,15,Minnesota Vikings / 2nd / 41st pick /2017,"$1,042,576",MIN,2019,2025-08-15 14:13:29
8,Kirk Cousins,31,QB,15,15,205,6-3,Michigan St.,8/19/1988,7,14,Washington Redskins / 4th / 102nd pick /2012,"$27,500,000",MIN,2019,2025-08-15 14:13:29
58,Austin Cutting,23,LS,16,0,245,6-3,Air Force,10/27/1996,Rook,1,Minnesota Vikings / 7th / 250th pick /2019,"$495,000",MIN,2019,2025-08-15 14:13:29
16,Davion Davis,23,WR,2,0,195,5-11,Sam Houston St.,10/23/1996,Rook,0,,,MIN,2019,2025-08-15 14:13:29
14,Stefon Diggs,26,WR,15,15,191,6-0,Maryland,11/29/1993,4,13,Minnesota Vikings / 5th / 146th pick /2015,"$8,900,000",MIN,2019,2025-08-15 14:13:29
86,Brandon Dillon,22,TE,1,0,250,6-5,Marian,4/30/1997,Rook,0,,"$495,000",MIN,2019,2025-08-15 14:13:29
13,Josh Doctson,27,WR,1,0,205,6-2,"TCU,Wyoming",12/3/1992,3,0,Washington Redskins / 1st / 22nd pick /2016,,MIN,2019,2025-08-15 14:13:29
57,Devante Downs,24,LB,2,0,252,6-2,California,10/18/1995,1,0,Minnesota Vikings / 7th / 225th pick /2018,"$570,000",MIN,2019,2025-08-15 14:13:29
78,Dakota Dozier,28,G,16,4,312,6-4,Furman,4/30/1991,4,3,New York Jets / 4th / 137th pick /2014,"$805,000",MIN,2019,2025-08-15 14:13:29
65,Pat Elflein,25,LG,15,15,303,6-2,Ohio St.,7/6/1994,2,8,Minnesota Vikings / 3rd / 70th pick /2017,"$809,500",MIN,2019,2025-08-15 14:13:29
39,Marcus Epps,23,DB,8,0,195,6-0,Wyoming,1/27/1996,Rook,0,Minnesota Vikings / 6th / 191st pick /2019,"$670,000",MIN,2019,2025-08-15 14:13:29
32,Mark Fields II,23,DB,1,0,192,5-10,Clemson,10/10/1996,Rook,0,,,MIN,2019,2025-08-15 14:13:29
42,Ben Gedeon,25,LLB,8,5,244,6-2,Michigan,10/16/1994,2,2,Minnesota Vikings / 4th / 120th pick /2017,"$645,000",MIN,2019,2025-08-15 14:13:29
97,Everson Griffen,32,RDE,15,15,273,6-3,USC,12/22/1987,9,10,Minnesota Vikings / 4th / 100th pick /2010,"$6,400,000",MIN,2019,2025-08-15 14:13:29
30,C.J. Ham,26,FB,16,7,250,5-11,Augustana (SD),7/22/1993,2,2,,"$645,000",MIN,2019,2025-08-15 14:13:29
41,Anthony Harris,28,FS,14,14,202,6-1,Virginia,10/9/1991,4,6,,"$3,095,000",MIN,2019,2025-08-15 14:13:29
24,Holton Hill,22,DB,8,1,196,6-2,Texas,3/28/1997,1,1,,"$435,882",MIN,2019,2025-08-15 14:13:29
69,Rashod Hill,27,T,15,1,310,6-6,Southern Miss,1/12/1992,3,2,,"$2,025,000",MIN,2019,2025-08-15 14:13:29
15,Alexander Hollins,23,WR,5,1,166,6-1,Eastern Illinois,11/24/1996,Rook,0,,,MIN,2019,2025-08-15 14:13:29
92,Jalyn Holmes,23,DE,6,0,283,6-5,Ohio St.,1/25/1996,1,0,Minnesota Vikings / 4th / 102nd pick /2018,"$570,000",MIN,2019,2025-08-15 14:13:29
21,Mike Hughes,22,DB,14,3,190,5-10,"North Carolina,Central Florida",2/11/1997,1,2,Minnesota Vikings / 1st / 30th pick /2018,"$928,522",MIN,2019,2025-08-15 14:13:29
99,Danielle Hunter,25,LDE,16,16,263,6-5,LSU,10/29/1994,4,12,Minnesota Vikings / 3rd / 88th pick /2015,"$9,400,000",MIN,2019,2025-08-15 14:13:29
94,Jaleel Johnson,25,DT,16,3,316,6-3,Iowa,7/12/1994,2,3,Minnesota Vikings / 4th / 109th pick /2017,"$645,000",MIN,2019,2025-08-15 14:13:29
81,Olabisi Johnson,22,WR,16,6,203,6-0,Colorado St.,3/17/1997,Rook,3,Minnesota Vikings / 7th / 247th pick /2019,"$647,500",MIN,2019,2025-08-15 14:13:29
61,Brett Jones,28,G,2,0,315,6-2,Regina,7/29/1991,3,0,,"$720,000",MIN,2019,2025-08-15 14:13:29
98,Linval Joseph,31,LDT,13,13,329,6-4,East Carolina,10/10/1988,9,6,New York Giants / 2nd / 46th pick /2010,"$8,900,000",MIN,2019,2025-08-15 14:13:29
27,Jayron Kearse,25,DB,15,3,215,6-4,Clemson,2/11/1994,3,2,Minnesota Vikings / 7th / 244th pick /2016,"$720,000",MIN,2019,2025-08-15 14:13:29
54,Eric Kendricks,27,MLB,15,15,232,6-0,UCLA,2/29/1992,4,15,Minnesota Vikings / 2nd / 45th pick /2015,"$4,150,000",MIN,2019,2025-08-15 14:13:29
64,Josh Kline,30,RG,13,13,300,6-3,Kent St.,12/29/1989,6,7,,"$1,450,000",MIN,2019,2025-08-15 14:13:29
4,Sean Mannion,27,QB,3,1,230,6-6,Oregon St.,4/25/1992,4,0,St. Louis Rams / 3rd / 89th pick /2015,"$805,000",MIN,2019,2025-08-15 14:13:29
