No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
50,Russell Allen,26,RLB,16,16,230,6-3,San Diego St.,5/5/1986,3,7,,JAX,2012,2025-08-15 14:04:20
93,Tyson Alualu,25,LDT,16,16,304,6-3,California,5/12/1987,2,7,Jacksonville Jaguars / 1st / 10th pick /2010,JAX,2012,2025-08-15 14:04:20
19,Bryan Anger,24,P,16,0,202,6-3,California,10/6/1988,Rook,3,Jacksonville Jaguars / 3rd / 70th pick /2012,JAX,2012,2025-08-15 14:04:20
72,Mark Asper,27,G,1,0,319,6-6,Oregon,11/8/1985,Rook,0,Buffalo Bills / 6th / 178th pick /2012,JAX,2012,2025-08-15 14:04:20
58,Jason Babin,32,DE,5,5,267,6-3,Western Michigan,5/24/1980,8,2,Houston Texans / 1st / 27th pick /2004,JAX,2012,2025-08-15 14:04:20
76,Daniel Baldridge,27,T,1,0,311,6-8,Marshall,10/21/1985,2,0,,JAX,2012,2025-08-15 14:04:20
14,Justin Blackmon,22,WR,16,14,210,6-1,Oklahoma St.,1/9/1990,Rook,6,Jacksonville Jaguars / 1st / 5th pick /2012,JAX,2012,2025-08-15 14:04:20
38,Antwon Blake,22,DB,16,0,198,5-9,Texas-El Paso,8/9/1990,Rook,1,,JAX,2012,2025-08-15 14:04:20
56,Kyle Bosworth,26,LLB,16,5,235,6-1,UCLA,11/21/1986,1,3,,JAX,2012,2025-08-15 14:04:20
78,Cameron Bradfield,25,RT,14,12,301,6-4,Grand Valley St.,9/14/1987,1,5,,JAX,2012,2025-08-15 14:04:20
90,Andre Branch,23,DE,13,3,263,6-5,Clemson,7/14/1989,Rook,2,Jacksonville Jaguars / 2nd / 38th pick /2012,JAX,2012,2025-08-15 14:04:20
60,Mike Brewster,23,LG,12,7,310,6-4,Ohio St.,7/27/1989,Rook,3,,JAX,2012,2025-08-15 14:04:20
73,Eben Britton,25,LG,11,5,310,6-6,Arizona,10/14/1987,3,2,Jacksonville Jaguars / 2nd / 39th pick /2009,JAX,2012,2025-08-15 14:04:20
12,Mike Brown,23,WR,2,1,205,5-10,Liberty,2/9/1989,Rook,0,,JAX,2012,2025-08-15 14:04:20
48,Jeremy Cain,32,LB,16,0,245,6-1,Massachusetts,3/24/1980,8,2,,JAX,2012,2025-08-15 14:04:20
97,John Chick,30,DE,8,0,250,6-4,Utah St.,11/20/1982,1,1,,JAX,2012,2025-08-15 14:04:20
17,Toney Clemons,24,WR,4,0,210,6-2,Colorado,10/11/1988,Rook,0,Pittsburgh Steelers / 7th / 231st pick /2012,JAX,2012,2025-08-15 14:04:20
83,Colin Cloherty,25,TE,1,0,245,6-2,Brown,9/16/1987,3,0,,JAX,2012,2025-08-15 14:04:20
13,Quan Cosby,30,WR,2,0,191,5-9,Texas,12/23/1982,3,0,,JAX,2012,2025-08-15 14:04:20
21,Derek Cox,26,RCB,12,12,180,6-1,William & Mary,9/22/1986,3,5,Jacksonville Jaguars / 3rd / 73rd pick /2009,JAX,2012,2025-08-15 14:04:20
59,Ryan Davis,23,LB,1,0,260,6-2,Bethune-Cookman,2/24/1989,Rook,0,,JAX,2012,2025-08-15 14:04:20
87,Kevin Elliott,24,WR,13,1,215,6-3,Florida A&M,12/21/1988,Rook,1,,JAX,2012,2025-08-15 14:04:20
11,Blaine Gabbert,23,QB,10,10,233,6-4,Missouri,10/15/1989,1,3,Jacksonville Jaguars / 1st / 10th pick /2011,JAX,2012,2025-08-15 14:04:20
43,Chris Harris,30,DB,5,0,211,6-0,La-Monroe,8/6/1982,7,0,Chicago Bears / 6th / 181st pick /2005,JAX,2012,2025-08-15 14:04:20
20,Mike Harris,23,LCB,15,6,188,5-10,Florida St.,1/5/1989,Rook,3,Jacksonville Jaguars / 6th / 176th pick /2012,JAX,2012,2025-08-15 14:04:20
7,Chad Henne,27,QB,10,6,215,6-3,Michigan,7/2/1985,4,4,Miami Dolphins / 2nd / 57th pick /2008,JAX,2012,2025-08-15 14:04:20
18,Jerrell Jackson,22,DB,1,0,190,6-1,Missouri,2/6/1990,Rook,0,,JAX,2012,2025-08-15 14:04:20
23,Rashad Jennings,27,RB,10,6,234,6-1,Liberty,3/26/1985,3,2,Jacksonville Jaguars / 7th / 250th pick /2009,JAX,2012,2025-08-15 14:04:20
33,Greg Jones,31,RB,12,4,265,6-1,Florida St.,5/9/1981,8,0,Jacksonville Jaguars / 2nd / 55th pick /2004,JAX,2012,2025-08-15 14:04:20
54,Greg Jones,24,LB,6,0,240,6-0,Michigan St.,10/5/1988,1,0,New York Giants / 6th / 185th pick /2011,JAX,2012,2025-08-15 14:04:20
32,Maurice Jones-Drew,27,RB,6,5,210,5-7,UCLA,3/23/1985,6,3,Jacksonville Jaguars / 2nd / 60th pick /2006,JAX,2012,2025-08-15 14:04:20
96,Terrance Knighton,26,DT,16,4,295,6-2,Temple,7/4/1986,3,3,Jacksonville Jaguars / 3rd / 72nd pick /2009,JAX,2012,2025-08-15 14:04:20
26,Dawan Landry,30,SS,16,16,212,6-1,Georgia Tech,12/30/1982,6,6,Baltimore Ravens / 5th / 146th pick /2006,JAX,2012,2025-08-15 14:04:20
92,Austen Lane,25,RDE,11,7,267,6-6,Murray St.,11/9/1987,2,3,Jacksonville Jaguars / 5th / 153rd pick /2010,JAX,2012,2025-08-15 14:04:20
89,Marcedes Lewis,28,TE,16,15,267,6-6,UCLA,5/19/1984,6,4,Jacksonville Jaguars / 1st / 28th pick /2006,JAX,2012,2025-08-15 14:04:20
25,Dwight Lowery,26,FS,9,9,185,6-1,San Jose St.,1/23/1986,4,4,New York Jets / 4th / 113th pick /2008,JAX,2012,2025-08-15 14:04:20
53,Brandon Marshall,23,LB,5,0,245,6-1,Nevada,9/10/1989,Rook,0,Jacksonville Jaguars / 5th / 142nd pick /2012,JAX,2012,2025-08-15 14:04:20
27,Rashean Mathis,32,DB,12,4,195,6-1,Bethune-Cookman,8/27/1980,9,2,Jacksonville Jaguars / 2nd / 39th pick /2003,JAX,2012,2025-08-15 14:04:20
63,Brad Meester,35,C,16,16,292,6-3,Northern Iowa,3/23/1977,12,6,Jacksonville Jaguars / 2nd / 60th pick /2000,JAX,2012,2025-08-15 14:04:20
29,William Middleton,26,DB,10,3,193,5-10,Furman,7/28/1986,3,2,Atlanta Falcons / 5th / 138th pick /2009,JAX,2012,2025-08-15 14:04:20
94,Jeremy Mincey,29,LDE,16,16,280,6-4,Florida,12/14/1983,5,7,New England Patriots / 6th / 191st pick /2006,JAX,2012,2025-08-15 14:04:20
36,Antwaun Molden,27,DB,3,0,198,6-1,Eastern Kentucky,1/23/1985,4,0,Houston Texans / 3rd / 79th pick /2008,JAX,2012,2025-08-15 14:04:20
75,Eugene Monroe,25,LT,16,16,310,6-5,Virginia,4/18/1987,3,6,Jacksonville Jaguars / 1st / 8th pick /2009,JAX,2012,2025-08-15 14:04:20
58,Aaron Morgan,24,LB,4,0,238,6-4,La-Monroe,12/30/1988,2,0,,JAX,2012,2025-08-15 14:04:20
99,C.J. Mosley,29,RDT,16,13,315,6-2,Missouri,8/6/1983,7,6,Minnesota Vikings / 6th / 191st pick /2005,JAX,2012,2025-08-15 14:04:20
39,Richard Murphy,26,RB,5,0,208,6-1,LSU,9/18/1986,Rook,0,,JAX,2012,2025-08-15 14:04:20
77,Uche Nwaneri,28,RG,15,15,303,6-3,Purdue,3/20/1984,5,6,Jacksonville Jaguars / 5th / 149th pick /2007,JAX,2012,2025-08-15 14:04:20
24,Montell Owens,28,RB,13,4,225,5-10,Maine,5/4/1984,6,2,,JAX,2012,2025-08-15 14:04:20
34,Jalen Parmele,27,RB,11,2,224,6-0,Toledo,12/30/1985,4,1,Miami Dolphins / 6th / 176th pick /2008,JAX,2012,2025-08-15 14:04:20
67,Austin Pasztor,22,T,3,3,305,6-7,Virginia,11/26/1990,1,1,,JAX,2012,2025-08-15 14:04:20
98,Jeris Pendleton,29,DT,4,0,328,6-2,Ashland,11/7/1983,Rook,0,Jacksonville Jaguars / 7th / 228th pick /2012,JAX,2012,2025-08-15 14:04:20
51,Paul Posluszny,28,MLB,16,16,232,6-2,Penn St.,10/10/1984,5,8,Buffalo Bills / 2nd / 34th pick /2007,JAX,2012,2025-08-15 14:04:20
88,Zach Potter,26,TE,16,5,280,6-7,Nebraska,5/4/1986,3,0,,JAX,2012,2025-08-15 14:04:20
42,Chris Prosinski,25,FS,16,7,201,6-1,Wyoming,4/28/1987,1,3,Jacksonville Jaguars / 4th / 121st pick /2011,JAX,2012,2025-08-15 14:04:20
81,Laurent Robinson,27,WR,7,4,192,6-2,Illinois St.,5/20/1985,5,2,Atlanta Falcons / 3rd / 75th pick /2007,JAX,2012,2025-08-15 14:04:20
31,Aaron Ross,30,LCB,14,9,193,6-1,Texas,9/15/1982,5,4,New York Giants / 1st / 20th pick /2007,JAX,2012,2025-08-15 14:04:20
22,Kevin Rutland,24,DB,13,1,188,6-0,Missouri,4/2/1988,1,1,,JAX,2012,2025-08-15 14:04:20
10,Josh Scobee,30,K,16,0,200,6-1,Louisiana Tech,6/23/1982,8,4,Jacksonville Jaguars / 5th / 137th pick /2004,JAX,2012,2025-08-15 14:04:20
91,George Selvie,25,DE,9,0,247,6-4,South Florida,3/6/1987,2,1,St. Louis Rams / 7th / 226th pick /2010,JAX,2012,2025-08-15 14:04:20
16,Jordan Shipley,27,WR,6,2,190,5-11,Texas,12/23/1985,2,2,Cincinnati Bengals / 3rd / 84th pick /2010,JAX,2012,2025-08-15 14:04:20
84,Cecil Shorts,25,WR,14,9,200,6-0,Mount Union,12/22/1987,1,7,Jacksonville Jaguars / 4th / 114th pick /2011,JAX,2012,2025-08-15 14:04:20
95,D'Anthony Smith,24,DT,8,0,300,6-2,Louisiana Tech,6/9/1988,Rook,1,Jacksonville Jaguars / 3rd / 74th pick /2010,JAX,2012,2025-08-15 14:04:20
52,Daryl Smith,30,LB,2,2,250,6-2,Georgia Tech,3/14/1982,8,1,Jacksonville Jaguars / 2nd / 39th pick /2004,JAX,2012,2025-08-15 14:04:20
83,Stephen Spach,30,TE,1,0,260,6-4,Fresno St.,7/18/1982,7,0,,JAX,2012,2025-08-15 14:04:20
86,Micheal Spurlock,29,WR,6,0,210,5-11,Mississippi,1/31/1983,6,1,,JAX,2012,2025-08-15 14:04:20
86,Isaiah Stanback,28,WR,6,0,216,6-3,Washington,8/16/1984,5,0,Dallas Cowboys / 4th / 103rd pick /2007,JAX,2012,2025-08-15 14:04:20
57,Julian Stanford,22,LLB,16,6,230,6-1,Wagner,9/2/1990,Rook,3,,JAX,2012,2025-08-15 14:04:20
83,Maurice Stovall,27,WR,10,1,220,6-5,Notre Dame,2/21/1985,6,0,Tampa Bay Buccaneers / 3rd / 90th pick /2006,JAX,2012,2025-08-15 14:04:20
45,Will Ta'ufo'ou,26,RB,6,1,253,5-11,California,6/19/1986,Rook,0,,JAX,2012,2025-08-15 14:04:20
72,Herbert Taylor,28,T,2,1,282,6-4,TCU,9/22/1984,5,1,Kansas City Chiefs / 6th / 196th pick /2007,JAX,2012,2025-08-15 14:04:20
80,Mike Thomas,25,WR,7,3,187,5-8,Arizona,6/4/1987,3,1,Jacksonville Jaguars / 4th / 107th pick /2009,JAX,2012,2025-08-15 14:04:20
30,Jordan Todman,22,RB,1,0,200,5-10,Connecticut,2/24/1990,Rook,0,San Diego Chargers / 6th / 183rd pick /2011,JAX,2012,2025-08-15 14:04:20
35,Keith Toston,25,RB,5,1,210,6-0,Oklahoma St.,5/6/1987,2,1,,JAX,2012,2025-08-15 14:04:20
66,Steve Vallos,29,G,2,1,297,6-3,Wake Forest,12/28/1983,4,0,Seattle Seahawks / 7th / 232nd pick /2007,JAX,2012,2025-08-15 14:04:20
68,Guy Whimper,29,RT,16,6,315,6-5,East Carolina,5/21/1983,6,3,New York Giants / 4th / 129th pick /2006,JAX,2012,2025-08-15 14:04:20
