No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
57,D.J. Alexander,28,LB,5,0,233,6-2,Oregon St.,9/30/1991,4,0,Kansas City Chiefs / 5th / 172nd pick /2015,"$805,000",JAX,2019,2025-08-15 14:05:18
53,Dakota Allen,24,LB,3,0,232,6-1,"Texas Tech,East Mississippi CC",11/2/1995,Rook,0,Los Angeles Rams / 7th / 251st pick /2019,,JAX,2019,2025-08-15 14:05:18
23,Ryquell Armstead,23,RB,16,1,220,5-11,Temple,10/30/1996,Rook,2,Jacksonville Jaguars / 5th / 140th pick /2019,"$495,000",JAX,2019,2025-08-15 14:05:18
16,C.J. Board,26,WR,4,0,181,6-1,Chattanooga,12/12/1993,Rook,0,,"$495,000",JAX,2019,2025-08-15 14:05:18
31,Breon Borders,24,DB,11,1,189,6-0,Duke,7/22/1995,2,1,,"$570,000",JAX,2019,2025-08-15 14:05:18
21,A.J. Bouye,28,RCB,14,14,191,6-0,Central Florida,8/16/1991,6,5,,"$13,000,000",JAX,2019,2025-08-15 14:05:18
90,Taven Bryan,23,RDT,16,8,291,6-4,Florida,3/11/1996,1,4,Jacksonville Jaguars / 1st / 29th pick /2018,"$941,589",JAX,2019,2025-08-15 14:05:18
58,Austin Calitro,25,LB,13,4,240,6-0,Villanova,1/10/1994,1,2,,,JAX,2019,2025-08-15 14:05:18
93,Calais Campbell,33,RDE,16,16,315,6-8,Miami (FL),9/1/1986,11,10,Arizona Cardinals / 2nd / 50th pick /2008,"$12,000,000",JAX,2019,2025-08-15 14:05:18
60,A.J. Cann,28,RG,16,16,315,6-3,South Carolina,10/3/1991,4,7,Jacksonville Jaguars / 3rd / 67th pick /2015,"$805,000",JAX,2019,2025-08-15 14:05:18
17,DJ Chark,23,WR,15,14,198,6-3,LSU,9/23/1996,1,7,Jacksonville Jaguars / 2nd / 61st pick /2018,"$682,147",JAX,2019,2025-08-15 14:05:18
84,Keelan Cole,26,WR,16,1,194,6-1,Kentucky Wesleyan,4/20/1993,2,3,,"$645,000",JAX,2019,2025-08-15 14:05:18
18,Chris Conley,27,WR,16,14,205,6-3,Georgia,10/25/1992,4,6,Kansas City Chiefs / 3rd / 76th pick /2015,"$805,000",JAX,2019,2025-08-15 14:05:18
9,Logan Cooke,24,P,16,0,230,6-5,Mississippi St.,7/28/1995,1,3,Jacksonville Jaguars / 7th / 247th pick /2018,"$570,000",JAX,2019,2025-08-15 14:05:18
99,Marcell Dareus,29,RDT,6,6,331,6-3,Alabama,3/13/1990,8,2,Buffalo Bills / 1st / 3rd pick /2011,"$2,835,000",JAX,2019,2025-08-15 14:05:18
79,Carl Davis,27,DT,2,0,320,6-5,Iowa,3/2/1992,4,0,Baltimore Ravens / 3rd / 90th pick /2015,,JAX,2019,2025-08-15 14:05:18
22,Cody Davis,30,DB,16,0,205,6-2,Texas Tech,6/6/1989,6,1,,"$1,750,000",JAX,2019,2025-08-15 14:05:18
88,Seth Devalve,26,TE,12,6,245,6-3,Princeton,1/29/1993,3,1,Cleveland Browns / 4th / 138th pick /2016,,JAX,2019,2025-08-15 14:05:18
24,Tyler Ervin,26,RB,6,0,185,5-10,San Jose St.,10/7/1993,3,0,Houston Texans / 4th / 119th pick /2016,,JAX,2019,2025-08-15 14:05:18
7,Nick Foles,30,QB,4,4,262,6-6,Arizona,1/20/1989,7,2,Philadelphia Eagles / 3rd / 88th pick /2012,"$5,000,000",JAX,2019,2025-08-15 14:05:18
27,Leonard Fournette,24,RB,15,15,228,6-0,LSU,1/18/1995,2,10,Jacksonville Jaguars / 1st / 4th pick /2017,"$2,933,258",JAX,2019,2025-08-15 14:05:18
29,Marcus Gilchrist,31,DB,3,0,200,5-10,Clemson,12/8/1988,8,0,San Diego Chargers / 2nd / 50th pick /2011,,JAX,2019,2025-08-15 14:05:18
43,Joe Giles-Harris,22,LB,5,0,234,6-2,Duke,4/1/1997,Rook,0,,"$495,000",JAX,2019,2025-08-15 14:05:18
52,Najee Goode,30,LB,10,4,244,6-0,West Virginia,6/4/1989,7,2,Tampa Bay Buccaneers / 5th / 140th pick /2012,"$805,000",JAX,2019,2025-08-15 14:05:18
36,Ronnie Harrison,22,SS,14,14,207,6-2,Alabama,4/18/1997,1,6,Jacksonville Jaguars / 3rd / 93rd pick /2018,"$617,500",JAX,2019,2025-08-15 14:05:18
25,D.J. Hayden,29,DB,15,8,190,5-11,Houston,6/27/1990,6,3,Oakland Raiders / 1st / 12th pick /2013,"$5,750,000",JAX,2019,2025-08-15 14:05:18
30,Tae Hayes,22,DB,1,0,188,5-9,Appalachian St.,8/19/1997,Rook,0,,,JAX,2019,2025-08-15 14:05:18
37,Tre Herndon,23,LCB,16,14,185,5-11,Vanderbilt,3/5/1996,1,6,,"$570,000",JAX,2019,2025-08-15 14:05:18
41,Josh Hines-Allen,22,LB,16,4,255,6-5,Kentucky,7/13/1997,Rook,6,Jacksonville Jaguars / 1st / 7th pick /2019,"$495,000",JAX,2019,2025-08-15 14:05:18
44,Myles Jack,24,MLB,11,11,244,6-1,UCLA,9/3/1995,3,5,Jacksonville Jaguars / 2nd / 36th pick /2016,"$1,313,787",JAX,2019,2025-08-15 14:05:18
48,Leon Jacobs,24,RLB,14,7,245,6-2,Wisconsin,10/3/1995,1,4,Jacksonville Jaguars / 7th / 230th pick /2018,"$570,000",JAX,2019,2025-08-15 14:05:18
95,Abry Jones,28,LDT,16,15,318,6-4,Georgia,9/8/1991,6,6,,"$3,400,000",JAX,2019,2025-08-15 14:05:18
85,Charles Jones,23,TE,4,0,255,6-4,Tulane,8/5/1996,Rook,0,,,JAX,2019,2025-08-15 14:05:18
83,Ben Koyack,26,TE,11,6,258,6-5,Notre Dame,4/9/1993,3,0,Jacksonville Jaguars / 7th / 229th pick /2015,"$720,000",JAX,2019,2025-08-15 14:05:18
4,Josh Lambo,29,K,16,0,215,6-0,Texas A&M,11/19/1990,4,6,,"$1,000,000",JAX,2019,2025-08-15 14:05:18
11,Marqise Lee,28,WR,6,1,196,6-0,USC,11/25/1991,5,0,Jacksonville Jaguars / 2nd / 39th pick /2014,"$7,250,000",JAX,2019,2025-08-15 14:05:18
65,Brandon Linder,27,C,16,16,315,6-6,Miami (FL),1/25/1992,5,7,Jacksonville Jaguars / 3rd / 93rd pick /2014,"$5,500,000",JAX,2019,2025-08-15 14:05:18
55,Lerentee McCray,29,LB,9,0,249,6-3,Florida,8/26/1990,5,1,,"$2,000,000",JAX,2019,2025-08-15 14:05:18
34,Jeremy McNichols,24,RB,1,0,214,5-9,Boise St.,12/26/1995,2,0,Tampa Bay Buccaneers / 5th / 162nd pick /2017,,JAX,2019,2025-08-15 14:05:18
39,Doug Middleton,26,DB,2,0,210,6-0,Appalachian St.,9/25/1993,3,0,,,JAX,2019,2025-08-15 14:05:18
15,Gardner Minshew II,23,QB,14,12,225,6-1,"Northwest Mississippi CC,East Carolina,Washington St.",5/16/1996,Rook,10,Jacksonville Jaguars / 6th / 178th pick /2019,"$495,000",JAX,2019,2025-08-15 14:05:18
91,Yannick Ngakoue,24,LDE,15,15,246,6-2,Maryland,3/31/1995,3,7,Jacksonville Jaguars / 3rd / 69th pick /2016,"$2,025,000",JAX,2019,2025-08-15 14:05:18
35,Parry Nickerson,25,DB,4,1,182,5-10,Tulane,10/11/1994,1,1,New York Jets / 6th / 179th pick /2018,,JAX,2019,2025-08-15 14:05:18
68,Andrew Norwell,28,LG,16,16,325,6-6,Ohio St.,10/25/1991,5,7,,"$13,000,000",JAX,2019,2025-08-15 14:05:18
86,Nick O'Leary,27,TE,5,3,252,6-3,Florida St.,8/31/1992,4,1,Buffalo Bills / 6th / 194th pick /2015,,JAX,2019,2025-08-15 14:05:18
80,James O'Shaughnessy,27,TE,5,5,245,6-4,Illinois St.,1/14/1992,4,1,Kansas City Chiefs / 5th / 173rd pick /2015,"$805,000",JAX,2019,2025-08-15 14:05:18
77,Cedric Ogbuehi,27,T,14,0,310,6-5,Texas A&M,4/25/1992,4,1,Cincinnati Bengals / 1st / 21st pick /2015,"$805,000",JAX,2019,2025-08-15 14:05:18
89,Josh Oliver,22,TE,4,1,259,6-5,San Jose St.,3/21/1997,Rook,0,Jacksonville Jaguars / 3rd / 69th pick /2019,"$495,000",JAX,2019,2025-08-15 14:05:18
46,Matthew Orzech,24,LS,16,0,245,6-3,Azusa Pacific,4/12/1995,Rook,1,,,JAX,2019,2025-08-15 14:05:18
33,Devine Ozigbo,23,RB,10,0,225,6-0,Nebraska,10/2/1996,Rook,0,,,JAX,2019,2025-08-15 14:05:18
54,Donald Payne,25,MLB,9,5,217,5-11,Stetson,7/12/1994,2,3,,"$645,000",JAX,2019,2025-08-15 14:05:18
20,Jalen Ramsey,25,DB,3,3,211,6-1,Florida St.,10/24/1994,3,1,Jacksonville Jaguars / 1st / 5th pick /2016,"$3,634,227",JAX,2019,2025-08-15 14:05:18
76,Will Richardson,23,T,15,2,306,6-6,North Carolina St.,1/4/1996,1,2,Jacksonville Jaguars / 4th / 129th pick /2018,"$570,000",JAX,2019,2025-08-15 14:05:18
74,Cam Robinson,24,LT,14,14,335,6-6,Alabama,10/9/1995,2,6,Jacksonville Jaguars / 2nd / 34th pick /2017,"$1,103,015",JAX,2019,2025-08-15 14:05:18
29,Josh Robinson,28,DB,8,0,200,5-10,Central Florida,1/8/1991,7,0,Minnesota Vikings / 3rd / 66th pick /2012,"$805,000",JAX,2019,2025-08-15 14:05:18
40,Brandon Rusnak,24,DB,8,0,198,5-11,Michigan,7/11/1995,Rook,0,,,JAX,2019,2025-08-15 14:05:18
98,Dontavius Russell,24,DT,3,0,320,6-3,Auburn,9/18/1995,Rook,0,Jacksonville Jaguars / 7th / 235th pick /2019,"$495,000",JAX,2019,2025-08-15 14:05:18
47,Jake Ryan,27,LB,2,0,240,6-2,Michigan,2/27/1992,4,0,Green Bay Packers / 4th / 129th pick /2015,"$1,000,000",JAX,2019,2025-08-15 14:05:18
69,Tyler Shatley,28,G,16,0,305,6-3,Clemson,5/5/1991,5,1,,"$805,000",JAX,2019,2025-08-15 14:05:18
53,Malcolm Smith,30,LB,2,0,225,6-0,USC,7/5/1989,8,0,Seattle Seahawks / 7th / 242nd pick /2011,,JAX,2019,2025-08-15 14:05:18
94,Dawuane Smoot,24,DE,16,0,275,6-3,Illinois,3/2/1995,2,2,Jacksonville Jaguars / 3rd / 68th pick /2017,"$812,500",JAX,2019,2025-08-15 14:05:18
97,Akeem Spence,28,DT,9,0,303,6-1,Illinois,11/29/1991,6,1,Tampa Bay Buccaneers / 4th / 100th pick /2013,,JAX,2019,2025-08-15 14:05:18
87,Geoff Swaim,26,TE,6,2,260,6-4,Texas,9/16/1993,4,0,Dallas Cowboys / 7th / 246th pick /2015,"$1,500,000",JAX,2019,2025-08-15 14:05:18
75,Jawaan Taylor,22,RT,16,16,330,6-5,Florida,11/25/1997,Rook,7,Jacksonville Jaguars / 2nd / 35th pick /2019,"$495,000",JAX,2019,2025-08-15 14:05:18
13,Michael Walker,23,WR,7,0,195,5-11,Boston Col.,10/29/1996,Rook,0,,,JAX,2019,2025-08-15 14:05:18
12,Dede Westbrook,26,WR,15,11,178,6-0,"Blinn College (TX),Oklahoma",11/21/1993,2,5,Jacksonville Jaguars / 4th / 110th pick /2017,"$645,000",JAX,2019,2025-08-15 14:05:18
56,Quincy Williams,23,LLB,11,8,230,5-11,Murray St.,8/28/1996,Rook,3,Jacksonville Jaguars / 3rd / 98th pick /2019,"$495,000",JAX,2019,2025-08-15 14:05:18
26,Jarrod Wilson,25,FS,16,16,209,6-1,Michigan,2/9/1994,3,6,,"$1,450,000",JAX,2019,2025-08-15 14:05:18
42,Andrew Wingard,23,DB,16,2,200,6-0,Wyoming,12/5/1996,Rook,2,,"$495,000",JAX,2019,2025-08-15 14:05:18
