No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
92,Dorance Armstrong Jr.,22,DE,15,0,255,6-4,Kansas,6/10/1997,1,2,Dallas Cowboys / 4th / 116th pick /2018,"$570,000",DAL,2019,2025-08-15 13:55:02
41,Ray-Ray Armstrong,28,DB,1,0,220,6-3,Miami (FL),3/5/1991,6,0,,,DAL,2019,2025-08-15 13:55:02
10,Tavon Austin,29,WR,14,0,179,5-8,West Virginia,3/15/1990,6,2,St. Louis Rams / 1st / 8th pick /2013,"$1,000,000",DAL,2019,2025-08-15 13:55:02
24,Chidobe Awuzie,24,LCB,16,16,202,5-11,Colorado,5/24/1995,2,6,Dallas Cowboys / 2nd / 60th pick /2017,"$854,417",DAL,2019,2025-08-15 13:55:02
79,Michael Bennett,34,DE,9,0,275,6-4,Texas A&M,11/13/1985,10,2,,,DAL,2019,2025-08-15 13:55:02
30,Anthony Brown,26,DB,9,4,192,5-11,Purdue,12/15/1993,3,2,Dallas Cowboys / 6th / 189th pick /2016,"$2,025,000",DAL,2019,2025-08-15 13:55:02
83,Ventell Bryant,23,WR,12,0,205,6-3,Temple,8/24/1996,Rook,0,,,DAL,2019,2025-08-15 13:55:02
33,Deante Burton,25,WR,3,0,205,6-2,Kansas St.,7/12/1994,1,0,,,DAL,2019,2025-08-15 13:55:02
46,Jordan Chunn,24,RB,1,0,230,6-0,Troy,1/2/1995,1,0,,"$495,000",DAL,2019,2025-08-15 13:55:02
18,Randall Cobb,29,WR,15,6,192,5-10,Kentucky,8/22/1990,8,7,Green Bay Packers / 2nd / 64th pick /2011,"$2,000,000",DAL,2019,2025-08-15 13:55:02
71,La'el Collins,26,RT,15,15,315,6-4,LSU,7/26/1993,4,8,,"$6,516,750",DAL,2019,2025-08-15 13:55:02
96,Maliek Collins,24,LDT,16,16,310,6-2,Nebraska,4/8/1995,3,8,Dallas Cowboys / 3rd / 67th pick /2016,"$2,025,000",DAL,2019,2025-08-15 13:55:02
19,Amari Cooper,25,WR,16,16,211,6-1,Alabama,6/17/1994,4,9,Oakland Raiders / 1st / 4th pick /2015,"$13,924,000",DAL,2019,2025-08-15 13:55:02
59,Chris Covington,23,LB,3,0,245,6-2,Indiana,1/3/1996,1,0,Dallas Cowboys / 6th / 193rd pick /2018,"$570,000",DAL,2019,2025-08-15 13:55:02
95,Christian Covington,26,RDT,16,6,289,6-2,Rice,10/16/1993,4,4,Houston Texans / 6th / 216th pick /2015,"$1,000,000",DAL,2019,2025-08-15 13:55:02
98,Tyrone Crawford,30,DE,4,2,290,6-4,Boise St.,11/22/1989,7,1,Dallas Cowboys / 3rd / 81st pick /2012,"$7,000,000",DAL,2019,2025-08-15 13:55:02
21,Ezekiel Elliott,24,RB,16,16,228,6-0,Ohio St.,7/22/1995,3,11,Dallas Cowboys / 1st / 4th pick /2016,"$3,853,137",DAL,2019,2025-08-15 13:55:02
75,Cameron Fleming,27,T,14,3,320,6-5,Stanford,9/3/1992,5,3,New England Patriots / 4th / 140th pick /2014,"$1,000,000",DAL,2019,2025-08-15 13:55:02
3,Kai Forbath,32,K,3,0,197,5-11,UCLA,9/2/1987,7,2,,,DAL,2019,2025-08-15 13:55:02
35,Kavon Frazier,25,DB,4,0,220,6-0,Central Michigan,8/11/1994,3,0,Dallas Cowboys / 6th / 212th pick /2016,"$720,000",DAL,2019,2025-08-15 13:55:02
72,Travis Frederick,28,C,16,16,320,6-4,Wisconsin,3/18/1991,6,11,Dallas Cowboys / 1st / 31st pick /2013,"$6,000,000",DAL,2019,2025-08-15 13:55:02
13,Michael Gallup,23,WR,14,12,205,6-1,Colorado St.,3/4/1996,1,9,Dallas Cowboys / 3rd / 81st pick /2018,"$629,000",DAL,2019,2025-08-15 13:55:02
57,Luke Gifford,24,LB,6,0,243,6-3,Nebraska,8/28/1995,Rook,0,,"$495,000",DAL,2019,2025-08-15 13:55:02
29,C.J. Goodwin,29,DB,16,0,190,6-3,California (PA),2/4/1990,3,1,,"$720,000",DAL,2019,2025-08-15 13:55:02
38,Jeff Heath,28,SS,13,13,212,6-1,Saginaw Valley St.,5/14/1991,6,5,,"$2,000,000",DAL,2019,2025-08-15 13:55:02
97,Trysten Hill,21,DT,7,0,310,6-3,Central Florida,3/25/1998,Rook,1,Dallas Cowboys / 2nd / 58th pick /2019,"$495,000",DAL,2019,2025-08-15 13:55:02
51,Kerry Hyder,28,DE,16,0,275,6-2,Texas Tech,5/2/1991,4,2,,"$700,000",DAL,2019,2025-08-15 13:55:02
56,Joe Jackson,23,DE,5,0,278,6-4,Miami (FL),12/20/1996,Rook,0,Dallas Cowboys / 5th / 165th pick /2019,"$495,000",DAL,2019,2025-08-15 13:55:02
89,Blake Jarwin,25,TE,16,7,260,6-5,Oklahoma St.,7/16/1994,2,3,,"$645,000",DAL,2019,2025-08-15 13:55:02
31,Byron Jones,27,RCB,15,14,194,6-1,Connecticut,9/26/1992,4,5,Dallas Cowboys / 1st / 27th pick /2015,"$6,266,000",DAL,2019,2025-08-15 13:55:02
6,Chris Jones,30,P,16,0,205,6-0,Carson-Newman,7/21/1989,8,1,,"$1,800,000",DAL,2019,2025-08-15 13:55:02
26,Josh Jones,25,DB,6,0,220,6-2,North Carolina St.,9/20/1994,2,0,Green Bay Packers / 2nd / 61st pick /2017,,DAL,2019,2025-08-15 13:55:02
69,Brandon Knight,22,T,7,1,314,6-5,Indiana,4/1/1997,Rook,1,,"$495,000",DAL,2019,2025-08-15 13:55:02
91,L.P. Ladouceur,38,DE,16,0,256,6-5,California,3/13/1981,14,1,,"$1,030,000",DAL,2019,2025-08-15 13:55:02
90,DeMarcus Lawrence,27,LDE,16,16,254,6-3,"Butler (KS),Boise St.",4/28/1992,5,9,Dallas Cowboys / 2nd / 34th pick /2014,"$1,500,000",DAL,2019,2025-08-15 13:55:02
50,Sean Lee,33,LLB,16,13,245,6-2,Penn St.,7/22/1986,9,7,Dallas Cowboys / 2nd / 55th pick /2010,"$2,000,000",DAL,2019,2025-08-15 13:55:02
