No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
37,Jeff Allen,23,DB,1,0,190,5-11,"Central College (IA),Iowa St.",8/27/1948,Rook,0,St. Louis Cardinals / 13th / 329th pick /1971,CRD,1971,2025-08-16 12:49:46
25,Jim Bakken,31,K,14,0,200,5-11,Wisconsin,11/2/1940,9,4,Los Angeles Rams / 7th / 88th pick /1962,CRD,1971,2025-08-16 12:49:46
54,Tom Banks,23,C,9,7,245,6-1,Auburn,8/20/1948,Rook,3,St. Louis Cardinals / 8th / 189th pick /1970,CRD,1971,2025-08-16 12:49:46
10,Pete Beathard,29,QB,9,5,200,6-1,USC,3/7/1942,7,4,"Kansas City Chiefs / 1st / 2nd pick /1964, Detroit Lions / 1st / 5th pick /1964",CRD,1971,2025-08-16 12:49:46
68,Paul Dickson,34,DT,5,0,252,6-5,Baylor,2/26/1937,12,2,Los Angeles Rams / 1st / 9th pick /1959,CRD,1971,2025-08-16 12:49:46
72,Dan Dierdorf,22,RG,12,6,275,6-3,Michigan,6/29/1949,Rook,3,St. Louis Cardinals / 2nd / 43rd pick /1971,CRD,1971,2025-08-16 12:49:46
39,Cid Edwards,28,FB,12,6,230,6-3,Tennessee St.,10/10/1943,3,4,,CRD,1971,2025-08-16 12:49:46
76,Vern Emerson,26,T,4,0,260,6-5,Minnesota-Duluth,9/2/1945,2,2,St. Louis Cardinals / 12th / 313th pick /1968,CRD,1971,2025-08-16 12:49:46
20,Miller Farr,28,LCB,14,14,190,6-1,Wichita St.,4/8/1943,6,8,Denver Broncos / 1st / 1st pick /1965,CRD,1971,2025-08-16 12:49:46
44,John Gilliam,26,WR,14,14,195,6-1,South Carolina St.,8/7/1945,4,9,New Orleans Saints / 2nd / 52nd pick /1967,CRD,1971,2025-08-16 12:49:46
55,Irv Goode,31,LG,14,14,255,6-5,Kentucky,10/12/1940,9,7,"St. Louis Cardinals / 1st / 12th pick /1962, Dallas Texans / 4th / 28th pick /1962",CRD,1971,2025-08-16 12:49:46
85,Mel Gray,23,WR,14,5,175,5-9,Missouri,9/28/1948,Rook,6,St. Louis Cardinals / 6th / 147th pick /1971,CRD,1971,2025-08-16 12:49:46
49,Dale Hackbart,33,DB,14,3,210,6-3,Wisconsin,7/21/1938,11,3,"Oakland Raiders /1960, Green Bay Packers / 5th / 51st pick /1960",CRD,1971,2025-08-16 12:49:46
60,Jim Hargrove,26,LB,14,3,233,6-2,Howard Payne,2/21/1945,4,2,Minnesota Vikings / 14th / 348th pick /1967,CRD,1971,2025-08-16 12:49:46
17,Jim Hart,27,QB,11,9,215,6-1,Southern Illinois,4/29/1944,5,6,,CRD,1971,2025-08-16 12:49:46
74,Fred Heron,27,LDT,9,8,260,6-4,San Jose St.,10/6/1944,5,4,Green Bay Packers / 3rd / 45th pick /1966,CRD,1971,2025-08-16 12:49:46
45,George Hoey,25,DB,6,0,174,5-10,Michigan,11/14/1946,Rook,4,Detroit Lions / 14th / 346th pick /1969,CRD,1971,2025-08-16 12:49:46
65,Chuck Hutchison,23,G,13,0,250,6-3,Ohio St.,11/17/1948,1,3,St. Louis Cardinals / 2nd / 38th pick /1970,CRD,1971,2025-08-16 12:49:46
88,Fred Hyatt,25,WR,14,0,200,6-3,Auburn,6/28/1946,3,1,St. Louis Cardinals / 2nd / 40th pick /1968,CRD,1971,2025-08-16 12:49:46
70,Rolf Krueger,25,LDT,14,9,253,6-4,Texas A&M,12/8/1946,2,5,St. Louis Cardinals / 2nd / 35th pick /1969,CRD,1971,2025-08-16 12:49:46
36,MacArthur Lane,29,RB,13,11,220,6-1,Utah St.,3/16/1942,3,8,St. Louis Cardinals / 1st / 13th pick /1968,CRD,1971,2025-08-16 12:49:46
26,Chuck Latourette,26,P,13,0,190,6-0,Rice,7/21/1945,4,1,,CRD,1971,2025-08-16 12:49:46
46,Tom Longo,29,DB,2,0,200,6-1,Notre Dame,2/21/1942,2,1,"Oakland Raiders / 11th / 83rd pick /1965, Philadelphia Eagles / 14th / 188th pick /1965",CRD,1971,2025-08-16 12:49:46
83,Jim McFarland,24,TE,14,5,225,6-5,Nebraska,10/4/1947,1,1,St. Louis Cardinals / 7th / 164th pick /1970,CRD,1971,2025-08-16 12:49:46
56,Mike McGill,25,RLB,11,8,235,6-2,Notre Dame,11/21/1946,3,4,Minnesota Vikings / 3rd / 76th pick /1968,CRD,1971,2025-08-16 12:49:46
73,Ernie McMillan,33,RT,14,14,275,6-5,Illinois,2/21/1938,10,7,"St. Louis Cardinals / 13th / 176th pick /1961, Boston Patriots / 29th / 226th pick /1961",CRD,1971,2025-08-16 12:49:46
58,Terry Miller,25,LB,9,0,225,6-2,Illinois,4/11/1946,1,3,Detroit Lions / 8th / 202nd pick /1968,CRD,1971,2025-08-16 12:49:46
50,Wayne Mulligan,24,C,7,6,250,6-3,Clemson,5/5/1947,2,3,St. Louis Cardinals / 8th / 201st pick /1969,CRD,1971,2025-08-16 12:49:46
52,Rick Ogle,22,RLB,6,5,230,6-3,Colorado,1/14/1949,Rook,3,St. Louis Cardinals / 11th / 277th pick /1971,CRD,1971,2025-08-16 12:49:46
57,Don Parish,23,LB,1,0,220,6-1,Stanford,1/4/1948,1,0,St. Louis Cardinals / 4th / 91st pick /1970,CRD,1971,2025-08-16 12:49:46
28,Ted Provost,23,DB,2,0,195,6-2,Ohio St.,7/26/1948,1,1,Los Angeles Rams / 7th / 162nd pick /1970,CRD,1971,2025-08-16 12:49:46
71,Bob Reynolds,32,LT,14,14,265,6-5,Bowling Green,1/22/1939,8,6,"St. Louis Cardinals / 2nd / 17th pick /1963, Boston Patriots / 4th / 30th pick /1963",CRD,1971,2025-08-16 12:49:46
53,Jamie Rivers,26,MLB,12,11,245,6-2,Bowling Green,9/22/1945,3,6,St. Louis Cardinals / 5th / 123rd pick /1967,CRD,1971,2025-08-16 12:49:46
23,Johnny Roland,28,RB,13,5,220,6-2,Missouri,5/21/1943,5,3,"New York Jets / 1st / 4th pick /1965, St. Louis Cardinals / 4th / 54th pick /1965",CRD,1971,2025-08-16 12:49:46
34,Rocky Rosema,25,LB,2,1,230,6-2,Michigan,2/5/1946,3,1,St. Louis Cardinals / 5th / 123rd pick /1968,CRD,1971,2025-08-16 12:49:46
75,Bob Rowe,26,RDT,14,14,270,6-4,Western Michigan,5/23/1945,4,7,St. Louis Cardinals / 2nd / 43rd pick /1967,CRD,1971,2025-08-16 12:49:46
82,Joe Schmiesing,26,RDE,9,4,245,6-4,"Minnesota,New Mexico St.",4/1/1945,3,2,St. Louis Cardinals / 4th / 96th pick /1968,CRD,1971,2025-08-16 12:49:46
27,Roy Shivers,30,FB,11,5,200,5-11,Utah St.,7/5/1941,5,2,"San Diego Chargers / 8th / 62nd pick /1965, St. Louis Cardinals / 19th / 264th pick /1965",CRD,1971,2025-08-16 12:49:46
81,Jackie Smith,31,TE,9,9,235,6-4,Northwestern St. (LA),2/23/1940,8,4,St. Louis Cardinals / 10th / 129th pick /1963,CRD,1971,2025-08-16 12:49:46
