No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
28,Ugo Amadi,22,DB,16,0,201,5-9,Oregon,5/16/1997,Rook,1,Seattle Seahawks / 4th / 132nd pick /2019,"$495,000",SEA,2019,2025-08-15 14:33:35
94,Ezekiel Ansah,30,DE,11,1,275,6-5,BYU,5/29/1989,6,2,Detroit Lions / 1st / 5th pick /2013,"$2,500,000",SEA,2019,2025-08-15 14:33:35
57,Cody Barton,23,LB,16,2,237,6-2,Utah,11/13/1996,Rook,2,Seattle Seahawks / 3rd / 88th pick /2019,"$495,000",SEA,2019,2025-08-15 14:33:35
44,Nick Bellore,30,LB,14,1,250,6-1,Central Michigan,5/12/1989,8,2,,"$930,000",SEA,2019,2025-08-15 14:33:35
27,Marquise Blair,22,DB,14,3,196,6-1,Utah,7/18/1997,Rook,2,Seattle Seahawks / 2nd / 47th pick /2019,"$495,000",SEA,2019,2025-08-15 14:33:35
68,Justin Britt,28,C,8,8,315,6-6,Missouri,5/29/1991,5,4,Seattle Seahawks / 2nd / 64th pick /2014,"$4,500,000",SEA,2019,2025-08-15 14:33:35
76,Duane Brown,34,LT,12,12,329,6-4,Virginia Tech,8/30/1985,11,6,Houston Texans / 1st / 26th pick /2008,"$8,000,000",SEA,2019,2025-08-15 14:33:35
18,Jaron Brown,29,WR,14,4,204,6-3,Clemson,1/8/1990,6,2,,"$2,750,000",SEA,2019,2025-08-15 14:33:35
55,Ben Burr-Kirven,22,LB,16,0,230,6-0,Washington,9/8/1997,Rook,1,Seattle Seahawks / 5th / 142nd pick /2019,"$495,000",SEA,2019,2025-08-15 14:33:35
32,Chris Carson,25,RB,15,15,222,5-11,"Butler (KS),Oklahoma St.",9/16/1994,2,10,Seattle Seahawks / 7th / 249th pick /2017,"$645,000",SEA,2019,2025-08-15 14:33:35
90,Jadeveon Clowney,26,LDE,13,11,266,6-5,South Carolina,2/14/1993,5,6,Houston Texans / 1st / 1st pick /2014,"$15,967,200",SEA,2019,2025-08-15 14:33:35
95,L.J. Collier,24,DE,11,0,300,6-2,TCU,9/12/1995,Rook,1,Seattle Seahawks / 1st / 29th pick /2019,"$495,000",SEA,2019,2025-08-15 14:33:35
4,Michael Dickson,23,P,16,0,208,6-2,Texas,1/4/1996,1,2,Seattle Seahawks / 5th / 149th pick /2018,"$570,000",SEA,2019,2025-08-15 14:33:35
37,Quandre Diggs,26,FS,5,5,197,5-9,Texas,1/22/1993,4,3,Detroit Lions / 6th / 200th pick /2015,,SEA,2019,2025-08-15 14:33:35
88,Will Dissly,23,TE,6,6,265,6-4,Washington,7/8/1996,1,2,Seattle Seahawks / 4th / 120th pick /2018,"$570,000",SEA,2019,2025-08-15 14:33:35
74,George Fant,27,T,16,7,316,6-5,Western Kentucky,7/19/1992,3,4,,"$3,095,000",SEA,2019,2025-08-15 14:33:35
21,Tre Flowers,24,RCB,15,15,203,6-3,Oklahoma St.,6/2/1995,1,6,Seattle Seahawks / 5th / 146th pick /2018,"$570,000",SEA,2019,2025-08-15 14:33:35
78,D.J. Fluker,28,RG,14,14,342,6-5,Alabama,3/13/1991,6,7,San Diego Chargers / 1st / 11th pick /2013,"$850,000",SEA,2019,2025-08-15 14:33:35
97,Poona Ford,24,RDT,15,14,310,5-11,Texas,11/19/1995,1,6,,"$570,000",SEA,2019,2025-08-15 14:33:35
10,Josh Gordon,28,WR,5,1,225,6-3,"Utah,Baylor",4/13/1991,7,1,Cleveland Browns / 2nd / 1st pick /2012Supp,,SEA,2019,2025-08-15 14:33:35
98,Rasheem Green,22,RDE,16,8,279,6-4,USC,5/15/1997,1,4,Seattle Seahawks / 3rd / 79th pick /2018,"$639,000",SEA,2019,2025-08-15 14:33:35
49,Shaquem Griffin,24,LB,16,0,227,6-0,Central Florida,7/20/1995,1,1,Seattle Seahawks / 5th / 141st pick /2018,"$570,000",SEA,2019,2025-08-15 14:33:35
26,Shaquill Griffin,24,LCB,14,14,198,6-0,Central Florida,7/20/1995,2,8,Seattle Seahawks / 3rd / 90th pick /2017,"$680,000",SEA,2019,2025-08-15 14:33:35
60,Phil Haynes,24,G,0,0,322,6-4,Wake Forest,10/19/1995,Rook,,Seattle Seahawks / 4th / 124th pick /2019,"$495,000",SEA,2019,2025-08-15 14:33:35
42,Lano Hill,24,DB,12,4,216,6-1,Michigan,11/26/1995,2,2,Seattle Seahawks / 3rd / 95th pick /2017,"$678,000",SEA,2019,2025-08-15 14:33:35
48,Jacob Hollister,26,TE,11,3,239,6-4,Wyoming,11/18/1993,2,3,,"$645,000",SEA,2019,2025-08-15 14:33:35
25,Travis Homer,21,RB,16,1,211,5-10,Miami (FL),8/7/1998,Rook,1,Seattle Seahawks / 6th / 204th pick /2019,"$495,000",SEA,2019,2025-08-15 14:33:35
53,Joey Hunt,25,C,14,8,299,6-2,TCU,2/22/1994,3,4,Seattle Seahawks / 6th / 215th pick /2016,"$645,000",SEA,2019,2025-08-15 14:33:35
65,Germain Ifedi,25,RT,16,16,325,6-5,Texas A&M,6/2/1994,3,8,Seattle Seahawks / 1st / 31st pick /2016,"$1,577,060",SEA,2019,2025-08-15 14:33:35
70,Mike Iupati,32,LG,16,15,331,6-5,Idaho,5/12/1987,9,7,San Francisco 49ers / 1st / 17th pick /2010,"$1,000,000",SEA,2019,2025-08-15 14:33:35
93,Branden Jackson,27,DE,15,3,295,6-4,Texas Tech,11/11/1992,3,2,,"$645,000",SEA,2019,2025-08-15 14:33:35
99,Quinton Jefferson,26,LOLB,14,12,290,6-4,Maryland,3/31/1993,3,5,Seattle Seahawks / 5th / 147th pick /2016,"$2,025,000",SEA,2019,2025-08-15 14:33:35
73,Jamarco Jones,23,T,15,3,315,6-4,Ohio St.,6/4/1996,1,3,Seattle Seahawks / 5th / 168th pick /2018,"$495,000",SEA,2019,2025-08-15 14:33:35
56,Mychal Kendricks,29,LLB,14,14,240,5-11,California,9/28/1990,7,6,Philadelphia Eagles / 2nd / 46th pick /2012,"$2,000,000",SEA,2019,2025-08-15 14:33:35
36,Akeem King,27,DB,13,3,215,6-1,San Jose St.,8/29/1992,4,2,Atlanta Falcons / 7th / 249th pick /2015,"$750,000",SEA,2019,2025-08-15 14:33:35
16,Tyler Lockett,27,WR,16,16,182,5-10,Kansas St.,9/28/1992,4,9,Seattle Seahawks / 3rd / 69th pick /2015,"$3,907,000",SEA,2019,2025-08-15 14:33:35
24,Marshawn Lynch,33,RB,1,0,215,5-11,California,4/22/1986,12,0,Buffalo Bills / 1st / 12th pick /2007,,SEA,2019,2025-08-15 14:33:35
30,Bradley McDougald,29,SS,15,14,215,6-1,Kansas,11/15/1990,6,6,,"$2,900,000",SEA,2019,2025-08-15 14:33:35
14,D.K. Metcalf,22,WR,16,15,229,6-4,Mississippi,12/14/1997,Rook,8,Seattle Seahawks / 2nd / 64th pick /2019,"$495,000",SEA,2019,2025-08-15 14:33:35
79,Bryan Mone,24,DT,4,0,345,6-3,Michigan,10/20/1995,Rook,0,,"$495,000",SEA,2019,2025-08-15 14:33:35
83,David Moore,24,WR,14,1,220,6-0,East Central (OK),1/15/1995,2,3,Seattle Seahawks / 7th / 226th pick /2017,"$645,000",SEA,2019,2025-08-15 14:33:35
5,Jason Myers,28,K,16,0,190,5-10,Marist,5/12/1991,4,3,,"$1,500,000",SEA,2019,2025-08-15 14:33:35
35,Ryan Neal,24,DB,3,0,200,6-3,Southern Illinois,12/24/1995,1,0,,,SEA,2019,2025-08-15 14:33:35
69,Tyler Ott,27,LS,16,0,252,6-3,Harvard,2/28/1992,4,1,,"$645,000",SEA,2019,2025-08-15 14:33:35
20,Rashaad Penny,23,RB,10,0,220,5-11,San Diego St.,2/2/1996,1,3,Seattle Seahawks / 1st / 27th pick /2018,"$969,338",SEA,2019,2025-08-15 14:33:35
77,Ethan Pocic,24,C,4,1,320,6-6,LSU,8/5/1995,2,1,Seattle Seahawks / 2nd / 58th pick /2017,"$865,821",SEA,2019,2025-08-15 14:33:35
22,C.J. Prosise,25,RB,9,0,225,6-1,Notre Dame,5/20/1994,3,1,Seattle Seahawks / 3rd / 90th pick /2016,"$745,000",SEA,2019,2025-08-15 14:33:35
91,Jarran Reed,27,LDT,10,10,315,6-3,"East Mississippi CC,Alabama",12/16/1992,3,4,Seattle Seahawks / 2nd / 49th pick /2016,"$1,116,769",SEA,2019,2025-08-15 14:33:35
64,Jordan Roos,26,G,7,0,302,6-3,Purdue,7/6/1993,2,1,,"$570,000",SEA,2019,2025-08-15 14:33:35
46,Tyrone Swoopes,25,TE,5,2,254,6-4,Texas,11/14/1994,2,0,,"$378,000",SEA,2019,2025-08-15 14:33:35
24,Jamar Taylor,29,DB,9,0,192,5-11,Boise St.,9/29/1990,6,1,Miami Dolphins / 2nd / 54th pick /2013,"$805,000",SEA,2019,2025-08-15 14:33:35
33,Tedric Thompson,24,FS,6,6,204,6-0,Colorado,1/20/1995,2,3,Seattle Seahawks / 4th / 111th pick /2017,"$645,000",SEA,2019,2025-08-15 14:33:35
23,Neiko Thorpe,29,DB,7,0,210,6-2,Auburn,2/1/1990,7,0,,"$850,000",SEA,2019,2025-08-15 14:33:35
34,Robert Turbin,30,RB,1,0,225,5-10,Utah St.,12/2/1989,7,0,Seattle Seahawks / 4th / 106th pick /2012,,SEA,2019,2025-08-15 14:33:35
17,Malik Turner,23,WR,15,3,202,6-2,Illinois,1/30/1996,1,2,,"$570,000",SEA,2019,2025-08-15 14:33:35
