No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
40,Phillip Adams,23,DB,1,0,193,6-0,South Carolina St.,7/20/1988,1,0,San Francisco 49ers / 7th / 224th pick /2010,SEA,2011,2025-08-15 14:32:26
15,Doug Baldwin,23,WR,16,1,192,5-10,Stanford,9/21/1988,Rook,7,,SEA,2011,2025-08-15 14:32:26
78,Allen Barbre,27,T,4,0,310,6-4,Missouri Southern,6/22/1984,4,0,Green Bay Packers / 4th / 119th pick /2007,SEA,2011,2025-08-15 14:32:26
27,Atari Bigby,30,DB,15,2,211,5-11,Central Florida,9/19/1981,6,2,,SEA,2011,2025-08-15 14:32:26
99,Alan Branch,27,LDT,15,15,350,6-6,Michigan,12/29/1984,4,7,Arizona Cardinals / 2nd / 33rd pick /2007,SEA,2011,2025-08-15 14:32:26
98,Raheem Brock,33,DE,16,0,274,6-4,Temple,6/10/1978,9,2,Philadelphia Eagles / 7th / 238th pick /2002,SEA,2011,2025-08-15 14:32:26
39,Brandon Browner,27,RCB,16,16,221,6-4,Oregon St.,8/2/1984,1,12,,SEA,2011,2025-08-15 14:32:26
79,Red Bryant,27,RDE,16,16,326,6-5,Texas A&M,4/18/1984,3,8,Seattle Seahawks / 4th / 121st pick /2008,SEA,2011,2025-08-15 14:32:26
11,Deon Butler,25,WR,5,0,170,5-10,Penn St.,1/4/1986,2,0,Seattle Seahawks / 3rd / 91st pick /2009,SEA,2011,2025-08-15 14:32:26
82,Dominique Byrd,27,TE,1,0,255,6-3,USC,2/7/1984,5,0,St. Louis Rams / 3rd / 93rd pick /2006,SEA,2011,2025-08-15 14:32:26
75,James Carpenter,22,RT,9,9,321,6-5,"Coffeyville CC,Alabama",3/22/1989,Rook,3,Seattle Seahawks / 1st / 25th pick /2011,SEA,2011,2025-08-15 14:32:26
31,Kam Chancellor,23,SS,15,15,225,6-3,Virginia Tech,4/3/1988,1,10,Seattle Seahawks / 5th / 133rd pick /2010,SEA,2011,2025-08-15 14:32:26
91,Chris Clemons,30,LDE,16,16,255,6-3,Georgia,10/31/1981,7,9,,SEA,2011,2025-08-15 14:32:26
35,Kennard Cox,26,DB,12,0,195,6-1,Pittsburgh,8/17/1985,3,1,Buffalo Bills / 7th / 251st pick /2008,SEA,2011,2025-08-15 14:32:26
59,Aaron Curry,25,LB,5,2,250,6-2,Wake Forest,4/6/1986,2,2,Seattle Seahawks / 1st / 4th pick /2009,SEA,2011,2025-08-15 14:32:26
58,Dexter Davis,25,LB,1,0,244,6-1,Arizona St.,11/10/1986,1,0,Seattle Seahawks / 7th / 236th pick /2010,SEA,2011,2025-08-15 14:32:26
16,Kris Durham,23,WR,3,0,215,6-5,Georgia,3/17/1988,Rook,0,Seattle Seahawks / 4th / 107th pick /2011,SEA,2011,2025-08-15 14:32:26
66,Paul Fanaika,25,G,3,0,333,6-6,Arizona St.,4/9/1986,Rook,0,Philadelphia Eagles / 7th / 213th pick /2009,SEA,2011,2025-08-15 14:32:26
55,Heath Farwell,30,LB,11,0,235,6-0,San Diego St.,12/31/1981,6,1,,SEA,2011,2025-08-15 14:32:26
20,Justin Forsett,26,RB,16,0,195,5-8,California,10/14/1985,3,2,Seattle Seahawks / 7th / 233rd pick /2008,SEA,2011,2025-08-15 14:32:26
72,Robert Gallery,31,LG,12,12,325,6-7,Iowa,7/26/1980,7,5,Oakland Raiders / 1st / 2nd pick /2004,SEA,2011,2025-08-15 14:32:26
68,Breno Giacomini,26,RT,15,8,320,6-7,Louisville,9/27/1985,3,3,Green Bay Packers / 5th / 150th pick /2008,SEA,2011,2025-08-15 14:32:26
64,Mike Gibson,26,G,3,0,302,6-3,California,11/18/1985,2,0,Philadelphia Eagles / 6th / 184th pick /2008,SEA,2011,2025-08-15 14:32:26
49,Clint Gresham,25,LB,16,0,238,6-3,TCU,8/24/1986,1,1,,SEA,2011,2025-08-15 14:32:26
94,Anthony Hargrove,28,DE,15,0,282,6-3,Georgia Tech,7/20/1983,7,2,St. Louis Rams / 3rd / 91st pick /2004,SEA,2011,2025-08-15 14:32:26
4,Stephen Hauschka,26,K,16,0,210,6-4,"Middlebury,North Carolina St.",6/29/1985,3,3,,SEA,2011,2025-08-15 14:32:26
57,David Hawthorne,26,MLB,15,14,230,6-0,TCU,5/14/1985,3,9,,SEA,2011,2025-08-15 14:32:26
56,LeRoy Hill,29,LLB,16,16,238,6-1,Clemson,9/14/1982,6,8,Seattle Seahawks / 3rd / 98th pick /2005,SEA,2011,2025-08-15 14:32:26
7,Tarvaris Jackson,28,QB,15,14,225,6-2,"Arkansas,Alabama St.",4/21/1983,5,9,Minnesota Vikings / 2nd / 64th pick /2006,SEA,2011,2025-08-15 14:32:26
61,Lemuel Jeanpierre,24,RG,16,5,301,6-1,South Carolina,5/19/1987,1,3,,SEA,2011,2025-08-15 14:32:26
