No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
2,Azeez Al-Shaair,26,LILB,17,17,228,6-2,Florida Atlantic,8/4/1997,4,8,,OTI,2023,2025-08-15 14:54:38
96,Denico Autry,33,LDE,17,14,285,6-5,"East Mississippi CC,Mississippi St.",7/15/1990,9,8,,OTI,2023,2025-08-15 14:54:38
23,Tre Avery,26,CB,15,2,185,5-11,"Toledo,Rutgers",2/26/1997,1,1,,OTI,2023,2025-08-15 14:54:38
90,Ross Blacklock,25,DT,3,0,290,6-3,TCU,7/9/1998,3,0,Houston Texans / 2nd / 40th pick /2020,OTI,2023,2025-08-15 14:54:38
97,Quinton Bohanna,24,DL,3,1,355,6-4,Kentucky,3/16/1999,2,1,Dallas Cowboys / 6th / 192nd pick /2021,OTI,2023,2025-08-15 14:54:38
55,Aaron Brewer,26,C,17,17,295,6-1,Texas St.,10/28/1997,3,6,,OTI,2023,2025-08-15 14:54:38
44,Mike Brown,24,S,9,1,218,6-1,Miami (OH),4/7/1999,1,1,,OTI,2023,2025-08-15 14:54:38
60,Daniel Brunskill,29,OL,14,14,300,6-5,San Diego St.,1/27/1994,4,5,,OTI,2023,2025-08-15 14:54:38
16,Treylon Burks,23,WR,11,9,225,6-2,Arkansas,3/23/2000,1,2,Tennessee Titans / 1st / 18th pick /2022,OTI,2023,2025-08-15 14:54:38
31,Kevin Byard,30,SS,6,6,218,5-11,Middle Tenn. St.,8/17/1993,7,2,Tennessee Titans / 3rd / 64th pick /2016,OTI,2023,2025-08-15 14:54:38
45,Chance Campbell,24,LB,4,0,232,6-2,"Maryland,Mississippi",10/8/1999,1,0,Tennessee Titans / 6th / 219th pick /2022,OTI,2023,2025-08-15 14:54:38
28,Shyheim Carter,26,DB,3,0,194,5-10,Alabama,12/15/1997,1,0,,OTI,2023,2025-08-15 14:54:38
36,Julius Chestnut,23,RB,3,0,228,5-11,Sacred Heart,10/26/2000,1,0,,OTI,2023,2025-08-15 14:54:38
91,Keondre Coburn,23,DL,4,0,322,6-2,Texas,5/23/2000,Rook,0,Kansas City Chiefs / 6th / 194th pick /2023,OTI,2023,2025-08-15 14:54:38
46,Morgan Cox,37,LS,17,0,233,6-4,Tennessee,4/26/1986,13,1,,OTI,2023,2025-08-15 14:54:38
53,Tae Crowder,26,LB,2,0,235,6-3,Georgia,3/12/1997,3,0,New York Giants / 7th / 255th pick /2020,OTI,2023,2025-08-15 14:54:38
29,Dane Cruikshank,28,DB,2,0,209,6-1,Arizona,4/27/1995,5,0,Tennessee Titans / 5th / 152nd pick /2018,OTI,2023,2025-08-15 14:54:38
92,Marlon Davidson,25,DL,5,3,278,6-3,Auburn,5/11/1998,3,2,Atlanta Falcons / 2nd / 47th pick /2020,OTI,2023,2025-08-15 14:54:38
71,Andre Dillard,28,T,16,10,315,6-5,Washington St.,10/3/1995,4,5,Philadelphia Eagles / 1st / 22nd pick /2019,OTI,2023,2025-08-15 14:54:38
47,JoJo Domann,26,LB,5,0,230,6-1,Nebraska,7/28/1997,1,0,,OTI,2023,2025-08-15 14:54:38
14,Colton Dowell,24,WR,10,1,212,6-3,UT Martin,4/19/1999,Rook,0,Tennessee Titans / 7th / 228th pick /2023,OTI,2023,2025-08-15 14:54:38
79,Jaelyn Duncan,23,OL,10,5,306,6-6,Maryland,7/8/2000,Rook,2,Tennessee Titans / 6th / 186th pick /2023,OTI,2023,2025-08-15 14:54:38
38,Terrell Edmunds,26,S,9,1,217,6-1,Virginia Tech,1/20/1997,5,1,Pittsburgh Steelers / 1st / 28th pick /2018,OTI,2023,2025-08-15 14:54:38
6,Nick Folk,39,K,17,0,222,6-1,Arizona,11/5/1984,16,5,Dallas Cowboys / 6th / 178th pick /2007,OTI,2023,2025-08-15 14:54:38
26,Kristian Fulton,25,CB,12,11,197,5-11,LSU,9/3/1998,3,4,Tennessee Titans / 2nd / 61st pick /2020,OTI,2023,2025-08-15 14:54:38
33,Eric Garror,23,DB,12,4,174,5-8,Louisiana,3/31/2000,Rook,2,,OTI,2023,2025-08-15 14:54:38
50,Jack Gibbens,25,LB,14,13,242,6-3,"Abilene Christian,Minnesota",11/24/1998,1,6,,OTI,2023,2025-08-15 14:54:38
57,Luke Gifford,28,LB,11,1,243,6-3,Nebraska,8/28/1995,4,1,,OTI,2023,2025-08-15 14:54:38
51,Trevis Gipson,26,OLB,8,0,263,6-4,Tulsa,6/13/1997,3,1,Chicago Bears / 5th / 155th pick /2020,OTI,2023,2025-08-15 14:54:38
30,Tay Gowan,25,CB,1,0,185,6-2,"Butler (KS),Central Florida",1/7/1998,2,0,Arizona Cardinals / 6th / 223rd pick /2021,OTI,2023,2025-08-15 14:54:38
22,Derrick Henry,29,RB,17,17,252,6-2,Alabama,1/4/1994,7,9,Tennessee Titans / 2nd / 45th pick /2016,OTI,2023,2025-08-15 14:54:38
37,Amani Hooker,25,DB,13,13,210,5-11,Iowa,6/14/1998,4,5,Tennessee Titans / 4th / 116th pick /2019,OTI,2023,2025-08-15 14:54:38
10,DeAndre Hopkins,31,WR,17,16,210,6-1,Clemson,6/6/1992,10,10,Houston Texans / 1st / 27th pick /2013,OTI,2023,2025-08-15 14:54:38
66,Chris Hubbard,32,OL,9,9,295,6-4,Ala-Birmingham,4/23/1991,9,3,,OTI,2023,2025-08-15 14:54:38
5,Kearis Jackson,24,WR,2,0,196,5-11,Georgia,12/9/1999,Rook,0,,OTI,2023,2025-08-15 14:54:38
39,Matthew Jackson,25,S,10,0,209,6-1,Eastern Kentucky,11/9/1998,Rook,1,,OTI,2023,2025-08-15 14:54:38
94,Jaleel Johnson,29,DT,12,4,316,6-3,Iowa,7/12/1994,6,3,Minnesota Vikings / 4th / 109th pick /2017,OTI,2023,2025-08-15 14:54:38
52,Joseph Jones,29,LB,4,0,231,6-0,Northwestern,2/21/1994,6,0,,OTI,2023,2025-08-15 14:54:38
90,Naquan Jones,25,DT,8,1,313,6-3,Michigan St.,2/5/1998,2,1,,OTI,2023,2025-08-15 14:54:38
40,Anthony Kendall,24,CB,16,0,188,5-10,Baldwin Wallace,12/17/1999,Rook,1,,OTI,2023,2025-08-15 14:54:38
49,Arden Key,27,OLB,17,9,240,6-5,LSU,5/3/1996,5,5,Oakland Raiders / 3rd / 87th pick /2018,OTI,2023,2025-08-15 14:54:38
12,Mason Kinsey,25,WR,6,0,200,5-11,Berry,8/29/1998,2,0,,OTI,2023,2025-08-15 14:54:38
58,Harold Landry,27,OLB,17,10,252,6-2,Boston Col.,6/5/1996,5,6,Tennessee Titans / 2nd / 41st pick /2018,OTI,2023,2025-08-15 14:54:38
62,Corey Levin,29,OL,16,0,307,6-4,Chattanooga,8/12/1994,5,1,Tennessee Titans / 6th / 217th pick /2017,OTI,2023,2025-08-15 14:54:38
8,Will Levis,24,QB,9,9,229,6-4,"Penn St.,Kentucky",6/27/1999,Rook,6,Tennessee Titans / 2nd / 33rd pick /2023,OTI,2023,2025-08-15 14:54:38
21,Roger McCreary,23,CB,15,11,190,5-11,Auburn,2/10/2000,1,4,Tennessee Titans / 2nd / 35th pick /2022,OTI,2023,2025-08-15 14:54:38
69,TK McLendon,23,DE,7,2,275,6-4,"Copiah-Lincoln CC,LSU,Eastern Kentucky",2/27/2000,Rook,2,,OTI,2023,2025-08-15 14:54:38
24,Elijah Molden,24,CB,15,8,192,5-10,Washington,1/30/1999,2,4,Tennessee Titans / 3rd / 100th pick /2021,OTI,2023,2025-08-15 14:54:38
11,Chris Moore,30,WR,17,5,200,6-1,Cincinnati,6/16/1993,7,4,Baltimore Ravens / 4th / 107th pick /2016,OTI,2023,2025-08-15 14:54:38
42,Caleb Murphy,24,OLB,3,0,254,6-3,"Grand Valley St.,Ferris St.",12/15/1999,Rook,0,,OTI,2023,2025-08-15 14:54:38
0,Sean Murphy-Bunting,26,LCB,14,14,195,6-0,Central Michigan,6/19/1997,4,6,Tampa Bay Buccaneers / 2nd / 39th pick /2019,OTI,2023,2025-08-15 14:54:38
73,Justin Murray,30,T,4,0,315,6-5,Cincinnati,4/19/1993,5,0,,OTI,2023,2025-08-15 14:54:38
67,Xavier Newman-Johnson,24,G,3,1,297,6-2,Baylor,8/4/1999,1,0,,OTI,2023,2025-08-15 14:54:38
61,John Ojukwu,24,OL,3,3,309,6-5,Boise St.,1/9/1999,Rook,1,,OTI,2023,2025-08-15 14:54:38
85,Chigoziem Okonkwo,24,TE,17,11,238,6-3,Maryland,9/8/1999,1,5,Tennessee Titans / 4th / 143rd pick /2022,OTI,2023,2025-08-15 14:54:38
92,Jayden Peevy,24,DT,1,0,308,6-5,Texas A&M,9/3/1999,1,0,,OTI,2023,2025-08-15 14:54:38
95,Kyle Peko,30,DT,13,10,305,6-1,Oregon St.,7/23/1993,7,5,,OTI,2023,2025-08-15 14:54:38
78,Nicholas Petit-Frere,24,OL,3,2,316,6-5,Ohio St.,9/15/1999,1,1,Tennessee Titans / 3rd / 69th pick /2022,OTI,2023,2025-08-15 14:54:38
18,Kyle Philips,24,WR,9,0,189,5-11,UCLA,6/17/1999,1,2,Tennessee Titans / 5th / 163rd pick /2022,OTI,2023,2025-08-15 14:54:38
86,Kevin Rader,28,TE,14,0,250,6-4,Youngstown St.,4/26/1995,3,0,,OTI,2023,2025-08-15 14:54:38
75,Dillon Radunz,25,OL,16,11,301,6-6,North Dakota St.,3/28/1998,2,4,Tennessee Titans / 2nd / 53rd pick /2021,OTI,2023,2025-08-15 14:54:38
41,Otis Reese,25,LB,7,3,214,6-3,"Georgia,Mississippi",7/2/1998,Rook,2,,OTI,2023,2025-08-15 14:54:38
56,Monty Rice,24,LB,12,0,233,6-0,Georgia,1/8/1999,2,1,Tennessee Titans / 3rd / 92nd pick /2021,OTI,2023,2025-08-15 14:54:38
76,Andrew Rupcich,24,OL,5,2,318,6-6,Culver-Stockton,4/1/1999,1,1,,OTI,2023,2025-08-15 14:54:38
36,Kendall Sheffield,27,DB,2,0,200,5-10,Ohio St.,5/30/1996,4,0,Atlanta Falcons / 4th / 111th pick /2019,OTI,2023,2025-08-15 14:54:38
98,Jeffery Simmons,26,DT,12,12,305,6-4,Mississippi St.,7/28/1997,4,6,Tennessee Titans / 1st / 19th pick /2019,OTI,2023,2025-08-15 14:54:38
77,Peter Skoronski,22,OL,14,14,313,6-4,Northwestern,7/31/2001,Rook,5,Tennessee Titans / 1st / 11th pick /2023,OTI,2023,2025-08-15 14:54:38
32,Tyjae Spears,22,RB,17,1,195,5-11,Tulane,6/15/2001,Rook,6,Tennessee Titans / 3rd / 81st pick /2023,OTI,2023,2025-08-15 14:54:38
97,Taylor Stallworth,28,DT,1,0,305,6-2,South Carolina,8/18/1995,5,0,,OTI,2023,2025-08-15 14:54:38
4,Ryan Stonehouse,24,P,12,0,200,5-10,Colorado St.,5/11/1999,1,3,,OTI,2023,2025-08-15 14:54:38
17,Ryan Tannehill,35,QB,10,8,217,6-4,Texas A&M,7/27/1988,11,5,Miami Dolphins / 1st / 8th pick /2012,OTI,2023,2025-08-15 14:54:38
93,Teair Tart,26,LDT,11,9,315,6-2,Florida International,2/28/1997,3,4,,OTI,2023,2025-08-15 14:54:38
72,Calvin Throckmorton,27,OL,6,0,311,6-5,Oregon,8/16/1996,2,0,,OTI,2023,2025-08-15 14:54:38
20,Kindle Vildor,26,CB,2,0,189,5-11,Georgia Southern,12/11/1997,3,0,Chicago Bears / 5th / 163rd pick /2020,OTI,2023,2025-08-15 14:54:38
35,K'Von Wallace,26,S,10,7,205,5-11,Clemson,7/25/1997,3,3,Philadelphia Eagles / 4th / 127th pick /2020,OTI,2023,2025-08-15 14:54:38
54,Garret Wallow,24,LB,3,0,230,6-2,TCU,1/25/1999,2,0,Houston Texans / 5th / 170th pick /2021,OTI,2023,2025-08-15 14:54:38
20,Jonathan Ward,26,RB,7,0,202,6-0,Central Michigan,9/30/1997,3,0,,OTI,2023,2025-08-15 14:54:38
99,Rashad Weaver,26,OLB,15,0,259,6-4,Pittsburgh,11/10/1997,2,1,Tennessee Titans / 4th / 135th pick /2021,OTI,2023,2025-08-15 14:54:38
88,Trevon Wesco,28,TE,15,10,267,6-3,West Virginia,9/12/1995,4,0,New York Jets / 4th / 121st pick /2019,OTI,2023,2025-08-15 14:54:38
15,Nick Westbrook-Ikhine,26,WR,14,9,211,6-2,Indiana,3/21/1997,3,3,,OTI,2023,2025-08-15 14:54:38
81,Josh Whyle,24,TE,11,3,248,6-6,Cincinnati,9/8/1999,Rook,1,Tennessee Titans / 5th / 147th pick /2023,OTI,2023,2025-08-15 14:54:38
7,Malik Willis,24,QB,3,0,225,6-1,"Auburn,Liberty",5/25/1999,1,0,Tennessee Titans / 3rd / 86th pick /2022,OTI,2023,2025-08-15 14:54:38
13,Ty Zentner,25,P,5,0,199,6-2,"Butler (KS),Kansas St.",6/7/1998,Rook,1,,OTI,2023,2025-08-15 14:54:38
