No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
95,Jonathan Allen,22,LDE,5,5,300,6-3,Alabama,1/16/1995,Rook,2,Washington Redskins / 1st / 17th pick /2017,WAS,2017,2025-08-15 14:39:35
52,Ryan Anderson,23,LB,14,0,255,6-2,Alabama,8/12/1994,Rook,1,Washington Redskins / 2nd / 49th pick /2017,WAS,2017,2025-08-15 14:39:35
63,Brandon Banks,23,DE,1,0,267,6-3,Charlotte,7/13/1994,Rook,0,,WAS,2017,2025-08-15 14:39:35
66,Tony Bergstrom,31,T,9,3,310,6-5,Utah,8/8/1986,5,2,Oakland Raiders / 3rd / 95th pick /2012,WAS,2017,2025-08-15 14:39:35
39,Kapri Bibbs,24,RB,3,0,203,5-10,"Snow College (UT),Colorado St.",1/10/1993,2,1,,WAS,2017,2025-08-15 14:39:35
26,Bashaud Breeland,25,LCB,15,14,195,5-11,Clemson,1/30/1992,3,5,Washington Redskins / 4th / 102nd pick /2014,WAS,2017,2025-08-15 14:39:35
34,Mack Brown,26,DB,3,0,213,5-11,Florida,9/24/1991,1,0,,WAS,2017,2025-08-15 14:39:35
53,Zach Brown,28,LILB,13,13,250,6-1,North Carolina,10/23/1989,5,7,Tennessee Titans / 2nd / 52nd pick /2012,WAS,2017,2025-08-15 14:39:35
55,Chris Carter,28,LB,13,0,245,6-1,Fresno St.,4/6/1989,6,1,Pittsburgh Steelers / 5th / 162nd pick /2011,WAS,2017,2025-08-15 14:39:35
68,Tyler Catalina,24,T,7,2,315,6-6,Georgia,1/24/1993,Rook,2,,WAS,2017,2025-08-15 14:39:35
69,T.J. Clemmings,26,T,6,2,337,6-4,Pittsburgh,11/18/1991,2,2,Minnesota Vikings / 4th / 110th pick /2015,WAS,2017,2025-08-15 14:39:35
51,William Compton,28,LB,9,3,235,6-1,Nebraska,9/19/1989,4,2,,WAS,2017,2025-08-15 14:39:35
8,Kirk Cousins,29,QB,16,16,205,6-3,Michigan St.,8/19/1988,5,12,Washington Redskins / 4th / 102nd pick /2012,WAS,2017,2025-08-15 14:39:35
80,Jamison Crowder,24,WR,15,6,177,5-9,Duke,6/17/1993,2,6,Washington Redskins / 4th / 105th pick /2015,WAS,2017,2025-08-15 14:39:35
46,LeShun Daniels,22,RB,4,0,222,5-11,Iowa,6/4/1995,Rook,0,,WAS,2017,2025-08-15 14:39:35
,Robert Davis,22,WR,1,0,210,6-3,Georgia St.,4/2/1995,Rook,0,Washington Redskins / 6th / 209th pick /2017,WAS,2017,2025-08-15 14:39:35
85,Vernon Davis,33,TE,16,16,248,6-3,Maryland,1/31/1984,11,5,San Francisco 49ers / 1st / 6th pick /2006,WAS,2017,2025-08-15 14:39:35
18,Josh Doctson,25,WR,16,14,205,6-2,"TCU,Wyoming",12/3/1992,1,4,Washington Redskins / 1st / 22nd pick /2016,WAS,2017,2025-08-15 14:39:35
47,Quinton Dunbar,25,DB,15,4,202,6-2,Florida,7/22/1992,2,2,,WAS,2017,2025-08-15 14:39:35
22,Deshazor Everett,25,SS,14,8,203,6-0,Texas A&M,2/22/1992,2,3,,WAS,2017,2025-08-15 14:39:35
54,Mason Foster,28,LB,5,4,240,6-1,Washington,3/1/1989,6,3,Tampa Bay Buccaneers / 3rd / 84th pick /2011,WAS,2017,2025-08-15 14:39:35
64,A.J. Francis,27,DT,6,0,337,6-5,Maryland,5/7/1990,2,1,,WAS,2017,2025-08-15 14:39:35
74,Orlando Franklin,30,G,1,0,315,6-6,Miami (FL),12/16/1987,6,0,Denver Broncos / 2nd / 46th pick /2011,WAS,2017,2025-08-15 14:39:35
