No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
69,Jared Allen,32,RDE,15,15,270,6-6,Idaho St.,4/3/1982,10,6,Kansas City Chiefs / 4th / 126th pick /2004,CHI,2014,2025-08-15 13:46:09
84,Blake Annen,23,TE,5,0,250,6-5,Cincinnati,5/28/1991,Rook,0,,CHI,2014,2025-08-15 13:46:09
91,David Bass,24,DE,8,1,267,6-4,Missouri Western St.,9/11/1990,1,1,Oakland Raiders / 7th / 233rd pick /2013,CHI,2014,2025-08-15 13:46:09
11,Josh Bellamy,25,WR,4,0,208,6-0,Louisville,5/18/1989,2,0,,CHI,2014,2025-08-15 13:46:09
83,Martellus Bennett,27,TE,16,15,275,6-6,Texas A&M,3/10/1987,6,7,Dallas Cowboys / 2nd / 61st pick /2008,CHI,2014,2025-08-15 13:46:09
60,Taylor Boggs,27,C,4,0,285,6-3,Humboldt St.,2/20/1987,1,0,,CHI,2014,2025-08-15 13:46:09
57,Jonathan Bostic,23,LLB,13,8,245,6-1,Florida,5/5/1991,1,3,Chicago Bears / 2nd / 50th pick /2013,CHI,2014,2025-08-15 13:46:09
55,Lance Briggs,34,LLB,8,8,244,6-1,Arizona,11/12/1980,11,3,Chicago Bears / 3rd / 68th pick /2003,CHI,2014,2025-08-15 13:46:09
62,Eben Britton,27,T,10,0,310,6-6,Arizona,10/14/1987,5,1,Jacksonville Jaguars / 2nd / 39th pick /2009,CHI,2014,2025-08-15 13:46:09
74,Jermon Bushrod,30,LT,14,14,318,6-5,Towson,8/19/1984,7,6,New Orleans Saints / 4th / 125th pick /2007,CHI,2014,2025-08-15 13:46:09
44,Jeremy Cain,34,LB,16,0,245,6-1,Massachusetts,3/24/1980,10,2,,CHI,2014,2025-08-15 13:46:09
25,Ka'Deem Carey,22,RB,14,0,207,5-9,Arizona,10/30/1992,Rook,1,Chicago Bears / 4th / 117th pick /2014,CHI,2014,2025-08-15 13:46:09
8,Jimmy Clausen,27,QB,4,1,217,6-3,Notre Dame,9/21/1987,4,1,Carolina Panthers / 2nd / 48th pick /2010,CHI,2014,2025-08-15 13:46:09
47,Chris Conte,25,FS,12,12,203,6-2,California,2/23/1989,3,4,Chicago Bears / 3rd / 93rd pick /2011,CHI,2014,2025-08-15 13:46:09
6,Jay Cutler,31,QB,15,15,231,6-3,Vanderbilt,4/29/1983,8,11,Denver Broncos / 1st / 11th pick /2006,CHI,2014,2025-08-15 13:46:09
64,Brian De La Puente,29,C,8,6,306,6-3,California,5/13/1985,3,3,,CHI,2014,2025-08-15 13:46:09
36,Ahmad Dixon,23,DB,5,0,212,6-0,Baylor,9/5/1991,Rook,0,Dallas Cowboys / 7th / 248th pick /2014,CHI,2014,2025-08-15 13:46:09
20,Shaun Draughn,27,RB,2,0,205,6-0,North Carolina,12/7/1987,3,0,,CHI,2014,2025-08-15 13:46:09
98,Brandon Dunn,22,DT,3,0,310,6-2,Louisville,9/5/1992,Rook,0,,CHI,2014,2025-08-15 13:46:09
4,Jay Feely,38,K,4,0,208,5-10,Michigan,5/23/1976,13,0,,CHI,2014,2025-08-15 13:46:09
95,Ego Ferguson,23,DT,16,0,315,6-3,LSU,9/22/1991,Rook,1,Chicago Bears / 2nd / 51st pick /2014,CHI,2014,2025-08-15 13:46:09
43,Tony Fiammetta,28,RB,1,0,246,6-0,Syracuse,8/22/1986,5,0,Carolina Panthers / 4th / 128th pick /2009,CHI,2014,2025-08-15 13:46:09
22,Matt Forte,29,RB,16,16,221,6-1,Tulane,12/10/1985,6,13,Chicago Bears / 2nd / 44th pick /2008,CHI,2014,2025-08-15 13:46:09
31,Isaiah Frey,24,DB,3,1,188,5-11,Nevada,4/6/1990,1,1,Chicago Bears / 6th / 184th pick /2012,CHI,2014,2025-08-15 13:46:09
23,Kyle Fuller,22,RCB,16,14,190,5-11,Virginia Tech,2/16/1992,Rook,5,Chicago Bears / 1st / 14th pick /2014,CHI,2014,2025-08-15 13:46:09
63,Roberto Garza,35,C,12,12,310,6-2,Texas A&M-Kingsville,3/26/1979,13,5,Atlanta Falcons / 4th / 99th pick /2001,CHI,2014,2025-08-15 13:46:09
9,Robbie Gould,32,K,12,0,190,6-0,Penn St.,12/6/1982,9,1,,CHI,2014,2025-08-15 13:46:09
52,Khaseem Greene,25,LB,10,2,241,6-1,Rutgers,2/4/1989,1,1,Chicago Bears / 4th / 117th pick /2013,CHI,2014,2025-08-15 13:46:09
79,Ryan Groy,24,G,4,3,320,6-5,Wisconsin,9/30/1990,Rook,1,,CHI,2014,2025-08-15 13:46:09
14,Santonio Holmes,30,WR,9,2,192,5-11,Ohio St.,3/3/1984,8,1,Pittsburgh Steelers / 1st / 25th pick /2006,CHI,2014,2025-08-15 13:46:09
99,Lamarr Houston,27,LDE,8,8,274,6-3,Texas,6/24/1987,4,3,Oakland Raiders / 2nd / 44th pick /2010,CHI,2014,2025-08-15 13:46:09
30,Demontre Hurst,23,DB,15,2,191,5-10,Oklahoma,3/24/1991,Rook,1,,CHI,2014,2025-08-15 13:46:09
17,Alshon Jeffery,24,WR,16,16,218,6-3,South Carolina,2/14/1990,2,9,Chicago Bears / 2nd / 45th pick /2012,CHI,2014,2025-08-15 13:46:09
26,Tim Jennings,31,LCB,16,16,185,5-8,Georgia,12/24/1983,8,4,Indianapolis Colts / 2nd / 62nd pick /2006,CHI,2014,2025-08-15 13:46:09
59,Christian Jones,23,MLB,16,5,245,6-3,Florida St.,2/18/1991,Rook,3,,CHI,2014,2025-08-15 13:46:09
91,DeDe Lattimore,23,LB,10,0,237,6-1,South Florida,1/30/1991,Rook,0,,CHI,2014,2025-08-15 13:46:09
72,Charles Leno Jr.,23,T,6,1,302,6-3,Boise St.,10/9/1991,Rook,1,Chicago Bears / 7th / 246th pick /2014,CHI,2014,2025-08-15 13:46:09
75,Kyle Long,26,RG,15,15,332,6-6,"Florida St.,Saddleback College,Oregon",12/5/1988,1,11,Chicago Bears / 1st / 20th pick /2013,CHI,2014,2025-08-15 13:46:09
39,Al Louis-Jean,21,DB,9,0,187,6-1,Boston Col.,10/13/1993,Rook,0,,CHI,2014,2025-08-15 13:46:09
53,Terrell Manning,24,LB,3,0,237,6-2,North Carolina St.,4/16/1990,2,0,Green Bay Packers / 5th / 163rd pick /2012,CHI,2014,2025-08-15 13:46:09
80,Marc Mariani,27,WR,6,0,190,6-1,Montana,5/2/1987,4,0,Tennessee Titans / 7th / 222nd pick /2010,CHI,2014,2025-08-15 13:46:09
15,Brandon Marshall,30,WR,13,13,232,6-5,Central Florida,3/23/1984,8,6,Denver Broncos / 4th / 119th pick /2006,CHI,2014,2025-08-15 13:46:09
50,Shea McClellin,25,RLB,12,10,250,6-3,Boise St.,8/1/1989,2,3,Chicago Bears / 1st / 19th pick /2012,CHI,2014,2025-08-15 13:46:09
29,Danny McCray,26,DB,15,0,214,6-0,LSU,3/10/1988,4,1,,CHI,2014,2025-08-15 13:46:09
27,Sherrick McManis,27,DB,12,0,203,5-11,Northwestern,12/19/1987,4,1,Houston Texans / 5th / 144th pick /2010,CHI,2014,2025-08-15 13:46:09
