No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
24,Johnson Bademosi,25,DB,16,0,219,6-0,Stanford,7/23/1990,3,1,,CLE,2015,2025-08-15 13:50:37
82,Gary Barnidge,30,TE,16,13,250,6-6,Louisville,9/22/1985,7,6,Carolina Panthers / 5th / 141st pick /2008,CLE,2015,2025-08-15 13:50:37
11,Travis Benjamin,26,WR,16,15,175,5-10,Miami (FL),12/29/1989,3,7,Cleveland Browns / 4th / 100th pick /2012,CLE,2015,2025-08-15 13:50:37
88,E.J. Bibbs,24,TE,7,0,261,6-3,Iowa St.,8/29/1991,Rook,0,,CLE,2015,2025-08-15 13:50:37
75,Joel Bitonio,24,LG,10,10,320,6-4,Nevada,10/11/1991,1,4,Cleveland Browns / 2nd / 35th pick /2014,CLE,2015,2025-08-15 13:50:37
80,Dwayne Bowe,31,WR,7,0,221,6-2,LSU,9/21/1984,8,0,Kansas City Chiefs / 1st / 23rd pick /2007,CLE,2015,2025-08-15 13:50:37
95,Armonty Bryant,25,DE,14,2,265,6-4,East Central (OK),5/20/1990,2,2,Cleveland Browns / 7th / 217th pick /2013,CLE,2015,2025-08-15 13:50:37
92,Desmond Bryant,30,LDE,14,14,290,6-5,Harvard,12/15/1985,6,6,,CLE,2015,2025-08-15 13:50:37
30,Ibraheim Campbell,23,DB,15,1,210,5-11,Northwestern,5/13/1992,Rook,1,Cleveland Browns / 4th / 115th pick /2015,CLE,2015,2025-08-15 13:50:37
59,Tank Carder,26,LB,16,0,235,6-2,TCU,1/18/1989,3,1,Buffalo Bills / 5th / 147th pick /2012,CLE,2015,2025-08-15 13:50:37
6,Travis Coons,23,K,16,0,199,6-2,Washington,2/6/1992,Rook,3,,CLE,2015,2025-08-15 13:50:37
96,Xavier Cooper,24,DT,14,0,300,6-4,Washington St.,11/30/1991,Rook,1,Cleveland Browns / 3rd / 96th pick /2015,CLE,2015,2025-08-15 13:50:37
34,Isaiah Crowell,22,RB,16,9,225,5-11,Alabama St.,1/8/1993,1,4,,CLE,2015,2025-08-15 13:50:37
56,Karlos Dansby,34,LILB,16,16,250,6-4,Auburn,11/3/1981,11,7,Arizona Cardinals / 2nd / 33rd pick /2004,CLE,2015,2025-08-15 13:50:37
7,Austin Davis,26,QB,3,2,221,6-2,Southern Miss,6/2/1989,1,1,,CLE,2015,2025-08-15 13:50:37
26,Pierre Desir,25,LCB,14,6,192,6-1,Lindenwood,9/8/1990,1,2,Cleveland Browns / 4th / 127th pick /2014,CLE,2015,2025-08-15 13:50:37
50,Jayson DiManche,25,LB,1,0,232,6-1,Southern Illinois,9/22/1990,2,0,,CLE,2015,2025-08-15 13:50:37
20,Shaun Draughn,28,RB,5,0,205,6-0,North Carolina,12/7/1987,4,0,,CLE,2015,2025-08-15 13:50:37
81,Jim Dray,29,TE,16,10,253,6-5,Stanford,12/31/1986,5,0,Arizona Cardinals / 7th / 233rd pick /2010,CLE,2015,2025-08-15 13:50:37
74,Cameron Erving,23,T,16,4,313,6-5,Florida St.,8/23/1992,Rook,2,Cleveland Browns / 1st / 19th pick /2015,CLE,2015,2025-08-15 13:50:37
18,Taylor Gabriel,24,WR,13,4,168,5-7,Abilene Christian,2/17/1991,1,1,,CLE,2015,2025-08-15 13:50:37
43,Charles Gaines,23,DB,6,4,175,5-11,Louisville,10/3/1992,Rook,1,Cleveland Browns / 6th / 189th pick /2015,CLE,2015,2025-08-15 13:50:37
21,Justin Gilbert,24,DB,9,1,202,6-0,Oklahoma St.,11/7/1991,1,1,Cleveland Browns / 1st / 8th pick /2014,CLE,2015,2025-08-15 13:50:37
39,Tashaun Gipson,25,FS,13,13,212,5-11,Wyoming,8/7/1990,3,5,,CLE,2015,2025-08-15 13:50:37
77,John Greco,30,RG,14,14,318,6-4,Toledo,3/24/1985,7,6,St. Louis Rams / 3rd / 65th pick /2008,CLE,2015,2025-08-15 13:50:37
23,Joe Haden,26,LCB,5,5,195,5-11,Florida,4/14/1989,5,2,Cleveland Browns / 1st / 7th pick /2010,CLE,2015,2025-08-15 13:50:37
85,Rannell Hall,22,WR,1,0,200,6-1,Central Florida,1/30/1993,Rook,0,,CLE,2015,2025-08-15 13:50:37
83,Brian Hartline,29,WR,12,4,180,6-2,Ohio St.,11/22/1986,6,3,Miami Dolphins / 4th / 108th pick /2009,CLE,2015,2025-08-15 13:50:37
16,Andrew Hawkins,29,WR,8,8,175,5-7,Toledo,3/10/1986,4,2,,CLE,2015,2025-08-15 13:50:37
84,Rob Housler,27,TE,6,0,238,6-5,Florida Atlantic,3/17/1988,4,0,Arizona Cardinals / 3rd / 69th pick /2011,CLE,2015,2025-08-15 13:50:37
93,John Hughes,27,DT,16,3,320,6-2,Cincinnati,4/27/1988,3,2,Cleveland Browns / 3rd / 87th pick /2012,CLE,2015,2025-08-15 13:50:37
47,Charley Hughlett,25,LS,16,0,251,6-4,Central Florida,5/16/1990,Rook,1,,CLE,2015,2025-08-15 13:50:37
10,Darius Jennings,23,WR,4,1,180,5-10,Virginia,6/28/1992,Rook,1,,CLE,2015,2025-08-15 13:50:37
57,Cam Johnson,25,DE,1,0,272,6-4,Virginia,5/24/1990,3,0,San Francisco 49ers / 7th / 237th pick /2012,CLE,2015,2025-08-15 13:50:37
29,Duke Johnson,22,RB,16,7,210,5-9,Miami (FL),9/23/1993,Rook,5,Cleveland Browns / 3rd / 77th pick /2015,CLE,2015,2025-08-15 13:50:37
42,Malcolm Johnson,23,RB,12,5,231,6-1,Mississippi St.,8/11/1992,Rook,0,Cleveland Browns / 6th / 195th pick /2015,CLE,2015,2025-08-15 13:50:37
35,Don Jones,25,DB,9,0,195,5-11,"Mississippi Gulf Coast CC,Arkansas St.",5/14/1990,2,0,Miami Dolphins / 7th / 250th pick /2013,CLE,2015,2025-08-15 13:50:37
58,Christian Kirksey,23,RILB,16,5,235,6-2,Iowa,8/31/1992,1,3,Cleveland Browns / 3rd / 71st pick /2014,CLE,2015,2025-08-15 13:50:37
99,Paul Kruger,29,LOLB,16,15,285,6-4,Utah,2/15/1986,6,5,Baltimore Ravens / 2nd / 57th pick /2009,CLE,2015,2025-08-15 13:50:37
8,Andy Lee,33,P,16,0,185,6-1,Pittsburgh,8/11/1982,11,3,San Francisco 49ers / 6th / 188th pick /2004,CLE,2015,2025-08-15 13:50:37
55,Alex Mack,30,C,16,16,311,6-4,California,11/19/1985,6,8,Cleveland Browns / 1st / 21st pick /2009,CLE,2015,2025-08-15 13:50:37
2,Johnny Manziel,23,QB,9,6,207,6-0,Texas A&M,12/6/1992,1,4,Cleveland Browns / 1st / 22nd pick /2014,CLE,2015,2025-08-15 13:50:37
