No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
55,Brian Allen,24,C,9,9,303,6-2,Michigan St.,10/11/1995,1,5,Los Angeles Rams / 4th / 111th pick /2018,"$570,000",RAM,2019,2025-08-15 14:29:35
86,Kendall Blanton,24,TE,1,0,260,6-6,Missouri,11/10/1995,Rook,0,,,RAM,2019,2025-08-15 14:29:35
66,Austin Blythe,27,RG/C,15,15,280,6-2,Iowa,6/16/1992,3,8,Indianapolis Colts / 7th / 248th pick /2016,"$2,025,000",RAM,2019,2025-08-15 14:29:35
5,Blake Bortles,27,QB,3,0,236,6-5,Central Florida,4/28/1992,5,0,Jacksonville Jaguars / 1st / 3rd pick /2014,"$1,000,000",RAM,2019,2025-08-15 14:29:35
67,Chandler Brewer,22,G,7,0,320,6-6,Middle Tenn. St.,6/12/1997,Rook,1,,,RAM,2019,2025-08-15 14:29:35
90,Michael Brockers,29,LDE,16,16,297,6-5,LSU,12/21/1990,7,7,St. Louis Rams / 1st / 14th pick /2012,"$7,777,777",RAM,2019,2025-08-15 14:29:35
34,Malcolm Brown,26,RB,14,1,225,5-11,Texas,5/15/1993,4,2,,"$1,000,000",RAM,2019,2025-08-15 14:29:35
26,Marqui Christian,25,DB,16,1,195,5-11,Midwestern St.,10/27/1994,3,2,Arizona Cardinals / 5th / 167th pick /2016,"$720,000",RAM,2019,2025-08-15 14:29:35
12,Brandin Cooks,26,WR,14,14,193,5-10,Oregon St.,9/25/1993,5,5,New Orleans Saints / 1st / 20th pick /2014,"$1,000,000",RAM,2019,2025-08-15 14:29:35
63,Austin Corbett,24,LG,8,7,305,6-4,Nevada,9/5/1995,1,4,Cleveland Browns / 2nd / 33rd pick /2018,,RAM,2019,2025-08-15 14:29:35
21,Donte Deayon,25,DB,3,0,159,5-9,Boise St.,1/28/1994,2,0,,"$645,000",RAM,2019,2025-08-15 14:29:35
64,Jamil Demby,23,T,6,1,321,6-5,Maine,6/20/1996,Rook,1,Los Angeles Rams / 6th / 192nd pick /2018,"$570,000",RAM,2019,2025-08-15 14:29:35
99,Aaron Donald,28,RDE,16,16,280,6-1,Pittsburgh,5/23/1991,5,14,St. Louis Rams / 1st / 13th pick /2014,"$9,108,000",RAM,2019,2025-08-15 14:29:35
50,Samson Ebukam,24,ROLB,16,5,245,6-3,Eastern Washington,5/9/1995,2,3,Los Angeles Rams / 4th / 125th pick /2017,"$645,000",RAM,2019,2025-08-15 14:29:35
73,David Edwards,22,RG,16,10,308,6-6,Wisconsin,3/20/1997,Rook,6,Los Angeles Rams / 5th / 169th pick /2019,"$495,000",RAM,2019,2025-08-15 14:29:35
71,Bobby Evans,22,RT,9,7,312,6-4,Oklahoma,3/24/1997,Rook,4,Los Angeles Rams / 3rd / 97th pick /2019,"$495,000",RAM,2019,2025-08-15 14:29:35
81,Gerald Everett,25,TE,13,2,252,6-3,South Alabama,6/25/1994,2,3,Los Angeles Rams / 2nd / 44th pick /2017,"$1,014,497",RAM,2019,2025-08-15 14:29:35
