No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
23,Cam Akers,21,RB,13,5,217,5-10,Florida St.,6/22/1999,Rook,4,Los Angeles Rams / 2nd / 52nd pick /2020,"$610,000",RAM,2020,2025-08-15 14:29:44
72,Tremayne Anchrum,22,T,12,0,314,6-2,Clemson,6/24/1998,Rook,1,Los Angeles Rams / 7th / 250th pick /2020,"$610,000",RAM,2020,2025-08-15 14:29:44
66,Austin Blythe,28,C,16,16,280,6-2,Iowa,6/16/1992,4,6,Indianapolis Colts / 7th / 248th pick /2016,"$2,950,000",RAM,2020,2025-08-15 14:29:44
90,Michael Brockers,30,DE,15,15,297,6-5,LSU,12/21/1990,8,10,St. Louis Rams / 1st / 14th pick /2012,"$2,000,000",RAM,2020,2025-08-15 14:29:44
34,Malcolm Brown,27,RB,16,0,225,5-11,Texas,5/15/1993,5,3,,"$1,000,000",RAM,2020,2025-08-15 14:29:44
26,Terrell Burgess,22,S,7,0,202,5-11,Utah,11/12/1998,Rook,0,Los Angeles Rams / 3rd / 104th pick /2020,"$486,468",RAM,2020,2025-08-15 14:29:44
30,Raymond Calais,22,RB,4,0,188,5-8,Louisiana,4/2/1998,Rook,0,Tampa Bay Buccaneers / 7th / 245th pick /2020,"$610,000",RAM,2020,2025-08-15 14:29:44
93,Marquise Copeland,23,DT,1,0,287,6-2,Cincinnati,5/9/1997,1,0,,,RAM,2020,2025-08-15 14:29:44
63,Austin Corbett,25,RG,16,16,305,6-4,Nevada,9/5/1995,2,6,Cleveland Browns / 2nd / 33rd pick /2018,"$1,163,490",RAM,2020,2025-08-15 14:29:44
21,Donte Deayon,26,DB,0,0,159,5-9,Boise St.,1/28/1994,3,0,,,RAM,2020,2025-08-15 14:29:44
99,Aaron Donald,29,DT,16,16,280,6-1,Pittsburgh,5/23/1991,6,23,St. Louis Rams / 1st / 13th pick /2014,"$17,000,000",RAM,2020,2025-08-15 14:29:44
50,Samson Ebukam,25,LOLB,16,14,245,6-3,Eastern Washington,5/9/1995,3,9,Los Angeles Rams / 4th / 125th pick /2017,"$2,133,000",RAM,2020,2025-08-15 14:29:44
73,David Edwards,23,LG,16,14,308,6-6,Wisconsin,3/20/1997,1,5,Los Angeles Rams / 5th / 169th pick /2019,"$675,000",RAM,2020,2025-08-15 14:29:44
71,Bobby Evans,23,G,5,0,312,6-4,Oklahoma,3/24/1997,1,0,Los Angeles Rams / 3rd / 97th pick /2019,"$675,000",RAM,2020,2025-08-15 14:29:44
81,Gerald Everett,26,TE,16,7,252,6-3,South Alabama,6/25/1994,3,3,Los Angeles Rams / 2nd / 44th pick /2017,"$1,289,246",RAM,2020,2025-08-15 14:29:44
54,Leonard Floyd,28,ROLB,16,16,240,6-3,Georgia,9/8/1992,4,12,Chicago Bears / 1st / 9th pick /2016,"$5,000,000",RAM,2020,2025-08-15 14:29:44
2,Kai Forbath,33,K,2,0,197,5-11,UCLA,9/2/1987,8,0,,"$588,824",RAM,2020,2025-08-15 14:29:44
97,Morgan Fox,26,DB,16,2,275,6-3,Colorado State-Pueblo,9/12/1994,4,4,,"$825,000",RAM,2020,2025-08-15 14:29:44
32,Jordan Fuller,22,SS,12,12,203,6-2,Ohio St.,3/4/1998,Rook,5,Los Angeles Rams / 6th / 199th pick /2020,"$461,763",RAM,2020,2025-08-15 14:29:44
91,Greg Gaines,24,DT,16,0,312,6-1,Washington,5/6/1996,1,2,Los Angeles Rams / 4th / 134th pick /2019,"$675,000",RAM,2020,2025-08-15 14:29:44
1,Matt Gay,26,K,7,0,232,6-0,Utah,3/15/1994,1,2,Tampa Bay Buccaneers / 5th / 145th pick /2019,,RAM,2020,2025-08-15 14:29:44
39,Jake Gervase,25,DB,1,0,212,6-1,Iowa,9/18/1995,1,0,,"$540,000",RAM,2020,2025-08-15 14:29:44
16,Jared Goff,26,QB,15,15,217,6-4,California,10/14/1994,4,10,Los Angeles Rams / 1st / 1st pick /2016,"$1,042,682",RAM,2020,2025-08-15 14:29:44
79,Rob Havenstein,28,RT,16,16,323,6-8,Wisconsin,5/13/1992,5,7,St. Louis Rams / 2nd / 57th pick /2015,"$910,000",RAM,2020,2025-08-15 14:29:44
6,Johnny Hekker,30,P,16,0,225,6-5,Oregon St.,2/8/1990,8,3,,"$3,500,000",RAM,2020,2025-08-15 14:29:44
27,Darrell Henderson,23,RB,15,11,208,5-8,Memphis,8/19/1997,1,4,Los Angeles Rams / 3rd / 70th pick /2019,"$686,916",RAM,2020,2025-08-15 14:29:44
89,Tyler Higbee,27,TE,15,15,255,6-6,Western Kentucky,1/1/1993,4,4,Los Angeles Rams / 4th / 110th pick /2016,"$2,000,000",RAM,2020,2025-08-15 14:29:44
22,Troy Hill,29,LCB,16,16,182,5-10,Oregon,8/29/1991,5,8,,"$2,850,000",RAM,2020,2025-08-15 14:29:44
58,Justin Hollins,24,LB,16,0,248,6-5,Oregon,1/15/1996,1,2,Denver Broncos / 5th / 156th pick /2019,"$675,000",RAM,2020,2025-08-15 14:29:44
88,Brycen Hopkins,23,TE,5,0,245,6-4,Purdue,3/27/1997,Rook,0,Los Angeles Rams / 4th / 136th pick /2020,"$610,000",RAM,2020,2025-08-15 14:29:44
46,Juju Hughes,22,DB,12,0,188,5-11,Fresno St.,7/19/1998,Rook,1,,"$430,584",RAM,2020,2025-08-15 14:29:44
12,Van Jefferson,24,WR,16,0,200,6-1,"Mississippi,Florida",7/26/1996,Rook,2,Los Angeles Rams / 2nd / 57th pick /2020,"$610,000",RAM,2020,2025-08-15 14:29:44
43,John Johnson,25,FS,16,16,204,6-0,Boston Col.,12/19/1995,3,6,Los Angeles Rams / 3rd / 91st pick /2017,"$2,133,000",RAM,2020,2025-08-15 14:29:44
35,Xavier Jones,23,RB,13,0,208,5-11,SMU,8/24/1997,Rook,0,,,RAM,2020,2025-08-15 14:29:44
69,Sebastian Joseph-Day,25,NT,16,16,310,6-4,Rutgers,3/21/1995,1,10,Los Angeles Rams / 6th / 195th pick /2018,"$750,000",RAM,2020,2025-08-15 14:29:44
59,Micah Kiser,25,LILB,9,9,244,6-0,Virginia,1/25/1995,2,5,Los Angeles Rams / 5th / 147th pick /2018,"$675,000",RAM,2020,2025-08-15 14:29:44
10,Cooper Kupp,27,WR,15,12,205,6-1,Eastern Washington,6/15/1993,3,7,Los Angeles Rams / 3rd / 69th pick /2017,"$1,633,000",RAM,2020,2025-08-15 14:29:44
52,Terrell Lewis,22,LB,8,0,262,6-5,Alabama,8/25/1998,Rook,1,Los Angeles Rams / 3rd / 84th pick /2020,"$560,587",RAM,2020,2025-08-15 14:29:44
25,David Long,22,DB,16,1,196,5-11,Michigan,2/6/1998,1,1,Los Angeles Rams / 3rd / 79th pick /2019,"$677,776",RAM,2020,2025-08-15 14:29:44
44,Jake McQuaide,33,LS,16,0,247,6-2,Ohio St.,12/7/1987,9,1,,"$1,050,000",RAM,2020,2025-08-15 14:29:44
47,Derrick Moncrief,27,LB,1,0,220,6-2,"Mississippi Gulf Coast CC,Auburn,Oklahoma St.",6/25/1993,1,0,,,RAM,2020,2025-08-15 14:29:44
82,Johnny Mundt,26,TE,16,1,243,6-4,Oregon,11/23/1994,3,0,,"$750,000",RAM,2020,2025-08-15 14:29:44
70,Joseph Noteboom,25,LT,10,9,321,6-5,TCU,6/19/1995,2,4,Los Angeles Rams / 3rd / 89th pick /2018,"$750,000",RAM,2020,2025-08-15 14:29:44
45,Ogbonnia Okoronkwo,25,LB,10,0,253,6-2,Oklahoma,4/24/1995,1,1,Los Angeles Rams / 5th / 160th pick /2018,"$555,884",RAM,2020,2025-08-15 14:29:44
