Team,Position_Group,First_Year,Last_Year,Years_Analyzed,Avg_Players_Year1,Avg_Players_Year2,Avg_Retention_Rate_Pct,Avg_Departure_Rate_Pct,Avg_New_Player_Rate_Pct,Avg_Net_Change,Source_File,Combined_Date,Files_Combined
ATL,DB,2011,2023,13,10.54,10.77,47.68,52.32,53.74,0.23,atl_roster_turnover_summary.csv,2025-08-15 16:43:28,32
ATL,DL,2011,2023,13,6.69,7.0,30.98,69.02,72.28,0.31,atl_roster_turnover_summary.csv,2025-08-15 16:43:28,32
ATL,LB,2011,2023,13,5.69,5.85,28.18,71.82,71.82,0.15,atl_roster_turnover_summary.csv,2025-08-15 16:43:28,32
ATL,OL,2011,2023,13,5.31,5.46,39.49,60.51,63.48,0.15,atl_roster_turnover_summary.csv,2025-08-15 16:43:28,32
ATL,OTHER,2011,2023,13,12.92,12.69,46.68,53.32,53.81,-0.23,atl_roster_turnover_summary.csv,2025-08-15 16:43:28,32
ATL,QB,2011,2023,13,2.23,2.23,56.41,43.59,44.23,0.0,atl_roster_turnover_summary.csv,2025-08-15 16:43:28,32
ATL,RB,2011,2023,13,5.77,5.69,50.55,49.45,48.75,-0.08,atl_roster_turnover_summary.csv,2025-08-15 16:43:28,32
ATL,ST,2011,2023,13,3.08,3.15,71.15,28.85,32.05,0.08,atl_roster_turnover_summary.csv,2025-08-15 16:43:28,32
ATL,TE,2011,2023,13,3.54,3.54,47.95,52.05,53.33,0.0,atl_roster_turnover_summary.csv,2025-08-15 16:43:28,32
ATL,WR,2011,2023,13,7.23,7.23,58.41,41.59,42.27,0.0,atl_roster_turnover_summary.csv,2025-08-15 16:43:28,32
BUF,DB,2011,2023,13,9.54,10.0,53.37,46.63,51.27,0.46,buf_roster_turnover_summary.csv,2025-08-15 16:43:28,32
BUF,DL,2011,2023,13,7.0,7.38,28.0,72.0,72.3,0.38,buf_roster_turnover_summary.csv,2025-08-15 16:43:28,32
BUF,LB,2011,2023,13,5.46,5.46,34.8,65.2,63.91,0.0,buf_roster_turnover_summary.csv,2025-08-15 16:43:28,32
BUF,OL,2011,2023,13,5.54,5.85,43.87,56.13,60.66,0.31,buf_roster_turnover_summary.csv,2025-08-15 16:43:28,32
BUF,OTHER,2011,2023,13,13.54,13.08,47.55,52.45,52.28,-0.46,buf_roster_turnover_summary.csv,2025-08-15 16:43:28,32
BUF,QB,2011,2023,13,2.46,2.54,51.28,48.72,46.8,0.08,buf_roster_turnover_summary.csv,2025-08-15 16:43:28,32
BUF,RB,2011,2023,13,6.0,5.92,49.55,50.45,49.41,-0.08,buf_roster_turnover_summary.csv,2025-08-15 16:43:28,32
BUF,ST,2011,2023,13,3.85,3.69,71.92,28.08,26.28,-0.15,buf_roster_turnover_summary.csv,2025-08-15 16:43:28,32
BUF,TE,2011,2023,13,3.92,3.77,47.18,52.82,55.51,-0.15,buf_roster_turnover_summary.csv,2025-08-15 16:43:28,32
BUF,WR,2011,2023,13,8.46,8.46,46.98,53.02,53.4,0.0,buf_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CAR,DB,2011,2023,13,10.46,10.85,37.2,62.8,64.85,0.38,car_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CAR,DL,2011,2023,13,6.0,6.23,39.83,60.17,61.78,0.23,car_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CAR,LB,2011,2023,13,7.08,7.46,47.77,52.23,52.71,0.38,car_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CAR,OL,2011,2023,13,7.0,7.15,32.19,67.81,68.38,0.15,car_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CAR,OTHER,2011,2023,13,13.46,13.46,43.51,56.49,54.8,0.0,car_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CAR,QB,2011,2023,13,2.85,2.77,64.1,35.9,35.26,-0.08,car_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CAR,RB,2011,2023,13,5.23,5.23,61.44,38.56,40.48,0.0,car_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CAR,ST,2011,2023,13,3.62,3.62,70.97,29.03,29.21,0.0,car_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CAR,TE,2011,2023,13,3.92,4.08,77.05,22.95,25.26,0.15,car_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CAR,WR,2011,2023,13,7.38,7.62,41.67,58.33,59.18,0.23,car_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CHI,DB,2011,2023,13,11.08,11.23,51.48,48.52,48.37,0.15,chi_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CHI,DL,2011,2023,13,7.38,7.54,28.8,71.2,72.88,0.15,chi_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CHI,LB,2011,2023,13,6.62,6.54,36.6,63.4,63.18,-0.08,chi_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CHI,OL,2011,2023,13,5.38,5.69,35.13,64.87,66.67,0.31,chi_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CHI,OTHER,2011,2023,13,13.38,13.23,46.19,53.81,47.99,-0.15,chi_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CHI,QB,2011,2023,13,2.62,2.54,48.72,51.28,51.28,-0.08,chi_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CHI,RB,2011,2023,13,5.15,5.15,50.9,49.1,48.72,0.0,chi_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CHI,ST,2011,2023,13,3.15,3.23,63.72,36.28,37.95,0.08,chi_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CHI,TE,2011,2023,13,3.92,3.92,47.95,52.05,54.1,0.0,chi_roster_turnover_summary.csv,2025-08-15 16:43:28,32
CHI,WR,2011,2023,13,8.15,8.15,48.35,51.65,52.1,0.0,chi_roster_turnover_summary.csv,2025-08-15 16:43:28,32
