Team,Year,split,Primary_Coach
ATL,1970,train,
ATL,1971,train,
ATL,1972,train,
ATL,1973,train,
ATL,1974,train,
ATL,1975,train,
ATL,1976,train,
ATL,1977,train,
ATL,1978,train,
ATL,1979,train,
ATL,1980,train,
ATL,1981,train,
ATL,1982,train,
ATL,1983,train,
ATL,1984,train,
ATL,1985,train,
ATL,1986,train,
ATL,1987,train,
ATL,1988,train,
ATL,1989,train,
ATL,1990,train,
ATL,1991,train,
ATL,1992,train,
ATL,1993,train,
ATL,1994,train,
ATL,1995,train,
ATL,1996,train,
ATL,1997,train,
ATL,1998,train,
ATL,1999,train,
ATL,2000,train,
ATL,2001,train,
ATL,2002,train,
ATL,2003,train,
ATL,2004,train,
ATL,2005,train,
ATL,2006,train,
ATL,2007,train,
ATL,2008,train,
ATL,2009,train,
ATL,2010,train,
ATL,2011,train,
ATL,2012,train,
ATL,2013,train,
ATL,2014,train,
ATL,2015,test,
ATL,2016,test,
ATL,2017,test,
ATL,2018,test,
ATL,2019,test,
ATL,2020,test,
ATL,2021,test,
ATL,2022,test,
ATL,2023,test,
ATL,2024,test,
BUF,1970,train,
BUF,1971,train,
BUF,1972,train,
BUF,1973,train,
BUF,1974,train,
BUF,1975,train,
BUF,1976,train,
BUF,1977,train,
BUF,1978,train,
BUF,1979,train,
BUF,1980,train,
BUF,1981,train,
BUF,1982,train,
BUF,1983,train,
BUF,1984,train,
BUF,1985,train,
BUF,1986,train,
BUF,1987,train,
BUF,1988,train,
BUF,1989,train,
BUF,1990,train,
BUF,1991,train,
BUF,1992,train,
BUF,1993,train,
BUF,1994,train,
BUF,1995,train,
BUF,1996,train,
BUF,1997,train,
BUF,1998,train,
BUF,1999,train,
BUF,2000,train,
BUF,2001,train,
BUF,2002,train,
BUF,2003,train,
BUF,2004,train,
BUF,2005,train,
BUF,2006,train,
BUF,2007,train,
BUF,2008,train,
BUF,2009,train,
BUF,2010,train,
BUF,2011,train,
BUF,2012,train,
BUF,2013,train,
BUF,2014,train,
BUF,2015,test,
BUF,2016,test,
BUF,2017,test,
BUF,2018,test,
BUF,2019,test,
BUF,2020,test,
BUF,2021,test,
BUF,2022,test,
BUF,2023,test,
BUF,2024,test,
CAR,1995,train,
CAR,1996,train,
CAR,1997,train,
CAR,1998,train,
CAR,1999,train,
CAR,2000,train,
CAR,2001,train,
CAR,2002,train,
CAR,2003,train,
CAR,2004,train,
CAR,2005,train,
CAR,2006,train,
CAR,2007,train,
CAR,2008,train,
CAR,2009,train,
CAR,2010,train,
CAR,2011,train,
CAR,2012,train,
CAR,2013,train,
CAR,2014,train,
CAR,2015,test,
CAR,2016,test,
CAR,2017,test,
CAR,2018,test,
CAR,2019,test,
CAR,2020,test,
CAR,2021,test,
CAR,2022,test,
CAR,2023,test,
CAR,2024,test,
