Draft_Year,Team,Current_Round_1_Picks,Current_Round_2_Picks,Current_Round_3_Picks,Current_Round_4_Picks,Current_Round_5_Picks,Current_Round_6_Picks,Current_Round_7Plus_Picks,Prev_1Yr_Round_1_Picks,Prev_1Yr_Round_2_Picks,Prev_1Yr_Round_3_Picks,Prev_1Yr_Round_4_Picks,Prev_1Yr_Round_5_Picks,Prev_1Yr_Round_6_Picks,Prev_1Yr_Round_7Plus_Picks,Prev_2Yr_Round_1_Picks,Prev_2Yr_Round_2_Picks,Prev_2Yr_Round_3_Picks,Prev_2Yr_Round_4_Picks,Prev_2Yr_Round_5_Picks,Prev_2Yr_Round_6_Picks,Prev_2Yr_Round_7Plus_Picks,Prev_3Yr_Round_1_Picks,Prev_3Yr_Round_2_Picks,Prev_3Yr_Round_3_Picks,Prev_3Yr_Round_4_Picks,Prev_3Yr_Round_5_Picks,Prev_3Yr_Round_6_Picks,Prev_3Yr_Round_7Plus_Picks,Prev_4Yr_Round_1_Picks
1970,atl,1,1,2,1,2,3,12,1,1,2,2,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,buf,1,1,2,1,1,2,11,1,1,1,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,chi,0,0,1,2,0,2,10,1,1,1,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,cin,1,1,1,2,0,1,11,1,1,1,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,cle,2,2,0,1,1,1,11,1,0,2,1,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,dal,1,2,3,1,0,1,11,1,1,2,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,den,1,1,1,1,1,1,11,0,1,1,2,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,det,1,1,1,0,1,1,10,0,2,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,gnb,2,1,1,2,1,1,12,1,1,1,1,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,kan,1,1,2,0,1,1,11,1,1,1,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,mia,0,1,1,1,0,1,11,1,1,1,1,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,min,1,1,1,0,1,0,11,0,2,0,1,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,nor,1,0,1,1,2,1,11,1,1,0,2,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,nwe,1,0,1,1,1,0,10,1,1,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,nyg,1,0,0,1,1,1,9,1,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,nyj,1,1,1,1,2,1,12,1,1,0,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,oti,1,2,0,1,2,1,11,1,1,2,2,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,phi,1,1,1,0,0,0,11,1,1,1,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,pit,1,1,1,2,1,2,11,1,2,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,rai,1,1,1,1,1,1,11,1,1,1,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,ram,2,3,2,2,2,1,24,4,1,2,2,2,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,rav,1,1,2,1,1,1,11,1,2,1,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,sdg,1,1,0,1,1,1,11,2,1,1,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,sfo,2,1,0,1,1,1,11,2,0,0,2,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,was,0,1,0,1,2,0,11,0,1,1,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,atl,1,1,1,1,1,2,11,1,1,2,1,2,3,12,1,1,2,2,1,1,11,0,0,0,0,0,0,0,0
1971,buf,1,1,2,0,2,1,11,1,1,2,1,1,2,11,1,1,1,1,1,0,11,0,0,0,0,0,0,0,0
1971,chi,1,2,2,1,0,1,12,0,0,1,2,0,2,10,1,1,1,1,1,1,11,0,0,0,0,0,0,0,0
1971,cin,1,1,1,1,1,0,11,1,1,1,2,0,1,11,1,1,1,1,1,1,11,0,0,0,0,0,0,0,0
1971,cle,1,1,2,1,1,2,11,2,2,0,1,1,1,11,1,0,2,1,1,2,11,0,0,0,0,0,0,0,0
1971,dal,1,1,2,2,1,1,11,1,2,3,1,0,1,11,1,1,2,0,1,1,11,0,0,0,0,0,0,0,0
1971,den,1,1,0,2,0,1,11,1,1,1,1,1,1,11,0,1,1,2,1,2,10,0,0,0,0,0,0,0,0
1971,det,1,2,1,1,1,2,10,1,1,1,0,1,1,10,0,2,1,0,0,0,11,0,0,0,0,0,0,0,0
1971,gnb,1,1,1,0,2,1,12,2,1,1,2,1,1,12,1,1,1,1,1,2,11,0,0,0,0,0,0,0,0
1971,kan,1,2,0,1,1,1,11,1,1,2,0,1,1,11,1,1,1,1,1,1,12,0,0,0,0,0,0,0,0
1971,mia,0,1,1,1,0,1,10,0,1,1,1,0,1,11,1,1,1,1,2,1,12,0,0,0,0,0,0,0,0
1971,min,1,0,1,1,0,0,11,1,1,1,0,1,0,11,0,2,0,1,3,1,9,0,0,0,0,0,0,0,0
1971,nor,1,1,1,4,0,1,13,1,0,1,1,2,1,11,1,1,0,2,2,1,10,0,0,0,0,0,0,0,0
1971,nwe,1,1,0,0,1,1,9,1,0,1,1,1,0,10,1,1,1,0,1,0,12,0,0,0,0,0,0,0,0
1971,nyg,1,1,1,1,0,0,10,1,0,0,1,1,1,9,1,0,1,1,0,0,11,0,0,0,0,0,0,0,0
1971,nyj,1,1,1,1,0,1,11,1,1,1,1,2,1,12,1,1,0,1,1,1,11,0,0,0,0,0,0,0,0
1971,oti,1,0,1,1,1,1,11,1,2,0,1,2,1,11,1,1,2,2,1,1,12,0,0,0,0,0,0,0,0
