Index,Feature_Name,Category,Description
1,Team,Metadata,Team abbreviation
2,Year,Metadata,Season year
3,Total CapAllocations_Pct,Salary Cap,Total cap allocations as percentage of maximum cap
4,Cap SpaceAll_Pct,Salary Cap,Cap space as percentage of maximum cap
5,Active53-Man_Pct,Salary Cap,Active 53-man roster cap as percentage of maximum
6,ReservesIR/PUP/NFI/SUSP_Pct,Salary Cap,Reserve/injured/suspended cap as percentage of maximum
7,DeadCap_Pct,Salary Cap,Dead cap as percentage of maximum cap
8,QB_Pct,Salary Cap,Quarterback spending as percentage of total cap
9,RB_Pct,Salary Cap,Running back spending as percentage of total cap
10,WR_Pct,Salary Cap,Wide receiver spending as percentage of total cap
11,TE_Pct,Salary Cap,Tight end spending as percentage of total cap
12,OL_Pct,Salary Cap,Offensive line spending as percentage of total cap
13,DL_Pct,Salary Cap,Defensive line spending as percentage of total cap
14,LB_Pct,Salary Cap,Linebacker spending as percentage of total cap
15,SEC_Pct,Salary Cap,Secondary (CB/S) spending as percentage of total cap
16,K_Pct,Salary Cap,Kicker spending as percentage of total cap
17,P_Pct,Salary Cap,Punter spending as percentage of total cap
18,LS_Pct,Salary Cap,Long snapper spending as percentage of total cap
19,Off_Pct,Salary Cap,Total offensive spending as percentage of total cap
20,Def_Pct,Salary Cap,Total defensive spending as percentage of total cap
21,SPT_Pct,Salary Cap,Special teams spending as percentage of total cap
22,QB_Players_Retained,Roster Turnover,Number of QBs retained from previous year
23,QB_Players_Departed,Roster Turnover,Number of QBs departed from previous year
24,QB_Players_New,Roster Turnover,Number of new QBs added to roster
25,QB_Retention_Rate_Pct,Roster Turnover,Percentage of QBs retained from previous year
26,QB_Departure_Rate_Pct,Roster Turnover,Percentage of QBs departed from previous year
27,QB_New_Player_Rate_Pct,Roster Turnover,Percentage of new QBs on roster
28,QB_Net_Change,Roster Turnover,Net change in number of QBs
29,RB_Players_Retained,Roster Turnover,Number of RBs retained from previous year
30,RB_Players_Departed,Roster Turnover,Number of RBs departed from previous year
31,RB_Players_New,Roster Turnover,Number of new RBs added to roster
32,RB_Retention_Rate_Pct,Roster Turnover,Percentage of RBs retained from previous year
33,RB_Departure_Rate_Pct,Roster Turnover,Percentage of RBs departed from previous year
34,RB_New_Player_Rate_Pct,Roster Turnover,Percentage of new RBs on roster
35,RB_Net_Change,Roster Turnover,Net change in number of RBs
36,WR_Players_Retained,Roster Turnover,Number of WRs retained from previous year
37,WR_Players_Departed,Roster Turnover,Number of WRs departed from previous year
38,WR_Players_New,Roster Turnover,Number of new WRs added to roster
39,WR_Retention_Rate_Pct,Roster Turnover,Percentage of WRs retained from previous year
40,WR_Departure_Rate_Pct,Roster Turnover,Percentage of WRs departed from previous year
41,WR_New_Player_Rate_Pct,Roster Turnover,Percentage of new WRs on roster
42,WR_Net_Change,Roster Turnover,Net change in number of WRs
43,TE_Players_Retained,Roster Turnover,Number of TEs retained from previous year
44,TE_Players_Departed,Roster Turnover,Number of TEs departed from previous year
45,TE_Players_New,Roster Turnover,Number of new TEs added to roster
46,TE_Retention_Rate_Pct,Roster Turnover,Percentage of TEs retained from previous year
47,TE_Departure_Rate_Pct,Roster Turnover,Percentage of TEs departed from previous year
48,TE_New_Player_Rate_Pct,Roster Turnover,Percentage of new TEs on roster
49,TE_Net_Change,Roster Turnover,Net change in number of TEs
50,OL_Players_Retained,Roster Turnover,Number of offensive linemen retained
51,OL_Players_Departed,Roster Turnover,Number of offensive linemen departed
52,OL_Players_New,Roster Turnover,Number of new offensive linemen added
53,OL_Retention_Rate_Pct,Roster Turnover,Percentage of offensive linemen retained
54,OL_Departure_Rate_Pct,Roster Turnover,Percentage of offensive linemen departed
55,OL_New_Player_Rate_Pct,Roster Turnover,Percentage of new offensive linemen
56,OL_Net_Change,Roster Turnover,Net change in number of offensive linemen
57,DL_Players_Retained,Roster Turnover,Number of defensive linemen retained
58,DL_Players_Departed,Roster Turnover,Number of defensive linemen departed
59,DL_Players_New,Roster Turnover,Number of new defensive linemen added
60,DL_Retention_Rate_Pct,Roster Turnover,Percentage of defensive linemen retained
61,DL_Departure_Rate_Pct,Roster Turnover,Percentage of defensive linemen departed
62,DL_New_Player_Rate_Pct,Roster Turnover,Percentage of new defensive linemen
63,DL_Net_Change,Roster Turnover,Net change in number of defensive linemen
64,LB_Players_Retained,Roster Turnover,Number of linebackers retained
65,LB_Players_Departed,Roster Turnover,Number of linebackers departed
66,LB_Players_New,Roster Turnover,Number of new linebackers added
67,LB_Retention_Rate_Pct,Roster Turnover,Percentage of linebackers retained
68,LB_Departure_Rate_Pct,Roster Turnover,Percentage of linebackers departed
69,LB_New_Player_Rate_Pct,Roster Turnover,Percentage of new linebackers
70,LB_Net_Change,Roster Turnover,Net change in number of linebackers
71,CB_Players_Retained,Roster Turnover,Number of cornerbacks retained
72,CB_Players_Departed,Roster Turnover,Number of cornerbacks departed
73,CB_Players_New,Roster Turnover,Number of new cornerbacks added
74,CB_Retention_Rate_Pct,Roster Turnover,Percentage of cornerbacks retained
75,CB_Departure_Rate_Pct,Roster Turnover,Percentage of cornerbacks departed
76,CB_New_Player_Rate_Pct,Roster Turnover,Percentage of new cornerbacks
77,CB_Net_Change,Roster Turnover,Net change in number of cornerbacks
78,S_Players_Retained,Roster Turnover,Number of safeties retained
79,S_Players_Departed,Roster Turnover,Number of safeties departed
80,S_Players_New,Roster Turnover,Number of new safeties added
81,S_Retention_Rate_Pct,Roster Turnover,Percentage of safeties retained
82,S_Departure_Rate_Pct,Roster Turnover,Percentage of safeties departed
83,S_New_Player_Rate_Pct,Roster Turnover,Percentage of new safeties
84,S_Net_Change,Roster Turnover,Net change in number of safeties
85,QB_Retention_Rate_Pct_crosstab,Roster Turnover,QB retention rate from crosstab analysis
86,QB_Departure_Rate_Pct_crosstab,Roster Turnover,QB departure rate from crosstab analysis
87,QB_New_Player_Rate_Pct_crosstab,Roster Turnover,QB new player rate from crosstab analysis
88,RB_Retention_Rate_Pct_crosstab,Roster Turnover,RB retention rate from crosstab analysis
89,RB_Departure_Rate_Pct_crosstab,Roster Turnover,RB departure rate from crosstab analysis
90,RB_New_Player_Rate_Pct_crosstab,Roster Turnover,RB new player rate from crosstab analysis
91,WR_Retention_Rate_Pct_crosstab,Roster Turnover,WR retention rate from crosstab analysis
92,WR_Departure_Rate_Pct_crosstab,Roster Turnover,WR departure rate from crosstab analysis
93,WR_New_Player_Rate_Pct_crosstab,Roster Turnover,WR new player rate from crosstab analysis
94,TE_Retention_Rate_Pct_crosstab,Roster Turnover,TE retention rate from crosstab analysis
95,TE_Departure_Rate_Pct_crosstab,Roster Turnover,TE departure rate from crosstab analysis
96,TE_New_Player_Rate_Pct_crosstab,Roster Turnover,TE new player rate from crosstab analysis
97,OL_Retention_Rate_Pct_crosstab,Roster Turnover,OL retention rate from crosstab analysis
