No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
80,Alex Bachman,24,WR,1,0,190,6-0,Wake Forest,5/29/1996,1,0,,,NYG,2020,2025-08-15 14:19:35
25,Corey Ballentine,24,DB,9,2,196,5-11,Washburn,4/13/1996,1,1,New York Giants / 6th / 180th pick /2019,"$675,000",NYG,2020,2025-08-15 14:19:35
26,Saquon Barkley,23,RB,2,2,233,6-0,Penn St.,2/9/1997,2,1,New York Giants / 1st / 2nd pick /2018,"$750,000",NYG,2020,2025-08-15 14:19:35
18,C.J. Board,27,WR,14,4,181,6-1,Chattanooga,12/12/1993,1,1,,"$675,000",NYG,2020,2025-08-15 14:19:35
24,James Bradberry,27,LCB,15,15,210,6-1,"Arkansas St.,Samford",8/4/1993,4,10,Carolina Panthers / 2nd / 62nd pick /2016,"$3,900,000",NYG,2020,2025-08-15 14:19:35
47,Cam Brown,22,LB,15,0,230,6-5,Penn St.,4/1/1998,Rook,1,New York Giants / 6th / 183rd pick /2020,"$610,000",NYG,2020,2025-08-15 14:19:35
35,T.J. Brunson,23,LB,5,0,230,6-1,South Carolina,12/3/1997,Rook,0,New York Giants / 7th / 238th pick /2020,,NYG,2020,2025-08-15 14:19:35
59,Lorenzo Carter,25,LOLB,5,5,264,6-5,Georgia,12/10/1995,2,3,New York Giants / 3rd / 66th pick /2018,"$851,226",NYG,2020,2025-08-15 14:19:35
36,Sean Chandler,24,DB,3,0,200,5-10,Temple,4/27/1996,2,0,,"$134,400",NYG,2020,2025-08-15 14:19:35
34,Adrian Colbert,27,DB,6,2,205,6-2,Miami (FL),10/6/1993,3,1,San Francisco 49ers / 7th / 229th pick /2017,"$825,000",NYG,2020,2025-08-15 14:19:35
49,Carter Coughlin,23,LB,14,2,240,6-3,Minnesota,7/20/1997,Rook,2,New York Giants / 7th / 218th pick /2020,"$610,000",NYG,2020,2025-08-15 14:19:35
48,Tae Crowder,23,RILB,11,6,235,6-3,Georgia,3/12/1997,Rook,4,New York Giants / 7th / 255th pick /2020,"$474,116",NYG,2020,2025-08-15 14:19:35
9,Riley Dixon,27,P,16,0,221,6-4,Syracuse,8/24/1993,4,2,Denver Broncos / 7th / 228th pick /2016,"$910,000",NYG,2020,2025-08-15 14:19:35
52,Devante Downs,25,LB,16,8,252,6-2,California,10/18/1995,2,5,Minnesota Vikings / 7th / 225th pick /2018,"$750,000",NYG,2020,2025-08-15 14:19:35
43,Nate Ebner,32,DB,16,0,215,6-0,Ohio St.,12/14/1988,8,1,New England Patriots / 6th / 197th pick /2012,"$1,050,000",NYG,2020,2025-08-15 14:19:35
88,Evan Engram,26,TE,16,14,240,6-3,Mississippi,9/2/1994,3,5,New York Giants / 1st / 23rd pick /2017,"$1,926,587",NYG,2020,2025-08-15 14:19:35
51,Kyler Fackrell,29,ROLB/LOLB,12,9,245,6-5,Utah St.,11/25/1991,4,6,Green Bay Packers / 3rd / 88th pick /2016,"$2,600,000",NYG,2020,2025-08-15 14:19:35
75,Cameron Fleming,28,RT,16,16,320,6-5,Stanford,9/3/1992,6,6,New England Patriots / 4th / 140th pick /2014,"$1,500,000",NYG,2020,2025-08-15 14:19:35
31,Devonta Freeman,28,RB,5,4,206,5-8,Florida St.,3/15/1992,6,1,Atlanta Falcons / 4th / 103rd pick /2014,"$944,118",NYG,2020,2025-08-15 14:19:35
22,Wayne Gallman,26,RB,15,10,210,6-0,Clemson,10/1/1994,3,5,New York Giants / 4th / 140th pick /2017,"$825,000",NYG,2020,2025-08-15 14:19:35
5,Graham Gano,33,K,16,0,202,6-2,Florida St.,4/9/1987,11,5,,"$1,050,000",NYG,2020,2025-08-15 14:19:35
65,Nick Gates,25,C,16,16,312,6-5,Nebraska,11/27/1995,1,5,,"$675,000",NYG,2020,2025-08-15 14:19:35
44,Markus Golden,29,LB,7,1,260,6-2,Missouri,3/13/1991,5,1,Arizona Cardinals / 2nd / 58th pick /2015,"$4,097,500",NYG,2020,2025-08-15 14:19:35
45,Madre Harper,23,CB,9,0,190,6-2,"Oklahoma St.,Southern Illinois",10/13/1997,Rook,1,,"$502,353",NYG,2020,2025-08-15 14:19:35
93,Trent Harris,25,DT,4,2,255,6-2,Miami (FL),9/17/1995,1,1,,"$397,059",NYG,2020,2025-08-15 14:19:35
36,Montre Hartage,23,DB,2,0,190,6-0,Northwestern,6/16/1997,1,0,,,NYG,2020,2025-08-15 14:19:35
71,Will Hernandez,25,LG,13,7,332,6-2,Texas-El Paso,9/2/1995,2,3,New York Giants / 2nd / 34th pick /2018,"$1,157,340",NYG,2020,2025-08-15 14:19:35
95,B.J. Hill,25,DT,16,0,311,6-3,North Carolina St.,4/20/1995,2,1,New York Giants / 3rd / 69th pick /2018,"$848,690",NYG,2020,2025-08-15 14:19:35
30,Darnay Holmes,22,DB,12,5,198,5-10,UCLA,6/23/1998,Rook,3,New York Giants / 4th / 110th pick /2020,"$610,000",NYG,2020,2025-08-15 14:19:35
80,Johnny Holton,30,WR,1,0,190,6-3,Cincinnati,8/22/1990,4,0,,,NYG,2020,2025-08-15 14:19:35
98,Austin Johnson,26,NT,16,0,314,6-4,Penn St.,5/8/1994,4,1,Tennessee Titans / 2nd / 43rd pick /2016,"$1,362,500",NYG,2020,2025-08-15 14:19:35
8,Daniel Jones,23,QB,14,14,230,6-5,Duke,5/27/1997,1,9,New York Giants / 1st / 6th pick /2019,"$675,000",NYG,2020,2025-08-15 14:19:35
58,Casey Kreiter,30,LS,16,0,250,6-1,Iowa,8/13/1990,4,1,,"$910,000",NYG,2020,2025-08-15 14:19:35
57,Niko Lalos,23,DE,6,0,269,6-5,Dartmouth,6/25/1997,Rook,1,,,NYG,2020,2025-08-15 14:19:35
97,Dexter Lawrence,23,LDE,16,15,340,6-4,Clemson,11/12/1997,1,8,New York Giants / 1st / 17th pick /2019,"$1,097,184",NYG,2020,2025-08-15 14:19:35
66,Shane Lemieux,23,LG,12,9,310,6-4,Oregon,5/12/1997,Rook,3,New York Giants / 5th / 150th pick /2020,"$610,000",NYG,2020,2025-08-15 14:19:35
33,Dion Lewis,30,RB,16,0,195,5-8,Pittsburgh,9/27/1990,9,2,Philadelphia Eagles / 5th / 149th pick /2011,"$1,100,000",NYG,2020,2025-08-15 14:19:35
37,Ryan Lewis,26,DB,5,3,185,6-0,Pittsburgh,4/15/1994,2,1,,"$661,765",NYG,2020,2025-08-15 14:19:35
20,Julian Love,22,DB,16,6,195,5-11,Notre Dame,3/19/1998,1,3,New York Giants / 4th / 108th pick /2019,"$675,000",NYG,2020,2025-08-15 14:19:35
81,Austin Mack,23,WR,11,1,215,6-2,Ohio St.,8/31/1997,Rook,1,,,NYG,2020,2025-08-15 14:19:35
54,Blake Martinez,26,LILB,16,16,237,6-2,Stanford,1/9/1994,4,9,Green Bay Packers / 4th / 131st pick /2016,"$4,000,000",NYG,2020,2025-08-15 14:19:35
55,David Mayo,27,LB,11,2,240,6-2,Texas St.,8/18/1993,5,2,Carolina Panthers / 5th / 169th pick /2015,"$1,500,000",NYG,2020,2025-08-15 14:19:35
12,Colt McCoy,34,QB,4,2,212,6-1,Texas,9/5/1986,10,1,Cleveland Browns / 3rd / 85th pick /2010,"$1,050,000",NYG,2020,2025-08-15 14:19:35
29,Xavier McKinney,22,S,6,4,201,6-0,Alabama,8/8/1998,Rook,2,New York Giants / 2nd / 36th pick /2020,"$400,000",NYG,2020,2025-08-15 14:19:35
41,Alfred Morris,32,RB,9,0,222,5-10,Florida Atlantic,12/12/1988,8,1,Washington Redskins / 6th / 173rd pick /2012,,NYG,2020,2025-08-15 14:19:35
74,Matt Peart,23,T,11,1,318,6-7,Connecticut,6/11/1997,Rook,1,New York Giants / 3rd / 99th pick /2020,"$610,000",NYG,2020,2025-08-15 14:19:35
39,Elijhaa Penny,27,RB,14,0,250,6-1,"Cerritos (CA),Idaho",8/17/1993,3,0,,"$825,000",NYG,2020,2025-08-15 14:19:35
21,Jabrill Peppers,25,SS,15,14,217,5-11,Michigan,10/4/1995,3,6,Cleveland Browns / 1st / 25th pick /2017,"$1,875,271",NYG,2020,2025-08-15 14:19:35
13,Dante Pettis,25,WR,2,0,200,6-2,Washington,10/23/1995,2,1,San Francisco 49ers / 2nd / 44th pick /2018,"$1,061,869",NYG,2020,2025-08-15 14:19:35
19,Damion Ratley,25,WR,5,0,200,6-2,Texas A&M,4/16/1995,2,1,Cleveland Browns / 6th / 175th pick /2018,"$750,000",NYG,2020,2025-08-15 14:19:35
23,Logan Ryan,29,FS,16,15,195,5-11,Rutgers,2/9/1991,7,6,New England Patriots / 3rd / 83rd pick /2013,"$1,050,000",NYG,2020,2025-08-15 14:19:35
91,Jabaal Sheard,31,DE,9,3,268,6-3,Pittsburgh,5/10/1989,9,2,Cleveland Browns / 2nd / 37th pick /2011,"$679,412",NYG,2020,2025-08-15 14:19:35
