No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
72,Oliver Barnett,26,RDE,16,7,288,6-3,Kentucky,4/9/1966,2,2,Atlanta Falcons / 3rd / 55th pick /1990,ATL,1992,2025-08-16 11:02:13
34,Steve Broussard,25,RB,15,1,201,5-7,Washington St.,2/22/1967,2,4,Atlanta Falcons / 1st / 20th pick /1990,ATL,1992,2025-08-16 11:02:13
23,Bobby Butler,33,DB,15,0,174,5-11,Florida St.,5/28/1959,11,1,Atlanta Falcons / 1st / 25th pick /1981,ATL,1992,2025-08-16 11:02:13
25,Scott Case,30,FS,12,11,188,6-1,"NE Oklahoma A&M,Oklahoma",5/17/1962,8,4,Atlanta Falcons / 2nd / 32nd pick /1984,ATL,1992,2025-08-16 11:02:13
56,Darion Conner,25,ROLB,16,16,250,6-2,Jackson St.,9/28/1967,2,4,Atlanta Falcons / 2nd / 27th pick /1990,ATL,1992,2025-08-16 11:02:13
42,Jeff Donaldson,30,SS,16,16,192,6-0,Colorado,4/19/1962,8,4,Houston Oilers / 9th / 226th pick /1984,ATL,1992,2025-08-16 11:02:13
64,Jamie Dukes,28,C,16,16,285,6-1,Florida St.,6/14/1964,6,9,,ATL,1992,2025-08-16 11:02:13
74,Tory Epps,25,NT,16,5,280,6-1,Memphis,5/28/1967,2,2,Atlanta Falcons / 8th / 195th pick /1990,ATL,1992,2025-08-16 11:02:13
51,Eric Fairs,28,LB,2,0,240,6-3,Memphis,2/17/1964,6,0,,ATL,1992,2025-08-16 11:02:13
29,Joe Fishback,25,DB,8,0,205,6-0,Carson-Newman,11/29/1967,1,0,,ATL,1992,2025-08-16 11:02:13
65,Roman Fortin,25,G,16,1,297,6-5,"Oregon St.,San Diego St.",2/26/1967,1,2,Detroit Lions / 8th / 203rd pick /1990,ATL,1992,2025-08-16 11:02:13
79,Bill Fralic,30,RG,16,16,280,6-5,Pittsburgh,10/31/1962,7,9,Atlanta Falcons / 1st / 2nd pick /1985,ATL,1992,2025-08-16 11:02:13
17,Scott Fulhage,31,P,16,0,191,5-11,Kansas St.,1/17/1961,5,2,,ATL,1992,2025-08-16 11:02:13
76,Mike Gann,29,LDE,13,13,271,6-5,Notre Dame,10/19/1963,7,4,Atlanta Falcons / 2nd / 45th pick /1985,ATL,1992,2025-08-16 11:02:13
67,Moe Gardner,24,NT,16,14,265,6-2,Illinois,8/10/1968,1,4,Atlanta Falcons / 4th / 87th pick /1991,ATL,1992,2025-08-16 11:02:13
71,Bill Goldberg,26,NT,4,1,272,6-2,Georgia,12/27/1966,Rook,0,Los Angeles Rams / 11th / 301st pick /1990,ATL,1992,2025-08-16 11:02:13
99,Tim Green,29,RDE,12,11,249,6-2,Syracuse,12/16/1963,6,3,Atlanta Falcons / 1st / 17th pick /1986,ATL,1992,2025-08-16 11:02:13
81,Michael Haynes,27,WR,14,14,184,6-0,"Eastern Arizona,Northern Arizona",12/24/1965,4,9,Atlanta Falcons / 7th / 166th pick /1988,ATL,1992,2025-08-16 11:02:13
85,Drew Hill,36,WR,16,14,170,5-9,Georgia Tech,10/5/1956,13,7,Los Angeles Rams / 12th / 328th pick /1979,ATL,1992,2025-08-16 11:02:13
75,Chris Hinton,31,RT,16,16,300,6-4,Northwestern,7/31/1961,9,9,Denver Broncos / 1st / 4th pick /1983,ATL,1992,2025-08-16 11:02:13
69,Houston Hoover,27,LG,16,16,295,6-2,Jackson St.,2/6/1965,4,9,Atlanta Falcons / 6th / 140th pick /1988,ATL,1992,2025-08-16 11:02:13
9,Norm Johnson,32,K,16,0,202,6-2,UCLA,5/31/1960,10,5,,ATL,1992,2025-08-16 11:02:13
38,Keith Jones,26,RB,16,8,210,6-1,Illinois,3/20/1966,3,3,Atlanta Falcons / 3rd / 62nd pick /1989,ATL,1992,2025-08-16 11:02:13
83,Tony Jones,27,WR,10,4,142,5-7,Texas,12/30/1965,2,2,Houston Oilers / 6th / 153rd pick /1990,ATL,1992,2025-08-16 11:02:13
78,Mike Kenn,36,LT,16,16,273,6-7,Michigan,2/9/1956,14,9,Atlanta Falcons / 1st / 13th pick /1978,ATL,1992,2025-08-16 11:02:13
