No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
42,Delrick Abrams,23,CB,3,0,185,6-3,Colorado,4/6/1997,Rook,0,,,ATL,2020,2025-08-15 13:38:50
37,Ricardo Allen,29,SS,12,12,186,5-9,Purdue,12/18/1991,5,4,Atlanta Falcons / 5th / 147th pick /2014,"$5,250,000",ATL,2020,2025-08-15 13:38:50
93,Allen Bailey,31,DE,16,4,288,6-3,Miami (FL),3/25/1989,9,3,Kansas City Chiefs / 3rd / 86th pick /2011,"$1,050,000",ATL,2020,2025-08-15 13:38:50
13,Christian Blake,24,WR,16,0,181,6-1,Northern Illinois,6/8/1996,1,1,,"$675,000",ATL,2020,2025-08-15 13:38:50
36,Tony Brooks-James,26,RB,1,0,179,5-9,Oregon,12/6/1994,1,0,,,ATL,2020,2025-08-15 13:38:50
77,James Carpenter,31,LG,13,13,321,6-5,"Coffeyville CC,Alabama",3/22/1989,9,7,Seattle Seahawks / 1st / 25th pick /2011,"$3,750,000",ATL,2020,2025-08-15 13:38:50
35,Jamal Carter,26,DB,1,0,215,6-1,Miami (FL),4/12/1994,3,0,,"$660,000",ATL,2020,2025-08-15 13:38:50
50,John Cominsky,25,DE,13,1,285,6-5,Charleston (WV),11/22/1995,1,2,Atlanta Falcons / 4th / 135th pick /2019,"$675,000",ATL,2020,2025-08-15 13:38:50
90,Marlon Davidson,22,DE,8,0,278,6-3,Auburn,5/11/1998,Rook,1,Atlanta Falcons / 2nd / 47th pick /2020,"$585,294",ATL,2020,2025-08-15 13:38:50
96,Tyeler Davison,28,RDT,16,15,309,6-2,Fresno St.,9/23/1992,5,7,New Orleans Saints / 5th / 154th pick /2015,"$910,000",ATL,2020,2025-08-15 13:38:50
34,Darqueze Dennard,29,CB,8,6,205,5-11,Michigan St.,10/10/1991,6,2,Cincinnati Bengals / 1st / 24th pick /2014,"$910,000",ATL,2020,2025-08-15 13:38:50
95,Austin Edwards,23,DE,1,0,280,6-5,Ferris St.,8/27/1997,Rook,0,,,ATL,2020,2025-08-15 13:38:50
56,Dante Fowler,26,RDE,14,13,261,6-3,Florida,8/3/1994,4,6,Jacksonville Jaguars / 1st / 3rd pick /2015,"$2,000,000",ATL,2020,2025-08-15 13:38:50
1,Elliott Fry,26,K,1,0,170,6-0,South Carolina,12/12/1994,1,0,,,ATL,2020,2025-08-15 13:38:50
83,Russell Gage,24,WR,16,8,184,6-0,LSU,1/22/1996,2,7,Atlanta Falcons / 6th / 194th pick /2018,"$750,000",ATL,2020,2025-08-15 13:38:50
73,Matt Gono,24,T,16,4,305,6-4,Wesley,5/10/1996,1,3,,"$750,000",ATL,2020,2025-08-15 13:38:50
87,Jaeden Graham,25,TE,16,0,250,6-4,Yale,10/10/1995,1,0,,"$675,000",ATL,2020,2025-08-15 13:38:50
39,T.J. Green,25,DB,1,0,215,6-3,Clemson,3/15/1995,4,0,Indianapolis Colts / 2nd / 57th pick /2016,,ATL,2020,2025-08-15 13:38:50
