No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
54,David Braxton,26,LB,16,2,240,6-2,Wake Forest,5/25/1965,2,2,Minnesota Vikings / 2nd / 52nd pick /1989,CRD,1991,2025-08-16 10:56:49
16,Rich Camarillo,32,P,16,0,202,5-11,"Cerritos (CA),Washington",11/29/1959,10,3,,CRD,1991,2025-08-16 10:56:49
37,Larry Centers,23,FB,9,2,225,6-0,S.F. Austin,6/1/1968,1,1,Phoenix Cardinals / 5th / 115th pick /1990,CRD,1991,2025-08-16 10:56:49
17,Chris Chandler,26,QB,3,2,224,6-4,Washington,10/12/1965,3,1,Indianapolis Colts / 3rd / 76th pick /1988,CRD,1991,2025-08-16 10:56:49
93,Sidney Coleman,27,LB,16,2,250,6-2,Southern Miss,1/14/1964,3,2,,CRD,1991,2025-08-16 10:56:49
48,Dexter Davis,21,DB,11,0,190,5-10,Clemson,3/20/1970,Rook,1,Phoenix Cardinals / 4th / 86th pick /1991,CRD,1991,2025-08-16 10:56:49
5,Greg Davis,26,K,16,0,202,6-0,The Citadel,10/29/1965,4,4,Tampa Bay Buccaneers / 9th / 246th pick /1987,CRD,1991,2025-08-16 10:56:49
22,Dave Duerson,31,DB,11,4,207,6-1,Notre Dame,11/28/1960,8,2,Chicago Bears / 3rd / 64th pick /1983,CRD,1991,2025-08-16 10:56:49
81,Anthony Edwards,25,WR,13,0,195,5-10,New Mex. Highlands,5/26/1966,2,0,,CRD,1991,2025-08-16 10:56:49
96,Scott Evans,23,DE,1,0,261,6-3,Oklahoma,3/29/1968,Rook,0,Phoenix Cardinals / 8th / 209th pick /1991,CRD,1991,2025-08-16 10:56:49
31,Richard Fain,23,DB,2,0,183,5-10,Florida,2/29/1968,Rook,0,Cincinnati Bengals / 6th / 157th pick /1991,CRD,1991,2025-08-16 10:56:49
94,Jeff Faulkner,27,LDE,16,14,305,6-4,Southern,4/4/1964,4,6,,CRD,1991,2025-08-16 10:56:49
83,Amod Field,24,WR,2,0,186,5-11,Montclair St.,10/11/1967,Rook,0,,CRD,1991,2025-08-16 10:56:49
32,Terrence Flagler,27,RB,7,0,200,6-0,Clemson,9/24/1964,4,1,San Francisco 49ers / 1st / 25th pick /1987,CRD,1991,2025-08-16 10:56:49
10,Stan Gelbaugh,29,QB,6,3,207,6-3,Maryland,12/4/1962,2,2,Dallas Cowboys / 6th / 150th pick /1986,CRD,1991,2025-08-16 10:56:49
56,Ken Harvey,26,ROLB,16,16,237,6-2,California,5/6/1965,3,8,Phoenix Cardinals / 1st / 12th pick /1988,CRD,1991,2025-08-16 10:56:49
58,Eric Hill,25,RILB,16,15,258,6-2,LSU,11/14/1966,2,7,Phoenix Cardinals / 1st / 10th pick /1989,CRD,1991,2025-08-16 10:56:49
81,Randal Hill,22,WR,15,4,180,5-10,Miami (FL),9/21/1969,Rook,3,Miami Dolphins / 1st / 23rd pick /1991,CRD,1991,2025-08-16 10:56:49
97,Steve Hyche,28,LB,16,0,241,6-3,West Alabama,6/12/1963,2,2,,CRD,1991,2025-08-16 10:56:49
80,John Jackson,24,WR,16,3,175,5-10,USC,1/2/1967,1,1,,CRD,1991,2025-08-16 10:56:49
53,Garth Jax,28,LILB,12,9,250,6-2,Florida St.,9/16/1963,5,4,Dallas Cowboys / 11th / 296th pick /1986,CRD,1991,2025-08-16 10:56:49
39,Johnny Johnson,23,RB,15,13,220,6-3,San Jose St.,6/11/1968,1,5,Phoenix Cardinals / 7th / 169th pick /1990,CRD,1991,2025-08-16 10:56:49
86,Ernie Jones,27,WR,16,16,186,5-11,Indiana,12/16/1964,3,7,Phoenix Cardinals / 7th / 179th pick /1988,CRD,1991,2025-08-16 10:56:49
55,Jock Jones,23,LB,5,0,235,6-2,Virginia Tech,3/13/1968,1,0,Cleveland Browns / 8th / 212th pick /1990,CRD,1991,2025-08-16 10:56:49
75,Mike Jones,22,DE,16,1,290,6-4,North Carolina St.,8/25/1969,Rook,1,Phoenix Cardinals / 2nd / 32nd pick /1991,CRD,1991,2025-08-16 10:56:49
85,Tim Jorden,25,TE,16,9,235,6-3,Indiana,10/30/1966,1,1,,CRD,1991,2025-08-16 10:56:49
57,Kani Kauahi,32,C,16,0,268,6-2,"Arizona St.,Hawaii",9/6/1959,9,1,,CRD,1991,2025-08-16 10:56:49
7,Craig Kupp,24,QB,1,0,215,6-4,"Montana Tech,Pacific Lutheran",4/14/1967,1,0,New York Giants / 5th / 135th pick /1990,CRD,1991,2025-08-16 10:56:49
51,Bill Lewis,28,C,16,16,285,6-6,Nebraska,7/12/1963,5,5,Los Angeles Raiders / 7th / 191st pick /1986,CRD,1991,2025-08-16 10:56:49
42,Steve Lofton,23,DB,11,1,180,5-9,Texas A&M,11/26/1968,Rook,1,,CRD,1991,2025-08-16 10:56:49
